
Category Name                               Path                                       Size
-------- ----                               ----                                       ----
Root     advancedAnalyticsService.js        advancedAnalyticsService.js               10897
Root     advancedSearchService.js           advancedSearchService.js                   8471
Root     advancedVoiceAI.js                 advancedVoiceAI.js                        23820
Root     aiAgentService.js                  aiAgentService.js                         14821
Root     aiCollaborationService.js          aiCollaborationService.js                   157
Root     aiFeedbackService.js               aiFeedbackService.js                       5849
Root     blockchainVerificationService.js   blockchainVerificationService.js          15576
Root     digitalTwinService.js              digitalTwinService.js                     21613
Root     enterpriseIntegrationService.js    enterpriseIntegrationService.js           23154
Root     iotIntegrationService.js           iotIntegrationService.js                  13953
Root     libraryKnowledgeService.js         libraryKnowledgeService.js                  767
Root     predictiveIntelligenceService.js   predictiveIntelligenceService.js          14858
Root     unifiedConfigService.js            unifiedConfigService.js                     163
Root     websocketService.js                websocketService.js                        5426
Claude   aiAgentService.js                  claude\aiAgentService.js                   9924
Claude   aiCollaborationService.js          claude\aiCollaborationService.js          11291
Claude   aiCoordinationService.js           claude\aiCoordinationService.js            9802
Claude   aiCopilotService.js                claude\aiCopilotService.js                 7110
Claude   aiDecisionService.js               claude\aiDecisionService.js               19869
Claude   aiOptimizationService.js           claude\aiOptimizationService.js            9346
Claude   aiProviderService.js               claude\aiProviderService.js               13882
Claude   aiRecoveryService.js               claude\aiRecoveryService.js                8975
Claude   aiStrategyService.js               claude\aiStrategyService.js                5527
Claude   enhancedLibraryKnowledgeService.js claude\enhancedLibraryKnowledgeService.js 27242
Claude   financialAIService.js              claude\financialAIService.js               9173
Claude   insuranceAIService.js              claude\insuranceAIService.js               5699
Claude   logisticsAIService.js              claude\logisticsAIService.js               5852
Claude   orderAIService.js                  claude\orderAIService.js                   2631
Claude   productAIService.js                claude\productAIService.js                 6042
Claude   unifiedConfigService.js            claude\unifiedConfigService.js             9108
Dual-Use authService.js                     dual-use\authService.js                   39604
Dual-Use gdprService.js                     dual-use\gdprService.js                    8067
Dual-Use mfaService.js                      dual-use\mfaService.js                     3296
Dual-Use platformCoreService.js             dual-use\platformCoreService.js            5716
Root     EnergyCostCalculator.js            energy\EnergyCostCalculator.js            10106
