"System","File","LinkageCandidate"
"app","src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java","test"
"app","src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java","test"
"app","src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java","Test"
"app","src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java","test"
"app","src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java","http://d.android.com/tools/testing"
"app","src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java","Test"
"app","src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java","Test"
"app","src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java","Test"
"app","src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java","test"
"app","src\main\AndroidManifest.xml","http://schemas.android.com/apk/res/android"
"app","src\main\AndroidManifest.xml","ai"
"app","src\main\AndroidManifest.xml","ai"
"app","src\main\AndroidManifest.xml","AI"
"app","src\main\java\com\ethnoverde\afrera\MainActivity.java","ai"
"app","src\main\res\drawable\ic_launcher_background.xml","http://schemas.android.com/apk/res/android"
"app","src\main\res\drawable-v24\ic_launcher_foreground.xml","http://schemas.android.com/apk/res/android"
"app","src\main\res\drawable-v24\ic_launcher_foreground.xml","http://schemas.android.com/aapt"
"app","src\main\res\layout\activity_main.xml","http://schemas.android.com/apk/res/android"
"app","src\main\res\layout\activity_main.xml","http://schemas.android.com/apk/res-auto"
"app","src\main\res\layout\activity_main.xml","http://schemas.android.com/tools"
"app","src\main\res\layout\activity_main.xml","ai"
"app","src\main\res\mipmap-anydpi-v26\ic_launcher.xml","http://schemas.android.com/apk/res/android"
"app","src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml","http://schemas.android.com/apk/res/android"
"app","src\main\res\values\strings.xml","ai"
"app","src\main\res\xml\file_paths.xml","http://schemas.android.com/apk/res/android"
"app","src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java","Test"
"app","src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java","test"
"app","src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java","http://d.android.com/tools/testing"
"app","src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java","Test"
"app","src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java","Test"
"app","src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java","Test"
