"System","Path","Extension","SizeBytes","LastWriteTimeUtc"
"backend",".env",".env","229","04-09-2026 17:37:47"
"backend",".env.backup",".backup","1575","03-09-2026 12:44:49"
"backend",".env.example",".example","930","04-09-2026 08:49:23"
"backend",".eslintrc.json",".json","2562","03-09-2026 17:12:52"
"backend","api-wiring-verification-report.json",".json","364264","30-08-2026 02:47:47"
"backend","automated-fixes-report.json",".json","184","30-08-2026 02:47:47"
"backend","backend.log",".log","12808","03-09-2026 12:39:25"
"backend","backend_console.log",".log","0","03-09-2026 12:48:12"
"backend","backend_error.log",".log","0","03-09-2026 12:48:12"
"backend","backend_startup.log",".log","2916","03-09-2026 12:45:47"
"backend","check_mounts.js",".js","1192","05-08-2026 07:09:36"
"backend","coverage-audit.txt",".txt","5070","04-09-2026 18:36:20"
"backend","db-connection-verification-report.json",".json","37137","30-08-2026 02:47:47"
"backend","docker-compose.yml",".yml","4956","30-08-2026 02:47:47"
"backend","Dockerfile","","1841","05-09-2026 03:07:27"
"backend","entrypoint.sh",".sh","537","05-09-2026 03:07:21"
"backend","eslint-report.json",".json","1470643","05-08-2026 09:29:00"
"backend","generate_service_mapping.js",".js","1456","05-08-2026 07:17:43"
"backend","integration-test-report.json",".json","813","30-08-2026 02:47:47"
"backend","jest-target-results.json",".json","55116","05-08-2026 18:09:40"
"backend","jest.config.js",".js","532","03-09-2026 03:10:08"
"backend","jest.setup.js",".js","1050","03-09-2026 03:10:08"
"backend","migration-release.log",".log","52876","04-09-2026 19:08:21"
"backend","migration.log",".log","12350","04-09-2026 17:38:02"
"backend","openapi.json",".json","581987","04-08-2026 04:29:38"
"backend","package-lock.json",".json","541416","04-09-2026 18:07:32"
"backend","package.json",".json","2390","04-09-2026 18:39:37"
"backend","route-audit.txt",".txt","32036","04-09-2026 18:31:13"
"backend","route-service-audit-report.json",".json","76336","30-08-2026 02:47:47"
"backend","service-init-verification-report.json",".json","18788","30-08-2026 02:47:47"
"backend","service_route_mapping.json",".json","49887","05-08-2026 07:17:43"
"backend","test_module_discovery.js",".js","784","30-08-2026 02:47:51"
"backend","test_module_discovery2.js",".js","1638","30-08-2026 02:47:51"
"backend","test_module_loading.js",".js","3768","30-08-2026 02:47:51"
"backend","test_module_loading_simple.js",".js","3771","30-08-2026 02:47:51"
"backend","test_summary.txt",".txt","360090","30-08-2026 02:47:51"
"backend","tmp_test_marketplace.js",".js","1304","05-08-2026 13:07:34"
"backend",".github\workflows\ci-cd.yml",".yml","5930","03-08-2026 16:31:34"
"backend","migrations\1000_energy_food_erp_modules.sql",".sql","15431","05-08-2026 12:12:36"
"backend","scripts\analyzeWiring.js",".js","1633","05-08-2026 07:42:41"
"backend","scripts\analyze_broken_links.ps1",".ps1","3392","30-08-2026 02:47:47"
