"System","Path","Extension","SizeBytes","LastWriteTimeUtc"
"intelligent-sutherland-9f1488",".dockerignore",".dockerignore","967","30-08-2026 07:40:09"
"intelligent-sutherland-9f1488",".env.database.example",".example","534","30-08-2026 07:40:09"
"intelligent-sutherland-9f1488",".env.production",".production","1283","30-08-2026 07:40:09"
"intelligent-sutherland-9f1488",".git",".git","91","30-08-2026 07:40:08"
"intelligent-sutherland-9f1488",".gitignore",".gitignore","1032","30-08-2026 07:40:09"
"intelligent-sutherland-9f1488",".node-version",".node-version","9","30-08-2026 07:40:09"
"intelligent-sutherland-9f1488",".nvmrc",".nvmrc","9","30-08-2026 07:40:09"
"intelligent-sutherland-9f1488","AFRERA_CLAUDE_BUILD_DIRECTIVE.md",".md","51122","30-08-2026 07:40:09"
"intelligent-sutherland-9f1488","afrera_platform_v43.html",".html","1178558","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488","AGENT_PROTOCOL.md",".md","6945","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488","audit_module_inventory.csv",".csv","1735","30-08-2026 07:40:10"
"intelligent-sutherland-9f1488","CLAUDE.md",".md","14352","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488","claude_compatibility_cleaner.bat",".bat","24520","30-08-2026 07:40:12"
"intelligent-sutherland-9f1488","CLAUDE_ENHANCEMENT_PROMPT.md",".md","3194","30-08-2026 07:40:09"
"intelligent-sutherland-9f1488","claude_protected_integration.bat",".bat","18055","30-08-2026 07:40:12"
"intelligent-sutherland-9f1488","DATABASE_SETUP_GUIDE.md",".md","10854","30-08-2026 07:40:09"
"intelligent-sutherland-9f1488","docker-compose.database.yml",".yml","1267","30-08-2026 07:40:12"
"intelligent-sutherland-9f1488","docker-compose.yml",".yml","2671","30-08-2026 07:40:12"
"intelligent-sutherland-9f1488","Dockerfile","","1756","30-08-2026 07:40:10"
"intelligent-sutherland-9f1488","EBDESIGN.code-workspace",".code-workspace","67","30-08-2026 07:40:10"
"intelligent-sutherland-9f1488","ENVIRONMENT_SETUP_GUIDE.md",".md","9252","30-08-2026 07:40:10"
"intelligent-sutherland-9f1488","evga_cap_map.csv",".csv","127993","30-08-2026 07:40:12"
"intelligent-sutherland-9f1488","EVGA_PHASE13_Enhanced_Evidence_Verification.pdf",".pdf","801545","30-08-2026 07:40:10"
"intelligent-sutherland-9f1488","FORENSIC_DISCOVERY_REPORT.md",".md","23457","30-08-2026 07:40:10"
"intelligent-sutherland-9f1488","frontend-link-audit-report.json",".json","366","30-08-2026 07:40:12"
"intelligent-sutherland-9f1488","missing_in_code_caps.csv",".csv","69244","30-08-2026 07:40:14"
"intelligent-sutherland-9f1488","module_evaluation.csv",".csv","16635","30-08-2026 07:40:14"
"intelligent-sutherland-9f1488","PROJECT_STATUS.html",".html","64930","30-08-2026 07:40:10"
"intelligent-sutherland-9f1488","QUICK_START_GUIDE.md",".md","9575","30-08-2026 07:40:10"
"intelligent-sutherland-9f1488","README-DESKTOP.md",".md","4250","30-08-2026 07:40:10"
"intelligent-sutherland-9f1488","README.md",".md","11843","30-08-2026 07:40:10"
"intelligent-sutherland-9f1488","render.yaml",".yaml","1995","30-08-2026 07:40:16"
"intelligent-sutherland-9f1488","settings.local.json",".json","48879","30-08-2026 07:40:16"
"intelligent-sutherland-9f1488","SUBH_DATABASE_PREFLIGHT_STATE.txt",".txt","463","30-08-2026 07:40:10"
"intelligent-sutherland-9f1488","_EBDESIGN_ULTRA_AUDIT.ps1",".ps1","20318","30-08-2026 07:40:10"
"intelligent-sutherland-9f1488",".ai\AGENT_PROTOCOL.md",".md","6945","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\PROJECT_CONTEXT.md",".md","8498","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\work_log.json",".json","722","30-08-2026 07:40:09"
"intelligent-sutherland-9f1488",".ai\architecture\AI_COLLABORATION_ARCHITECTURE.md",".md","11684","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\architecture\BACKEND_ARCHITECTURE.md",".md","9587","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\architecture\CLAUDE_AI_PLUG_AND_PLAY_STRATEGY.md",".md","12284","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\architecture\CODEBASE_MAP.md",".md","13958","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\architecture\CURRENT_IMPLEMENTATION.md",".md","12494","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\architecture\DATABASE_CURRENT_STATE.md",".md","10794","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\architecture\FILE_SEPARATION_COMPLETION_REPORT.md",".md","10092","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\architecture\FILE_SEPARATION_STRATEGY.md",".md","10276","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\architecture\FRONTEND_ARCHITECTURE.md",".md","9775","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\architecture\MODULE_INTERFACE_SPECIFICATION.md",".md","14961","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\architecture\MODULE_SCAFFOLD_RECONCILIATION.md",".md","3603","30-08-2026 07:40:09"
"intelligent-sutherland-9f1488",".ai\architecture\PLUG_AND_PLAY_IMPLEMENTATION_SUMMARY.md",".md","11810","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\architecture\SYSTEM_ARCHITECTURE.md",".md","11937","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\handoffs\CLAUDE_INITIAL_HANDOFF.md",".md","15210","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\handoffs\DATABASE_MIGRATION_BLOCKER.md",".md","2974","30-08-2026 07:40:09"
"intelligent-sutherland-9f1488",".ai\history\DEVIN_IMPLEMENTATION_BASELINE.md",".md","9608","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\history\IMPLEMENTATION_HISTORY.md",".md","11529","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\quality\KNOWN_ISSUES_AND_TECHNICAL_DEBT.md",".md","8513","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\quality\SECURITY_REVIEW.md",".md","8464","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\quality\TESTING_AND_QA.md",".md","6933","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\requirements\MASTER_REQUIREMENTS.md",".md","12531","04-09-2026 12:43:02"
"intelligent-sutherland-9f1488",".ai\reviews\DEVIN_HANDOFF_2026-08-28.md",".md","20458","30-08-2026 07:40:09"
"intelligent-sutherland-9f1488",".ai\reviews\LAST_COMMAND_AUDIT_INSTRUCTION.md",".md","15974","30-08-2026 07:40:09"
"intelligent-sutherland-9f1488",".ai\reviews\canonical-normalization-20260825-084055\BASELINE.json",".json","27181","30-08-2026 07:40:09"
"intelligent-sutherland-9f1488",".ai\reviews\canonical-normalization-20260825-084055\CANONICAL_MODULE_STRUCTURE.json",".json","469","30-08-2026 07:40:09"
"intelligent-sutherland-9f1488",".ai\reviews\canonical-normalization-20260825-084055\CLAUDE_ARCHITECTURAL_REVIEW_PACKAGE.md",".md","717","30-08-2026 07:40:09"
"intelligent-sutherland-9f1488",".ai\reviews\canonical-normalization-20260825-084055\DATABASE_MIGRATION_PLAN.json",".json","615","30-08-2026 07:40:09"
