"PhysicalPath","FileName","Extension","SizeBytes","SHA256","PhysicalItemID","IdentitySource","Confidence","AuthorityOriginalPath","AuthorityCurrentLocation","AuthorityOriginalFileName","LogicalIdentity","ImplementationIdentity","VariantIdentity","LibraryPathMatch","LibraryHashMatch","SubhEvidenceMatch","Status","Reason"
".dockerignore",".dockerignore",".dockerignore","886","0A5022025841D12F6A9C89A0D079663D237B50AF3CCE57E3319AE22F6FE572B0","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established."
"System.Collections.Specialized.OrderedDictionary","System.Collections.Specialized.OrderedDictionary",".OrderedDictionary","765","E784DF34E9C24A2F535209A4582635C1B2C6A084DC2EEA3F17D20B952BE25D23","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established."
".claude\worktrees\agent-a9f69f226252901da\.gitignore",".gitignore",".gitignore","245","65E11BCDB633335EC7EE8BDB81906A493AE184DFE1CCDB2961EBA63C94781BF7","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established."
".claude\worktrees\agent-a9f69f226252901da\.node-version",".node-version",".node-version","9","1A399B427730396A57EB2E264F57EE925945837F22E08A8692AA25F0D24DE09E","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established."
".claude\worktrees\agent-a9f69f226252901da\.nvmrc",".nvmrc",".nvmrc","9","1A399B427730396A57EB2E264F57EE925945837F22E08A8692AA25F0D24DE09E","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established."
".claude\worktrees\agent-a9f69f226252901da\AFRERA_ARCHITECTURE_COMPILATION_SUMMARY.md","AFRERA_ARCHITECTURE_COMPILATION_SUMMARY.md",".md","30254","72BB0ED9F45F68C0074F800723AF5D3044748FB8D2CCAD3D2BB7C27B686E2AC5","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established."
".claude\worktrees\agent-a9f69f226252901da\AFRERA_BIO_INSPIRED_ENTERPRISE_INTELLIGENCE_ARCHITECTURE_BIEA.md","AFRERA_BIO_INSPIRED_ENTERPRISE_INTELLIGENCE_ARCHITECTURE_BIEA.md",".md","31617","3837915DB30FC6073E4E1F07A6AD4C992BF5FBE12ECD516A5404D5C95DB35931","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established."
".claude\worktrees\agent-a9f69f226252901da\AFRERA_BUSINESS_CELL_ANATOMY_SPECIFICATION.md","AFRERA_BUSINESS_CELL_ANATOMY_SPECIFICATION.md",".md","32758","83706FBEB9264EBBF98CD0CE95F7E5CB350F751B930FCFBD232EEC104F8F19C7","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established."
".claude\worktrees\agent-a9f69f226252901da\AFRERA_CLAUDE_BUILD_DIRECTIVE.md","AFRERA_CLAUDE_BUILD_DIRECTIVE.md",".md","50896","5B2A5212C015467E9257600E4C2E562FDFB132E9D5FB38EFC372613B50111F75","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established."
".claude\worktrees\agent-a9f69f226252901da\AFRERA_DEVELOPMENT_INFRASTRUCTURE_SPECIFICATION.md","AFRERA_DEVELOPMENT_INFRASTRUCTURE_SPECIFICATION.md",".md","23935","44809954299B69D2A5406BFC3062004284036BDD35C809833C9E8FF00AD873C5","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established."
".claude\worktrees\agent-a9f69f226252901da\AFRERA_DEVELOPMENT_OPERATING_SYSTEM_SPECIFICATION.md","AFRERA_DEVELOPMENT_OPERATING_SYSTEM_SPECIFICATION.md",".md","60015","8306E68F08B4E4F0DF8F964DB3966377E6E8E0143109CB72177CCBD143DFB6B9","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established."
