"RelativeDirectory","FullPath","FileCount","Created","LastWrite"
"00_SOURCE_SNAPSHOT","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\00_SOURCE_SNAPSHOT","0","15-08-2026 00:05:55","15-08-2026 00:05:55"
"01_COMPLETE_FILE_INVENTORY","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\01_COMPLETE_FILE_INVENTORY","2","15-08-2026 00:05:55","15-08-2026 00:10:17"
"02_DIRECTORY_INVENTORY","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\02_DIRECTORY_INVENTORY","2","15-08-2026 00:05:55","15-08-2026 00:14:28"
"03_DUPLICATE_ANALYSIS","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\03_DUPLICATE_ANALYSIS","2","15-08-2026 00:05:55","15-08-2026 00:58:27"
"04_NAMING_ANALYSIS","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\04_NAMING_ANALYSIS","1","15-08-2026 00:05:55","15-08-2026 00:48:00"
"05_ROUTE_ANALYSIS","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\05_ROUTE_ANALYSIS","1","15-08-2026 00:05:55","15-08-2026 00:27:59"
"06_IMPORT_REFERENCE_GRAPH","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\06_IMPORT_REFERENCE_GRAPH","1","15-08-2026 00:05:55","15-08-2026 00:42:21"
"07_UI_API_DATABASE_GRAPH","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\07_UI_API_DATABASE_GRAPH","1","15-08-2026 00:05:55","15-08-2026 00:53:23"
"08_WORKFLOW_GRAPH","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\08_WORKFLOW_GRAPH","1","15-08-2026 00:05:55","15-08-2026 00:55:53"
"09_SECURITY_GRAPH","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\09_SECURITY_GRAPH","1","15-08-2026 00:05:55","15-08-2026 01:01:54"
"10_AI_INTEGRATION_GRAPH","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\10_AI_INTEGRATION_GRAPH","1","15-08-2026 00:05:55","15-08-2026 01:04:52"
"11_RENAME_PLAN","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\11_RENAME_PLAN","1","15-08-2026 00:05:55","15-08-2026 00:51:21"
"12_RECONCILIATION","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\12_RECONCILIATION","0","15-08-2026 00:05:55","15-08-2026 00:05:55"
"13_COVERAGE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\13_COVERAGE","0","15-08-2026 00:05:55","15-08-2026 00:05:55"
"14_GAP_ANALYSIS","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\14_GAP_ANALYSIS","0","15-08-2026 00:05:55","15-08-2026 00:05:55"
"15_MASTER_ARCHITECTURE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\15_MASTER_ARCHITECTURE","1","15-08-2026 00:05:55","15-08-2026 01:09:02"
"90_LOGS","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\90_LOGS","18","15-08-2026 00:05:55","20-08-2026 10:24:44"
"99_CHECKPOINTS","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\99_CHECKPOINTS","0","15-08-2026 00:05:55","15-08-2026 00:05:55"
"99_DELIVERABLES","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\99_DELIVERABLES","16","15-08-2026 01:13:16","15-08-2026 01:13:16"
"SUBH_DELIVERABLES","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\SUBH_DELIVERABLES","14","15-08-2026 01:42:13","15-08-2026 01:42:13"
"SUBH_RECONSTRUCTION","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\SUBH_RECONSTRUCTION","6","15-08-2026 01:29:39","15-08-2026 01:40:27"
