"RelativePath","FullPath","Name","Extension","SizeBytes","Created","LastWrite","Attributes"
"01_COMPLETE_FILE_INVENTORY\COMPLETE_FILE_INVENTORY.csv","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\01_COMPLETE_FILE_INVENTORY\COMPLETE_FILE_INVENTORY.csv","COMPLETE_FILE_INVENTORY.csv",".csv","54936606","15-08-2026 00:10:17","15-08-2026 00:25:30","Archive"
"01_COMPLETE_FILE_INVENTORY\RAW_FILE_DISCOVERY.json","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\01_COMPLETE_FILE_INVENTORY\RAW_FILE_DISCOVERY.json","RAW_FILE_DISCOVERY.json",".json","34143170","15-08-2026 00:06:03","15-08-2026 00:06:57","Archive"
"02_DIRECTORY_INVENTORY\DIRECTORY_INVENTORY.csv","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\02_DIRECTORY_INVENTORY\DIRECTORY_INVENTORY.csv","DIRECTORY_INVENTORY.csv",".csv","3722747","15-08-2026 00:11:55","15-08-2026 00:14:28","Archive"
"02_DIRECTORY_INVENTORY\DIRECTORY_TREE.txt","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\02_DIRECTORY_INVENTORY\DIRECTORY_TREE.txt","DIRECTORY_TREE.txt",".txt","5630278","15-08-2026 00:14:28","15-08-2026 00:19:59","Archive"
"03_DUPLICATE_ANALYSIS\EXACT_DUPLICATES.csv","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\03_DUPLICATE_ANALYSIS\EXACT_DUPLICATES.csv","EXACT_DUPLICATES.csv",".csv","2249356","15-08-2026 00:27:16","15-08-2026 00:58:22","Archive"
"03_DUPLICATE_ANALYSIS\NAME_DUPLICATES.csv","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\03_DUPLICATE_ANALYSIS\NAME_DUPLICATES.csv","NAME_DUPLICATES.csv",".csv","522276","15-08-2026 00:58:27","15-08-2026 01:04:32","Archive"
"04_NAMING_ANALYSIS\NAMING_CONFLICTS.csv","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\04_NAMING_ANALYSIS\NAMING_CONFLICTS.csv","NAMING_CONFLICTS.csv",".csv","1657431","15-08-2026 00:48:00","15-08-2026 01:08:18","Archive"
"05_ROUTE_ANALYSIS\MASTER_ROUTE_REGISTRY.csv","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\05_ROUTE_ANALYSIS\MASTER_ROUTE_REGISTRY.csv","MASTER_ROUTE_REGISTRY.csv",".csv","126027","15-08-2026 00:27:59","15-08-2026 00:28:04","Archive"
"06_IMPORT_REFERENCE_GRAPH\MASTER_IMPORT_GRAPH.csv","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\06_IMPORT_REFERENCE_GRAPH\MASTER_IMPORT_GRAPH.csv","MASTER_IMPORT_GRAPH.csv",".csv","3839276","15-08-2026 00:42:21","15-08-2026 00:45:42","Archive"
"07_UI_API_DATABASE_GRAPH\MASTER_UI_API_DB_GRAPH.csv","C:\Users\DIYA GOEL\Downloads\EBDESIGN\_SUBH_FORENSIC_REBUILD\07_UI_API_DATABASE_GRAPH\MASTER_UI_API_DB_GRAPH.csv","MASTER_UI_API_DB_GRAPH.csv",".csv","103110","15-08-2026 00:53:23","15-08-2026 00:53:25","Archive"
