"PhysicalPath","FileName","Extension","SizeBytes","SHA256","PhysicalItemID","IdentitySource","Confidence","AuthorityOriginalPath","AuthorityCurrentLocation","AuthorityOriginalFileName","LogicalIdentity","ImplementationIdentity","VariantIdentity","LibraryPathMatch","LibraryHashMatch","SubhEvidenceMatch","Status","Reason","TriageBucket","TriageReason"
".dockerignore",".dockerignore",".dockerignore","886","0A5022025841D12F6A9C89A0D079663D237B50AF3CCE57E3319AE22F6FE572B0","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"backend\src\database\migrations\__missing_fk_indexes.json","__missing_fk_indexes.json",".json","2693","269D54AF2AFF10B74AA1FD235F9B0CC0B4F7CC67C9B41425408BB20C298174EB","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"backend\src\middleware\ownership.js","ownership.js",".js","4501","2B8FEB8EAF5C369275CB9692948D5CF13033AFE91A99D5FE3FE22D1B1D51E8CC","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"backend\src\middleware\roleGroups.js","roleGroups.js",".js","1752","15F07A7D8EC8E3CE1772B2BB65A1ED7BF7FB354435670F30ABD5374E37BD8F1D","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"backend\src\routes\engineeringProjectRoutes.js","engineeringProjectRoutes.js",".js","2682","95BE5EB91A36DE2A6FAB4CDE9EA5DC8416C8C25305861BDD81CB803102F35D25","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"backend\src\services\engineeringProjectService.js","engineeringProjectService.js",".js","11454","FAFBCF1F47069D6FDD724B809888B16AB7CBF6BB57960A4D5261FDECD4EB200C","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"backend\src\utils\testFallbackStore.js","testFallbackStore.js",".js","1671","DB39A38B80F6D4D3849834657CD5C80E260B382C9860AFCC4B4CB8924D9C5A4E","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"forensic-identity-audit-v2\identity_audit_report.txt","identity_audit_report.txt",".txt","3343","511B67CC5E6BD76B6EE247215ED8031DEA28F7C99C74F44841E439271377FEC5","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"forensic-identity-audit-v2\identity_summary.json","identity_summary.json",".json","1851","8D8C4EEF8074F80EDAE8602B44A12E823A2108BCA13B7E64E2F5CDACE570BEED","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"frontend\public\robots.txt","robots.txt",".txt","973","81161EAC1711D0F3B60E2944F8A44A59209A20FDFF916EFB73F63F66C98A1C0A","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
