"PhysicalPath","FileName","Extension","SizeBytes","SHA256","PhysicalItemID","IdentitySource","Confidence","AuthorityOriginalPath","AuthorityCurrentLocation","AuthorityOriginalFileName","LogicalIdentity","ImplementationIdentity","VariantIdentity","LibraryPathMatch","LibraryHashMatch","SubhEvidenceMatch","Status","Reason","TriageBucket","TriageReason"
".env.database.example",".env.database.example",".example","511","1108812CDCEEDB63FD665A7587CECB0DCD86899E3CD0339CB851A7F905D3169E","EBD-PHY-0000258980","AUTHORITY_PATH","85",".env.database.example",".env.database.example",".env.database.example","UNRESOLVED","UNRESOLVED","UNRESOLVED","False","False","False","REVIEW_REQUIRED","Unique path identity but SHA256 does not independently corroborate.","SAFE_TO_ACCESSION_PATH_CONFIRMED","Path-based Authority identity already established (PhysicalItemID assigned); missing hash corroboration is an Authority-registry completeness gap, not file ambiguity — global CONFLICT and DUPLICATE counts for this run were both 0. Safe to backfill SHA256 onto the existing PhysicalItemID."
".env.production",".env.production",".production","1224","B4B9F6BD38954E8ED0DB5BDA02E7A41015E10F7EA64DB65D5B9309F6D037675E","EBD-PHY-0000258981","AUTHORITY_PATH","85",".env.production",".env.production",".env.production","UNRESOLVED","UNRESOLVED","UNRESOLVED","False","False","False","REVIEW_REQUIRED","Unique path identity but SHA256 does not independently corroborate.","SAFE_TO_ACCESSION_PATH_CONFIRMED","Path-based Authority identity already established (PhysicalItemID assigned); missing hash corroboration is an Authority-registry completeness gap, not file ambiguity — global CONFLICT and DUPLICATE counts for this run were both 0. Safe to backfill SHA256 onto the existing PhysicalItemID."
".gitignore",".gitignore",".gitignore","291","A1FAEF07F4F6A6AEF1D5FB967293A3A4A51E5ED63BC25AC0C93CACBB7D892EC6","EBD-PHY-0000260043","AUTHORITY_PATH","85",".gitignore",".gitignore",".gitignore","UNRESOLVED","UNRESOLVED","UNRESOLVED","False","False","False","REVIEW_REQUIRED","Unique path identity but SHA256 does not independently corroborate.","SAFE_TO_ACCESSION_PATH_CONFIRMED","Path-based Authority identity already established (PhysicalItemID assigned); missing hash corroboration is an Authority-registry completeness gap, not file ambiguity — global CONFLICT and DUPLICATE counts for this run were both 0. Safe to backfill SHA256 onto the existing PhysicalItemID."
".node-version",".node-version",".node-version","8","3BF5F8A21B647F346B9382086362641687F09BADD2AFB450EA1D144B671090F5","EBD-PHY-0000260044","AUTHORITY_PATH","85",".node-version",".node-version",".node-version","UNRESOLVED","UNRESOLVED","UNRESOLVED","False","False","False","REVIEW_REQUIRED","Unique path identity but SHA256 does not independently corroborate.","SAFE_TO_ACCESSION_PATH_CONFIRMED","Path-based Authority identity already established (PhysicalItemID assigned); missing hash corroboration is an Authority-registry completeness gap, not file ambiguity — global CONFLICT and DUPLICATE counts for this run were both 0. Safe to backfill SHA256 onto the existing PhysicalItemID."
".nvmrc",".nvmrc",".nvmrc","8","3BF5F8A21B647F346B9382086362641687F09BADD2AFB450EA1D144B671090F5","EBD-PHY-0000260045","AUTHORITY_PATH","85",".nvmrc",".nvmrc",".nvmrc","UNRESOLVED","UNRESOLVED","UNRESOLVED","False","False","False","REVIEW_REQUIRED","Unique path identity but SHA256 does not independently corroborate.","SAFE_TO_ACCESSION_PATH_CONFIRMED","Path-based Authority identity already established (PhysicalItemID assigned); missing hash corroboration is an Authority-registry completeness gap, not file ambiguity — global CONFLICT and DUPLICATE counts for this run were both 0. Safe to backfill SHA256 onto the existing PhysicalItemID."
"ACCOUNTING_MODULE_FRAMEWORK_SPECIFICATION.md","ACCOUNTING_MODULE_FRAMEWORK_SPECIFICATION.md",".md","19919","FFEC26BB759ABB103D6A75C21FF4ED98FC1BEABD39DAE2A31E72620EA2C50745","EBD-PHY-0000260604","AUTHORITY_PATH","85","ACCOUNTING_MODULE_FRAMEWORK_SPECIFICATION.md","ACCOUNTING_MODULE_FRAMEWORK_SPECIFICATION.md","ACCOUNTING_MODULE_FRAMEWORK_SPECIFICATION.md","UNRESOLVED","UNRESOLVED","UNRESOLVED","False","False","False","REVIEW_REQUIRED","Unique path identity but SHA256 does not independently corroborate.","SAFE_TO_ACCESSION_PATH_CONFIRMED","Path-based Authority identity already established (PhysicalItemID assigned); missing hash corroboration is an Authority-registry completeness gap, not file ambiguity — global CONFLICT and DUPLICATE counts for this run were both 0. Safe to backfill SHA256 onto the existing PhysicalItemID."
"ADMIN_MODULE_SPECIFICATION.md","ADMIN_MODULE_SPECIFICATION.md",".md","34602","D205B198377FA2882FA8BA3EFF11105BACA49D4E496B70E9FDD491680AD1B64E","EBD-PHY-0000260605","AUTHORITY_PATH","85","ADMIN_MODULE_SPECIFICATION.md","ADMIN_MODULE_SPECIFICATION.md","ADMIN_MODULE_SPECIFICATION.md","UNRESOLVED","UNRESOLVED","UNRESOLVED","False","False","False","REVIEW_REQUIRED","Unique path identity but SHA256 does not independently corroborate.","SAFE_TO_ACCESSION_PATH_CONFIRMED","Path-based Authority identity already established (PhysicalItemID assigned); missing hash corroboration is an Authority-registry completeness gap, not file ambiguity — global CONFLICT and DUPLICATE counts for this run were both 0. Safe to backfill SHA256 onto the existing PhysicalItemID."
"ADVANCED_AI_ERP_MODULES_RESEARCH.md","ADVANCED_AI_ERP_MODULES_RESEARCH.md",".md","46344","0B3ACFA223DE11B64DD7ABEEFC147B1C16CBC4CF49CF04A0AC15CD858D917399","EBD-PHY-0000260606","AUTHORITY_PATH","85","ADVANCED_AI_ERP_MODULES_RESEARCH.md","ADVANCED_AI_ERP_MODULES_RESEARCH.md","ADVANCED_AI_ERP_MODULES_RESEARCH.md","UNRESOLVED","UNRESOLVED","UNRESOLVED","False","False","False","REVIEW_REQUIRED","Unique path identity but SHA256 does not independently corroborate.","SAFE_TO_ACCESSION_PATH_CONFIRMED","Path-based Authority identity already established (PhysicalItemID assigned); missing hash corroboration is an Authority-registry completeness gap, not file ambiguity — global CONFLICT and DUPLICATE counts for this run were both 0. Safe to backfill SHA256 onto the existing PhysicalItemID."
"AEROPONICS_MANAGEMENT_MODULE_IMPLEMENTATION.md","AEROPONICS_MANAGEMENT_MODULE_IMPLEMENTATION.md",".md","7673","3BACEE2D224AD07C76AFD5B2355C2C4B0F29131C61865E1622B9F94327E79244","EBD-PHY-0000260607","AUTHORITY_PATH","85","AEROPONICS_MANAGEMENT_MODULE_IMPLEMENTATION.md","AEROPONICS_MANAGEMENT_MODULE_IMPLEMENTATION.md","AEROPONICS_MANAGEMENT_MODULE_IMPLEMENTATION.md","UNRESOLVED","UNRESOLVED","UNRESOLVED","False","False","False","REVIEW_REQUIRED","Unique path identity but SHA256 does not independently corroborate.","SAFE_TO_ACCESSION_PATH_CONFIRMED","Path-based Authority identity already established (PhysicalItemID assigned); missing hash corroboration is an Authority-registry completeness gap, not file ambiguity — global CONFLICT and DUPLICATE counts for this run were both 0. Safe to backfill SHA256 onto the existing PhysicalItemID."
"AFRERA_ARCHITECTURE_COMPILATION_SUMMARY.md","AFRERA_ARCHITECTURE_COMPILATION_SUMMARY.md",".md","30254","72BB0ED9F45F68C0074F800723AF5D3044748FB8D2CCAD3D2BB7C27B686E2AC5","EBD-PHY-0000260639","AUTHORITY_PATH","85","AFRERA_ARCHITECTURE_COMPILATION_SUMMARY.md","AFRERA_ARCHITECTURE_COMPILATION_SUMMARY.md","AFRERA_ARCHITECTURE_COMPILATION_SUMMARY.md","UNRESOLVED","UNRESOLVED","UNRESOLVED","False","False","False","REVIEW_REQUIRED","Unique path identity but SHA256 does not independently corroborate.","SAFE_TO_ACCESSION_PATH_CONFIRMED","Path-based Authority identity already established (PhysicalItemID assigned); missing hash corroboration is an Authority-registry completeness gap, not file ambiguity — global CONFLICT and DUPLICATE counts for this run were both 0. Safe to backfill SHA256 onto the existing PhysicalItemID."
