"Column","LooksLikeId","LooksLikePath"
"RegistryKey","False","False"
"PhysicalItemID","True","False"
"IdentityClass","False","False"
"IdentityVersion","False","False"
"Area","False","False"
"Domain","False","False"
"ModuleCandidate","False","False"
"OriginalRelativePath","False","False"
"OriginalFileName","False","False"
"Extension","False","False"
"DirectoryName","False","False"
"SizeBytes","False","False"
"CreationTime","False","False"
"LastWriteTime","False","False"
"CurrentLocation","False","False"
"LocationStatus","False","False"
"SourceStatus","False","False"
"SHA256","False","False"
"LogicalIdentity","False","False"
"ImplementationIdentity","False","False"
"VariantIdentity","False","False"
"FunctionalStatus","False","False"
"ClassificationStatus","False","False"
"PreservationStatus","False","False"
"DeaccessionStatus","False","False"
"Provenance","False","False"
"AccessionBatch","False","False"
"AccessionTimestamp","False","False"
