"FullPath","RelativeToLibrary","Name","Extension","Size","Modified"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\_EBDESIGN_LIBRARY\01_ARTIFACTS\MASTER_ARTIFACT_REGISTRY.csv","01_ARTIFACTS\MASTER_ARTIFACT_REGISTRY.csv","MASTER_ARTIFACT_REGISTRY.csv",".csv","3","2026-08-20T11:19:58.1919203+05:30"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\_EBDESIGN_LIBRARY\04_AUTHORITY\IDENTITY_REGISTRY\AUDIT\EBD_IDENTITY_STANDARD_v1.json","04_AUTHORITY\IDENTITY_REGISTRY\AUDIT\EBD_IDENTITY_STANDARD_v1.json","EBD_IDENTITY_STANDARD_v1.json",".json","2636","2026-08-19T14:10:34.9645324+05:30"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\_EBDESIGN_LIBRARY\04_AUTHORITY\IDENTITY_REGISTRY\AUDIT\IDENTITY_REGISTRY_MANIFEST.json","04_AUTHORITY\IDENTITY_REGISTRY\AUDIT\IDENTITY_REGISTRY_MANIFEST.json","IDENTITY_REGISTRY_MANIFEST.json",".json","894","2026-08-19T14:13:01.3832409+05:30"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\_EBDESIGN_LIBRARY\04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000001_PHYSICAL.csv","04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000001_PHYSICAL.csv","BATCH_000001_PHYSICAL.csv",".csv","3140004","2026-08-19T14:30:17.7262962+05:30"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\_EBDESIGN_LIBRARY\04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000002_PHYSICAL.csv","04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000002_PHYSICAL.csv","BATCH_000002_PHYSICAL.csv",".csv","3369448","2026-08-19T14:30:47.4039883+05:30"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\_EBDESIGN_LIBRARY\04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000003_PHYSICAL.csv","04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000003_PHYSICAL.csv","BATCH_000003_PHYSICAL.csv",".csv","3340080","2026-08-19T14:30:49.9326829+05:30"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\_EBDESIGN_LIBRARY\04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000004_PHYSICAL.csv","04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000004_PHYSICAL.csv","BATCH_000004_PHYSICAL.csv",".csv","3231926","2026-08-19T14:30:51.7249709+05:30"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\_EBDESIGN_LIBRARY\04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000005_PHYSICAL.csv","04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000005_PHYSICAL.csv","BATCH_000005_PHYSICAL.csv",".csv","3209841","2026-08-19T14:30:53.9558730+05:30"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\_EBDESIGN_LIBRARY\04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000006_PHYSICAL.csv","04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000006_PHYSICAL.csv","BATCH_000006_PHYSICAL.csv",".csv","3166811","2026-08-19T14:31:01.6340230+05:30"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\_EBDESIGN_LIBRARY\04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000007_PHYSICAL.csv","04_AUTHORITY\IDENTITY_REGISTRY\BATCHES\BATCH_000007_PHYSICAL.csv","BATCH_000007_PHYSICAL.csv",".csv","3217771","2026-08-19T14:31:03.6036857+05:30"
