"RelativePath","Name","Extension","Size","Modified"
"00_CATALOG\CARD_STATUS_INDEX.csv","CARD_STATUS_INDEX.csv",".csv","117","2026-08-19T11:02:21.3498581+05:30"
"00_CATALOG\CARD_TYPE_INDEX.csv","CARD_TYPE_INDEX.csv",".csv","186","2026-08-19T11:02:21.4349032+05:30"
"00_CATALOG\LIBRARY_MANIFEST.json","LIBRARY_MANIFEST.json",".json","714","2026-08-19T11:02:21.5944206+05:30"
"00_CATALOG\MASTER_LIBRARY_CATALOG.csv","MASTER_LIBRARY_CATALOG.csv",".csv","157468","2026-08-19T11:02:21.1525803+05:30"
"00_CATALOG\MODULE_CARD_INDEX.csv","MODULE_CARD_INDEX.csv",".csv","61737","2026-08-19T11:02:21.2634460+05:30"
"00_GOVERNANCE\SCHEMAS\MASTER_DATA_MODEL.txt","MASTER_DATA_MODEL.txt",".txt","1301","2026-08-19T13:46:31.3187791+05:30"
"00_GOVERNANCE\SCHEMAS\RELATIONSHIP_VOCABULARY.csv","RELATIONSHIP_VOCABULARY.csv",".csv","416","2026-08-19T13:46:31.1622420+05:30"
"00_MASTER\MASTER_LIBRARY_MANIFEST.json","MASTER_LIBRARY_MANIFEST.json",".json","1550","2026-08-20T11:19:59.2916686+05:30"
"01_ACQUISITION\SOURCES\00_FORENSIC_SOURCE_INVENTORY.csv","00_FORENSIC_SOURCE_INVENTORY.csv",".csv","761","2026-08-19T13:47:43.3388749+05:30"
"01_ARTIFACTS\MASTER_ARTIFACT_REGISTRY.csv","MASTER_ARTIFACT_REGISTRY.csv",".csv","3","2026-08-20T11:19:58.1919203+05:30"
"01_MODULE_CARDS\MOD-M001.json","MOD-M001.json",".json","712","2026-08-19T11:02:19.2385474+05:30"
"01_MODULE_CARDS\MOD-M002.json","MOD-M002.json",".json","712","2026-08-19T11:02:19.2403316+05:30"
"01_MODULE_CARDS\MOD-M003.json","MOD-M003.json",".json","712","2026-08-19T11:02:19.2425039+05:30"
"01_MODULE_CARDS\MOD-M004.json","MOD-M004.json",".json","712","2026-08-19T11:02:19.2444475+05:30"
"01_MODULE_CARDS\MOD-M005.json","MOD-M005.json",".json","712","2026-08-19T11:02:19.2461532+05:30"
"01_MODULE_CARDS\MOD-M006.json","MOD-M006.json",".json","712","2026-08-19T11:02:19.2490373+05:30"
"01_MODULE_CARDS\MOD-M007.json","MOD-M007.json",".json","712","2026-08-19T11:02:19.2500825+05:30"
"01_MODULE_CARDS\MOD-M008.json","MOD-M008.json",".json","712","2026-08-19T11:02:19.2534288+05:30"
"01_MODULE_CARDS\MOD-M009.json","MOD-M009.json",".json","712","2026-08-19T11:02:19.2568798+05:30"
"01_MODULE_CARDS\MOD-M010.json","MOD-M010.json",".json","712","2026-08-19T11:02:19.2686611+05:30"
"01_MODULE_CARDS\MOD-M011.json","MOD-M011.json",".json","712","2026-08-19T11:02:19.2686611+05:30"
"01_MODULE_CARDS\MOD-M012.json","MOD-M012.json",".json","680","2026-08-19T11:02:19.2769144+05:30"
"01_MODULE_CARDS\MOD-M013.json","MOD-M013.json",".json","680","2026-08-19T11:02:19.2769144+05:30"
"01_MODULE_CARDS\MOD-M014.json","MOD-M014.json",".json","712","2026-08-19T11:02:19.2769144+05:30"
"01_MODULE_CARDS\MOD-M015.json","MOD-M015.json",".json","680","2026-08-19T11:02:19.2841706+05:30"
"01_MODULE_CARDS\MOD-M016.json","MOD-M016.json",".json","712","2026-08-19T11:02:19.2872403+05:30"
"01_MODULE_CARDS\MOD-M017.json","MOD-M017.json",".json","680","2026-08-19T11:02:19.2882461+05:30"
"01_MODULE_CARDS\MOD-M018.json","MOD-M018.json",".json","712","2026-08-19T11:02:19.2920207+05:30"
"01_MODULE_CARDS\MOD-M019.json","MOD-M019.json",".json","712","2026-08-19T11:02:19.2944398+05:30"
"01_MODULE_CARDS\MOD-M020.json","MOD-M020.json",".json","712","2026-08-19T11:02:19.2964467+05:30"
"01_MODULE_CARDS\MOD-M021.json","MOD-M021.json",".json","680","2026-08-19T11:02:19.2984541+05:30"
"01_MODULE_CARDS\MOD-M022.json","MOD-M022.json",".json","712","2026-08-19T11:02:19.3004603+05:30"
"01_MODULE_CARDS\MOD-M023.json","MOD-M023.json",".json","712","2026-08-19T11:02:19.3026684+05:30"
"01_MODULE_CARDS\MOD-M024.json","MOD-M024.json",".json","712","2026-08-19T11:02:19.3048701+05:30"
"01_MODULE_CARDS\MOD-M025.json","MOD-M025.json",".json","712","2026-08-19T11:02:19.3068760+05:30"
"01_MODULE_CARDS\MOD-M026.json","MOD-M026.json",".json","679","2026-08-19T11:02:19.3091786+05:30"
"01_MODULE_CARDS\MOD-M027.json","MOD-M027.json",".json","679","2026-08-19T11:02:19.3108790+05:30"
"01_MODULE_CARDS\MOD-M028.json","MOD-M028.json",".json","679","2026-08-19T11:02:19.3125753+05:30"
"01_MODULE_CARDS\MOD-M029.json","MOD-M029.json",".json","679","2026-08-19T11:02:19.3157426+05:30"
"01_MODULE_CARDS\MOD-M030.json","MOD-M030.json",".json","680","2026-08-19T11:02:19.3165511+05:30"
"01_MODULE_CARDS\MOD-M031.json","MOD-M031.json",".json","712","2026-08-19T11:02:19.3199461+05:30"
"01_MODULE_CARDS\MOD-M032.json","MOD-M032.json",".json","712","2026-08-19T11:02:19.3218784+05:30"
"01_MODULE_CARDS\MOD-M033.json","MOD-M033.json",".json","679","2026-08-19T11:02:19.3235091+05:30"
"01_MODULE_CARDS\MOD-M034.json","MOD-M034.json",".json","710","2026-08-19T11:02:19.3255164+05:30"
"01_MODULE_CARDS\MOD-M035.json","MOD-M035.json",".json","710","2026-08-19T11:02:19.3255164+05:30"
"01_MODULE_CARDS\MOD-M036.json","MOD-M036.json",".json","679","2026-08-19T11:02:19.3255164+05:30"
"01_MODULE_CARDS\MOD-M037.json","MOD-M037.json",".json","710","2026-08-19T11:02:19.3325413+05:30"
"01_MODULE_CARDS\MOD-M038.json","MOD-M038.json",".json","710","2026-08-19T11:02:19.3344439+05:30"
"01_MODULE_CARDS\MOD-M039.json","MOD-M039.json",".json","710","2026-08-19T11:02:19.3368402+05:30"
"01_MODULE_CARDS\MOD-M040.json","MOD-M040.json",".json","679","2026-08-19T11:02:19.3391623+05:30"
"01_MODULE_CARDS\MOD-M041.json","MOD-M041.json",".json","712","2026-08-19T11:02:19.3418306+05:30"
"01_MODULE_CARDS\MOD-M042.json","MOD-M042.json",".json","712","2026-08-19T11:02:19.3534460+05:30"
"01_MODULE_CARDS\MOD-M043.json","MOD-M043.json",".json","680","2026-08-19T11:02:19.3534460+05:30"
"01_MODULE_CARDS\MOD-M044.json","MOD-M044.json",".json","680","2026-08-19T11:02:19.3596032+05:30"
"01_MODULE_CARDS\MOD-M045.json","MOD-M045.json",".json","680","2026-08-19T11:02:19.3596032+05:30"
"01_MODULE_CARDS\MOD-M046.json","MOD-M046.json",".json","712","2026-08-19T11:02:19.3616100+05:30"
"01_MODULE_CARDS\MOD-M047.json","MOD-M047.json",".json","679","2026-08-19T11:02:19.3636180+05:30"
"01_MODULE_CARDS\MOD-M048.json","MOD-M048.json",".json","679","2026-08-19T11:02:19.3656731+05:30"
"01_MODULE_CARDS\MOD-M049.json","MOD-M049.json",".json","710","2026-08-19T11:02:19.3679524+05:30"
"01_MODULE_CARDS\MOD-M050.json","MOD-M050.json",".json","679","2026-08-19T11:02:19.3679524+05:30"
