"System","File","LinkageCandidate"
"src-tauri","tauri.conf.json","http://localhost:3000"
"src-tauri","tauri.conf.json","https://**"
"src-tauri","tauri.conf.json","http://localhost:**"
"src-tauri","tauri.conf.json","http://127.0.0.1:**"
"src-tauri","icons\README.md","ai"
"src-tauri","icons\README.md","ai"
"src-tauri","icons\README.md","frontend"
"src-tauri","icons\README.md","frontend"
"src-tauri","icons\README.md","frontend"
"src-tauri","icons\README.md","frontend"
"src-tauri","icons\README.md","frontend"
"src-tauri","icons\README.md","ai"
