"System","Path","Extension","SizeBytes","LastWriteTimeUtc"
"frontend",".env.example",".example","2397","04-09-2026 12:46:32"
"frontend",".eslintrc.json",".json","3362","04-09-2026 13:15:59"
"frontend","babel-jest-vite-env.cjs",".cjs","374","03-09-2026 03:10:08"
"frontend","babel.config.cjs",".cjs","240","03-09-2026 03:10:08"
"frontend","capacitor.config.json",".json","87","30-08-2026 02:47:51"
"frontend","Dockerfile","","1167","05-09-2026 03:08:18"
"frontend","frontend-fixes-report.json",".json","107","30-08-2026 02:47:51"
"frontend","frontend-link-audit-report.json",".json","130698","04-09-2026 06:28:03"
"frontend","frontend_startup.log",".log","41","03-09-2026 12:45:43"
"frontend","index.html",".html","3912","30-08-2026 02:47:51"
"frontend","jest.config.js",".js","692","30-08-2026 02:47:51"
"frontend","jest.setup.js",".js","1515","04-09-2026 07:03:28"
"frontend","nginx.conf",".conf","1099","03-09-2026 12:57:53"
"frontend","package-lock.json",".json","778449","04-09-2026 13:03:17"
"frontend","package.json",".json","3192","04-09-2026 13:03:01"
"frontend","postcss.config.cjs",".cjs","99","04-09-2026 07:13:44"
"frontend","tailwind.config.js",".js","5260","30-08-2026 02:47:54"
"frontend","vercel.json",".json","230","30-08-2026 02:47:54"
"frontend","vite.config.js",".js","6417","04-09-2026 07:08:45"
"frontend","android\.gitignore",".gitignore","1925","30-08-2026 02:47:51"
"frontend","android\build.gradle",".gradle","666","30-08-2026 02:47:51"
"frontend","android\capacitor.settings.gradle",".gradle","210","30-08-2026 02:47:51"
"frontend","android\gradle.properties",".properties","1009","30-08-2026 02:47:51"
"frontend","android\gradlew","","8984","30-08-2026 02:47:51"
"frontend","android\gradlew.bat",".bat","2937","30-08-2026 02:47:51"
"frontend","android\settings.gradle",".gradle","212","30-08-2026 02:47:51"
"frontend","android\variables.gradle",".gradle","513","30-08-2026 02:47:51"
"frontend","android\app\.gitignore",".gitignore","28","30-08-2026 02:47:51"
"frontend","android\app\build.gradle",".gradle","2194","30-08-2026 02:47:51"
"frontend","android\app\capacitor.build.gradle",".gradle","389","30-08-2026 02:47:51"
"frontend","android\app\proguard-rules.pro",".pro","772","30-08-2026 02:47:51"
"frontend","android\app\src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java",".java","800","30-08-2026 02:47:51"
