"System","Path","Extension","SizeBytes","LastWriteTimeUtc"
"enterprise-audit",".dockerignore",".dockerignore","967","30-08-2026 02:46:06"
"enterprise-audit",".env.database.example",".example","534","30-08-2026 02:46:06"
"enterprise-audit",".env.production",".production","1283","30-08-2026 02:46:06"
"enterprise-audit",".git",".git","78","30-08-2026 02:46:06"
"enterprise-audit",".gitignore",".gitignore","1032","30-08-2026 02:46:06"
"enterprise-audit",".node-version",".node-version","9","30-08-2026 02:46:06"
"enterprise-audit",".nvmrc",".nvmrc","9","30-08-2026 02:46:06"
"enterprise-audit","AFRERA_CLAUDE_BUILD_DIRECTIVE.md",".md","51122","30-08-2026 02:46:06"
"enterprise-audit","afrera_platform_v43.html",".html","1178558","04-09-2026 12:41:38"
"enterprise-audit","AGENT_PROTOCOL.md",".md","6945","04-09-2026 12:41:38"
"enterprise-audit","audit_module_inventory.csv",".csv","1735","30-08-2026 02:46:06"
"enterprise-audit","CLAUDE.md",".md","14352","04-09-2026 12:41:38"
"enterprise-audit","claude_compatibility_cleaner.bat",".bat","24520","30-08-2026 02:46:08"
"enterprise-audit","CLAUDE_ENHANCEMENT_PROMPT.md",".md","3194","30-08-2026 02:46:06"
"enterprise-audit","claude_protected_integration.bat",".bat","18055","30-08-2026 02:46:08"
"enterprise-audit","DATABASE_SETUP_GUIDE.md",".md","10854","30-08-2026 02:46:06"
"enterprise-audit","docker-compose.database.yml",".yml","1267","30-08-2026 02:46:08"
"enterprise-audit","docker-compose.yml",".yml","4154","30-08-2026 07:33:12"
"enterprise-audit","Dockerfile","","1756","30-08-2026 02:46:06"
"enterprise-audit","EBDESIGN.code-workspace",".code-workspace","67","30-08-2026 02:46:06"
"enterprise-audit","ENVIRONMENT_SETUP_GUIDE.md",".md","9252","30-08-2026 02:46:06"
"enterprise-audit","evga_cap_map.csv",".csv","127993","30-08-2026 02:46:08"
"enterprise-audit","EVGA_PHASE13_Enhanced_Evidence_Verification.pdf",".pdf","801545","30-08-2026 02:46:06"
"enterprise-audit","FORENSIC_DISCOVERY_REPORT.md",".md","23457","30-08-2026 02:46:06"
"enterprise-audit","frontend-link-audit-report.json",".json","366","30-08-2026 02:46:08"
"enterprise-audit","missing_in_code_caps.csv",".csv","69244","30-08-2026 02:46:10"
"enterprise-audit","module_evaluation.csv",".csv","16635","30-08-2026 02:46:10"
"enterprise-audit","PROJECT_STATUS.html",".html","64930","30-08-2026 02:46:06"
"enterprise-audit","QUICK_START_GUIDE.md",".md","9575","30-08-2026 02:46:06"
"enterprise-audit","README-DESKTOP.md",".md","4250","30-08-2026 02:46:06"
"enterprise-audit","README.md",".md","11843","30-08-2026 02:46:06"
"enterprise-audit","render.yaml",".yaml","1995","30-08-2026 02:46:12"
"enterprise-audit","settings.local.json",".json","48879","30-08-2026 02:46:12"
"enterprise-audit","SUBH_DATABASE_PREFLIGHT_STATE.txt",".txt","463","30-08-2026 02:46:06"
"enterprise-audit","_EBDESIGN_ULTRA_AUDIT.ps1",".ps1","20318","30-08-2026 02:46:06"
"enterprise-audit",".ai\AGENT_PROTOCOL.md",".md","6945","04-09-2026 12:41:38"
"enterprise-audit",".ai\PROJECT_CONTEXT.md",".md","8498","04-09-2026 12:41:38"
"enterprise-audit",".ai\work_log.json",".json","722","30-08-2026 02:46:06"
"enterprise-audit",".ai\architecture\AI_COLLABORATION_ARCHITECTURE.md",".md","11684","04-09-2026 12:41:38"
"enterprise-audit",".ai\architecture\BACKEND_ARCHITECTURE.md",".md","9587","04-09-2026 12:41:38"
"enterprise-audit",".ai\architecture\CLAUDE_AI_PLUG_AND_PLAY_STRATEGY.md",".md","12284","04-09-2026 12:41:38"
"enterprise-audit",".ai\architecture\CODEBASE_MAP.md",".md","13958","04-09-2026 12:41:38"
"enterprise-audit",".ai\architecture\CURRENT_IMPLEMENTATION.md",".md","12494","04-09-2026 12:41:38"
"enterprise-audit",".ai\architecture\DATABASE_CURRENT_STATE.md",".md","10794","04-09-2026 12:41:38"
"enterprise-audit",".ai\architecture\FILE_SEPARATION_COMPLETION_REPORT.md",".md","10092","04-09-2026 12:41:38"
"enterprise-audit",".ai\architecture\FILE_SEPARATION_STRATEGY.md",".md","10276","04-09-2026 12:41:38"
"enterprise-audit",".ai\architecture\FRONTEND_ARCHITECTURE.md",".md","9775","04-09-2026 12:41:38"
"enterprise-audit",".ai\architecture\MODULE_INTERFACE_SPECIFICATION.md",".md","14961","04-09-2026 12:41:38"
"enterprise-audit",".ai\architecture\MODULE_SCAFFOLD_RECONCILIATION.md",".md","3603","30-08-2026 02:46:06"
"enterprise-audit",".ai\architecture\PLUG_AND_PLAY_IMPLEMENTATION_SUMMARY.md",".md","11810","04-09-2026 12:41:38"
"enterprise-audit",".ai\architecture\SYSTEM_ARCHITECTURE.md",".md","11937","04-09-2026 12:41:38"
"enterprise-audit",".ai\handoffs\CLAUDE_INITIAL_HANDOFF.md",".md","15210","04-09-2026 12:41:38"
"enterprise-audit",".ai\handoffs\CLAUDE_TO_DEVIN_FINAL.md",".md","4896","30-08-2026 14:00:32"
"enterprise-audit",".ai\handoffs\CLAUDE_TO_DEVIN_INSTRUCTION.md",".md","2338","30-08-2026 13:05:15"
"enterprise-audit",".ai\handoffs\DATABASE_MIGRATION_BLOCKER.md",".md","2974","30-08-2026 02:46:06"
"enterprise-audit",".ai\history\DEVIN_IMPLEMENTATION_BASELINE.md",".md","9608","04-09-2026 12:41:38"
"enterprise-audit",".ai\history\IMPLEMENTATION_HISTORY.md",".md","11529","04-09-2026 12:41:38"
"enterprise-audit",".ai\quality\KNOWN_ISSUES_AND_TECHNICAL_DEBT.md",".md","8513","04-09-2026 12:41:38"
"enterprise-audit",".ai\quality\SECURITY_REVIEW.md",".md","8464","04-09-2026 12:41:38"
"enterprise-audit",".ai\quality\TESTING_AND_QA.md",".md","6933","04-09-2026 12:41:38"
