"Hash","Size","Path"
"F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","3","_EBDESIGN_LIBRARY\01_ARTIFACTS\MASTER_ARTIFACT_REGISTRY.csv"
"F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","3","_EBDESIGN_LIBRARY\02_MODULES\MODULE_ARTIFACT_MATRIX.csv"
"F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","3","_EBDESIGN_LIBRARY\04_AUTHORITY\IDENTITY_REGISTRY\PHYSICAL_FILENAME_INDEX.csv"
"F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","3","_EBDESIGN_LIBRARY\13_RECONCILIATION\DUPLICATE_CANDIDATES.csv"
"F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","3","_EBDESIGN_LIBRARY\22_UNKNOWN_REVIEW\UNRESOLVED_DEPENDENCIES_20260820_120932.csv"
"F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","3","_EBDESIGN_LIBRARY\99_AUDIT\02_LIBRARY_INTEGRITY_AUDIT\06_DUPLICATE_CARD_IDS.csv"
"F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","3","_EBDESIGN_LIBRARY\99_AUDIT\02_LIBRARY_INTEGRITY_AUDIT\07_FORENSIC_SKELETON_RELATED_INDEXES.csv"
"F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","3","_EBDESIGN_LIBRARY\_CONTROL\diagnostics\REGISTRY_COLUMNS_20260820_115958.txt"
"F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","3","_EBDESIGN_LIBRARY\_CONTROL\LIBRARY_COMPLETION_RECONCILIATION_20260820_213149\AUTHORITY_WITHOUT_PHYSICAL_FILE.csv"
"F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","3","_EBDESIGN_LIBRARY\_CONTROL\ONE_PASS_LIBRARY_COMPLETION_20260820_223355\ACCESSION_JOURNAL.csv"
"F1945CD6C19E56B3C1C78943EF5EC18116907A4CA1EFC40A57D48AB1DB7ADFC5","3","_EBDESIGN_LIBRARY\_CONTROL\search\LIBRARY_FIRST_SEARCH_INDEX.csv"
