feature,source,original_path,proposed_merge_lab_path,result
support-agent-protocol,codex-or-ai-workspace,.ai/AGENT_PROTOCOL.md,_MERGE_LAB/features/support-agent-protocol/codex-or-ai-workspace__a905acda085b__agent-protocol.md,skip-already-copied
docs-agent-protocol,claude,.claude/worktrees/eloquent-galileo-bc5c5f/.ai/AGENT_PROTOCOL.md,_MERGE_LAB/features/docs-agent-protocol/claude__3d916125d698__agent-protocol.md,skip-already-copied
support-agent-protocol,claude,.claude/worktrees/eloquent-galileo-bc5c5f/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/AGENT_PROTOCOL.md,_MERGE_LAB/features/support-agent-protocol/claude__3d916125d698__agent-protocol.md,skip-already-copied
docs-agent-protocol,claude,.claude/worktrees/gracious-cerf-f4774a/.ai/AGENT_PROTOCOL.md,_MERGE_LAB/features/docs-agent-protocol/claude__3d916125d698__agent-protocol.md,skip-already-copied
support-agent-protocol,claude,.claude/worktrees/gracious-cerf-f4774a/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/AGENT_PROTOCOL.md,_MERGE_LAB/features/support-agent-protocol/claude__3d916125d698__agent-protocol.md,skip-already-copied
docs-agent-protocol,claude,.claude/worktrees/infallible-keller-4bb4ef/.ai/AGENT_PROTOCOL.md,_MERGE_LAB/features/docs-agent-protocol/claude__3d916125d698__agent-protocol.md,skip-already-copied
support-agent-protocol,claude,.claude/worktrees/infallible-keller-4bb4ef/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/AGENT_PROTOCOL.md,_MERGE_LAB/features/support-agent-protocol/claude__3d916125d698__agent-protocol.md,skip-already-copied
ai-chat-copilot,claude,.claude/worktrees/nice-chatelet-4d6ee4/.ai/AGENT_PROTOCOL.md,_MERGE_LAB/features/ai-chat-copilot/claude__3d916125d698__agent-protocol.md,skip-already-copied
ai-chat-copilot,claude,.claude/worktrees/nice-chatelet-4d6ee4/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/AGENT_PROTOCOL.md,_MERGE_LAB/features/ai-chat-copilot/claude__3d916125d698__agent-protocol.md,skip-already-copied
support-agent-protocol,backup,backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/AGENT_PROTOCOL.md,_MERGE_LAB/features/support-agent-protocol/backup__3d916125d698__agent-protocol.md,skip-already-copied
ecommerce-marketplace,old-new-folder,New folder/EBDESIGN.worktrees/enterprise-enhancement-production-ready/.ai/AGENT_PROTOCOL.md,_MERGE_LAB/features/ecommerce-marketplace/old-new-folder__3d916125d698__agent-protocol.md,skip-already-copied
