group_id,library_id,original_path,purpose,dependencies,proposed_name,placement,decision,confidence,rationale,status
MERGE-2F754321D62F08BA,EBDLIB-9F9CD0E3844E27E3,C:\Users\DIYA GOEL\Downloads\EBDESIGN\.dockerignore,workflow-ci-cd|uncategorized|supporting-artifact,,.dockerignore__workflow-ci-cd__ebdesign__83dbfcdb0fba,shared/features/workflow-ci-cd,rename-in-virtual-workspace-only,high,Same filename has different feature/category/workflow purpose; preserve as a separately named purpose variant.,virtual-working-copy-ready
MERGE-2F754321D62F08BA,EBDLIB-05344C2B2664C60B,C:\Users\DIYA GOEL\Downloads\EBDESIGN\New folder\EBDESIGN.worktrees\enterprise-enhancement-production-ready\.dockerignore,ecommerce-marketplace|uncategorized|supporting-artifact,,.dockerignore__ecommerce-marketplace__ebdesign__83dbfcdb0fba,shared/features/ecommerce-marketplace,rename-in-virtual-workspace-only,high,Same filename has different feature/category/workflow purpose; preserve as a separately named purpose variant.,virtual-working-copy-ready
MERGE-2F754321D62F08BA,EBDLIB-8B5CCD235C18CAFE,C:\Users\DIYA GOEL\Downloads\EBDESIGN\New folder\claude_reorg_backup_20262808\.dockerignore,workflow-ci-cd|uncategorized|supporting-artifact,,.dockerignore__workflow-ci-cd__ebdesign__0a5022025841,shared/features/workflow-ci-cd,rename-in-virtual-workspace-only,high,Same filename has different feature/category/workflow purpose; preserve as a separately named purpose variant.,virtual-working-copy-ready
MERGE-2F754321D62F08BA,EBDLIB-C9BC10FB2E506B09,C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\.dockerignore,workflow-ci-cd|uncategorized|supporting-artifact,,.dockerignore__workflow-ci-cd__ebdesign__688a2d011ff4,shared/features/workflow-ci-cd,rename-in-virtual-workspace-only,high,Same filename has different feature/category/workflow purpose; preserve as a separately named purpose variant.,virtual-working-copy-ready
MERGE-2F754321D62F08BA,EBDLIB-B315AA833630352E,C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\.dockerignore,workflow-ci-cd|uncategorized|supporting-artifact,,.dockerignore__workflow-ci-cd__ebdesign__9fdfb537f671,shared/features/workflow-ci-cd,rename-in-virtual-workspace-only,high,Same filename has different feature/category/workflow purpose; preserve as a separately named purpose variant.,virtual-working-copy-ready
MERGE-68E6BF0D7472A054,EBDLIB-39C16FA8017835E2,C:\Users\DIYA GOEL\Downloads\EBDESIGN\.env.database.example,database-platform|uncategorized|supporting-artifact,,.env.database__database-platform__ebdesign__46962f17f4b4.example,shared/features/database-platform,rename-in-virtual-workspace-only,high,Same filename has different feature/category/workflow purpose; preserve as a separately named purpose variant.,virtual-working-copy-ready
MERGE-68E6BF0D7472A054,EBDLIB-DFAF58BBF1C17896,C:\Users\DIYA GOEL\Downloads\EBDESIGN\New folder\EBDESIGN.worktrees\enterprise-enhancement-production-ready\.env.database.example,ecommerce-marketplace|uncategorized|supporting-artifact,,.env.database__ecommerce-marketplace__ebdesign__46962f17f4b4.example,shared/features/ecommerce-marketplace,rename-in-virtual-workspace-only,high,Same filename has different feature/category/workflow purpose; preserve as a separately named purpose variant.,virtual-working-copy-ready
MERGE-68E6BF0D7472A054,EBDLIB-11DD7E27217C66B2,C:\Users\DIYA GOEL\Downloads\EBDESIGN\New folder\claude_reorg_backup_20262808\.env.database.example,database-platform|uncategorized|supporting-artifact,,.env.database__database-platform__ebdesign__1108812cdcee.example,shared/features/database-platform,rename-in-virtual-workspace-only,high,Same filename has different feature/category/workflow purpose; preserve as a separately named purpose variant.,virtual-working-copy-ready
MERGE-BC37D034BAD56458,EBDLIB-B3DE18B7889FBB6D,C:\Users\DIYA GOEL\Downloads\EBDESIGN\.gitignore,uncategorized-gitignore|uncategorized|supporting-artifact,,.gitignore__uncategorized-gitignore__ebdesign__48f6f48e85d2,shared/features/uncategorized-gitignore,rename-in-virtual-workspace-only,review-required,Same filename has different feature/category/workflow purpose; preserve as a separately named purpose variant.,virtual-working-copy-ready
MERGE-BC37D034BAD56458,EBDLIB-3ED0C90F2328E2D2,C:\Users\DIYA GOEL\Downloads\EBDESIGN\New folder\GitHub\AFRERA-EBDESIGN-project\.gitignore,uncategorized-gitignore|uncategorized|supporting-artifact,,.gitignore__uncategorized-gitignore__ebdesign__570f3007cf1d,shared/features/uncategorized-gitignore,rename-in-virtual-workspace-only,review-required,Same filename has different feature/category/workflow purpose; preserve as a separately named purpose variant.,virtual-working-copy-ready
