"Method","Prefix","LocalPath","EffectiveURL","RouterFile","Variable","MountLine","RouteLine"
"GET","/api/v1/backend-modules/M041","/villages","/api/v1/backend-modules/M041/villages","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","10"
"GET","/api/v1/backend-modules/M041","/villages/:villageId","/api/v1/backend-modules/M041/villages/:villageId","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","11"
"POST","/api/v1/backend-modules/M041","/villages","/api/v1/backend-modules/M041/villages","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","12"
"PUT","/api/v1/backend-modules/M041","/villages/:villageId","/api/v1/backend-modules/M041/villages/:villageId","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","13"
"DELETE","/api/v1/backend-modules/M041","/villages/:villageId","/api/v1/backend-modules/M041/villages/:villageId","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","14"
"POST","/api/v1/backend-modules/M041","/villages/:villageId/resources","/api/v1/backend-modules/M041/villages/:villageId/resources","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","15"
"GET","/api/v1/backend-modules/M041","/villages/:villageId/analytics","/api/v1/backend-modules/M041/villages/:villageId/analytics","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","16"
"GET","/api/v1/backend-modules/M041","/districts/:district/summary","/api/v1/backend-modules/M041/districts/:district/summary","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","17"
"GET","/api/v1/backend-modules/M041","/villages/:villageId/geolocation","/api/v1/backend-modules/M041/villages/:villageId/geolocation","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","20"
"PUT","/api/v1/backend-modules/M041","/villages/:villageId/geolocation","/api/v1/backend-modules/M041/villages/:villageId/geolocation","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","M041VillageERPRoutes","1120","21"
