"File","MountCount","Prefixes","Variables"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\unifiedAIRoutes.js","3","/api/ai | /api/unifiedai | /api/v1/ai","unifiedAIRoutes"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\aiCopilotService.js","2","/api/ai/copilot | /api/v1/ai/copilot","aiCopilotFramework"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\aiModelsRoutes.js","2","/api/ai/models | /api/v1/ai/models","aiModelsRoutes"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\aiTrainingEvaluationRoutes.js","2","/api/ai/training | /api/v1/ai/training","aiTrainingEvaluationRoutes"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\infrastructureMonitoringRoutes.js","2","/api/monitoring | /api/v1/monitoring","infrastructureMonitoringRoutes"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\gdprComplianceRoutes.js","2","/api/gdpr | /api/v1/gdpr","gdprComplianceRoutes"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\supplyChainDecisionRoutes.js","2","/api/supply-chain | /api/v1/supply-chain","supplyChainDecisionRoutes"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\seedVaultRoutes.js","2","/api/seedvault | /api/v1/seed-vault","seedVaultRoutes | seedVaultRoutesMerged"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\productMediaAIRoutes.js","3","/api/ai/product-media-ai | /api/productmediaai | /api/v1/ai/product-media-ai","productMediaAIRoutes"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\nutritionIntelligenceRoutes.js","3","/api/nutritionintelligence | /api/nutrition-intelligence | /api/v1/nutrition-intelligence","nutritionIntelligenceRoutes"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\libraryRoutes.js","3","/api/library | /api/library-knowledge | /api/v1/library","libraryRoutes"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\libraryAIWorkspaceRoutes.js","4","/api/ai/library-workspace | /api/library-ai-workspace | /api/v1/ai/library-workspace | /api/v1/library-ai","libraryAIWorkspaceRoutes"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\governanceModule.js","2","/api/governancemodule | /api/v1/governance","governanceModule | governanceModuleMerged"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\farmCosting.js","3","/api/farmcosting | /api/farm-costing | /api/v1/farm-costing","farmCosting"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\costRoutes.js","2","/api/cost | /api/v1/cost-management","costRoutes | costRoutesMerged"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\aiGatewayRoutes.js","2","/api/aigateway | /api/v1/ai-gateway","aiGatewayRoutes"
