"Classification","Reason","Family","File","Name","Lines","SizeBytes","EndpointCount","ServiceImports","ControllerImports","MiddlewareImports","ExactMountedHashMatches","MountedSignatureMatches"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\generated\all_routes.js","all_routes.js","1076","26050","134","0","0","0","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\communityRoutes.js","communityRoutes.js","580","12325","26","1","0","1","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\serverManagementRoutes.js","serverManagementRoutes.js","578","13299","23","1","0","2","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\cloudManagementRoutes.js","cloudManagementRoutes.js","547","13356","22","1","0","2","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\enterpriseControlRoutes.js","enterpriseControlRoutes.js","501","14786","27","1","0","3","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\startupEnvironmentRoutes.js","startupEnvironmentRoutes.js","477","11424","22","1","0","1","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\moduleSupportInfrastructureRoutes.js","moduleSupportInfrastructureRoutes.js","460","10707","22","1","0","0","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M041VillageERP.js","M041VillageERP.js","421","12595","24","1","0","0","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\vendorProcurementRoutes.js","vendorProcurementRoutes.js","280","7753","11","1","0","1","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\erpRoutes.js","erpRoutes.js","280","7591","7","1","0","2","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\waterIrrigationRoutes.js","waterIrrigationRoutes.js","244","6697","10","1","0","1","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","MODULE_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\TEMPLATES\MODULE_TEMPLATE\backend\routes.js","routes.js","224","4724","12","0","0","0","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\machineryVillageOpsRoutes.js","machineryVillageOpsRoutes.js","200","5755","8","1","0","1","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\soilNutrientLandRoutes.js","soilNutrientLandRoutes.js","200","5522","8","1","0","1","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","MODULE_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M645100_LIBRARYKNOWLEDGE\api\routes.js","routes.js","64","2401","7","1","0","0","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\farmerKycRoutes.js","farmerKycRoutes.js","38","1645","5","1","0","1","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\farmerVerificationRoutes.js","farmerVerificationRoutes.js","34","1369","4","1","0","1","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\labourRoutes.js","labourRoutes.js","27","1024","7","1","0","1","0","0"
