"Classification","Reason","Family","File","Name","Lines","SizeBytes","EndpointCount","ServiceImports","ControllerImports","MiddlewareImports","ExactMountedHashMatches","MountedSignatureMatches"
"SAME_ENDPOINT_SIGNATURE_AS_MOUNTED","Same literal METHOD/path signature exists in mounted route population.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\adminRoutes.js","adminRoutes.js","23","480","2","0","0","1","0","1"
"SAME_ENDPOINT_SIGNATURE_AS_MOUNTED","Same literal METHOD/path signature exists in mounted route population.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\analyticsRoutes.js","analyticsRoutes.js","23","492","2","0","0","1","0","1"
"SAME_ENDPOINT_SIGNATURE_AS_MOUNTED","Same literal METHOD/path signature exists in mounted route population.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\apiDocumentationRoutes.js","apiDocumentationRoutes.js","23","513","2","0","0","1","0","1"
"SAME_ENDPOINT_SIGNATURE_AS_MOUNTED","Same literal METHOD/path signature exists in mounted route population.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\auditLogRoutes.js","auditLogRoutes.js","23","489","2","0","0","1","0","1"
"HISTORICAL_OR_ALTERNATE","Filename indicates historical/alternate implementation.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\backupRoutes.js","backupRoutes.js","23","483","2","0","0","1","0","1"
"SAME_ENDPOINT_SIGNATURE_AS_MOUNTED","Same literal METHOD/path signature exists in mounted route population.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\bulkOperationRoutes.js","bulkOperationRoutes.js","23","504","2","0","0","1","0","1"
"SAME_ENDPOINT_SIGNATURE_AS_MOUNTED","Same literal METHOD/path signature exists in mounted route population.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\cacheRoutes.js","cacheRoutes.js","23","480","2","0","0","1","0","1"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\cloudManagementRoutes.js","cloudManagementRoutes.js","547","13356","22","1","0","2","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\communityRoutes.js","communityRoutes.js","580","12325","26","1","0","1","0","0"
"SAME_ENDPOINT_SIGNATURE_AS_MOUNTED","Same literal METHOD/path signature exists in mounted route population.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\dataExportRoutes.js","dataExportRoutes.js","23","495","2","0","0","1","0","1"
"SAME_ENDPOINT_SIGNATURE_AS_MOUNTED","Same literal METHOD/path signature exists in mounted route population.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ENDPOINT_MISMATCH_FIXER_COMPLETE.js","ENDPOINT_MISMATCH_FIXER_COMPLETE.js","20","382","1","0","0","0","0","43"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\enterpriseControlRoutes.js","enterpriseControlRoutes.js","501","14786","27","1","0","3","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\erpRoutes.js","erpRoutes.js","280","7591","7","1","0","2","0","0"
"SAME_ENDPOINT_SIGNATURE_AS_MOUNTED","Same literal METHOD/path signature exists in mounted route population.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\errorLogRoutes.js","errorLogRoutes.js","23","489","2","0","0","1","0","1"
"SAME_ENDPOINT_SIGNATURE_AS_MOUNTED","Same literal METHOD/path signature exists in mounted route population.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\exportRoutes.js","exportRoutes.js","23","483","2","0","0","1","0","1"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\farmerKycRoutes.js","farmerKycRoutes.js","38","1645","5","1","0","1","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\farmerVerificationRoutes.js","farmerVerificationRoutes.js","34","1369","4","1","0","1","0","0"
"HISTORICAL_OR_ALTERNATE","Filename indicates historical/alternate implementation.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\gdprRoutes_merged.js","gdprRoutes_merged.js","34","1121","3","1","0","1","0","0"
"SAME_ENDPOINT_SIGNATURE_AS_MOUNTED","Same literal METHOD/path signature exists in mounted route population.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\healthCheckRoutes.js","healthCheckRoutes.js","23","498","2","0","0","1","0","1"
"SAME_ENDPOINT_SIGNATURE_AS_MOUNTED","Same literal METHOD/path signature exists in mounted route population.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\integrationRoutes.js","integrationRoutes.js","23","498","2","0","0","1","0","1"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\labourRoutes.js","labourRoutes.js","27","1024","7","1","0","1","0","0"
"HISTORICAL_OR_ALTERNATE","Filename indicates historical/alternate implementation.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\libraryRoutes_merged.js","libraryRoutes_merged.js","80","1636","3","0","0","0","0","0"
"SUBSTANTIAL_UNMOUNTED_IMPLEMENTATION","Substantial size and/or controller/service dependencies.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M041VillageERP.js","M041VillageERP.js","421","12595","24","1","0","0","0","0"
"GENERATED_OR_COMPATIBILITY_MXXX","Top-level Mxxx route naming matches generated/compatibility estate.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M100Routes.js","M100Routes.js","39","956","6","0","0","1","0","0"
"GENERATED_OR_COMPATIBILITY_MXXX","Top-level Mxxx route naming matches generated/compatibility estate.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M101Routes.js","M101Routes.js","39","956","6","0","0","1","0","0"
"GENERATED_OR_COMPATIBILITY_MXXX","Top-level Mxxx route naming matches generated/compatibility estate.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M102Routes.js","M102Routes.js","39","956","6","0","0","1","0","0"
"GENERATED_OR_COMPATIBILITY_MXXX","Top-level Mxxx route naming matches generated/compatibility estate.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M103Routes.js","M103Routes.js","39","956","6","0","0","1","0","0"
"GENERATED_OR_COMPATIBILITY_MXXX","Top-level Mxxx route naming matches generated/compatibility estate.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M104Routes.js","M104Routes.js","39","956","6","0","0","1","0","0"
"GENERATED_OR_COMPATIBILITY_MXXX","Top-level Mxxx route naming matches generated/compatibility estate.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M105Routes.js","M105Routes.js","39","956","6","0","0","1","0","0"
"GENERATED_OR_COMPATIBILITY_MXXX","Top-level Mxxx route naming matches generated/compatibility estate.","TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\M106Routes.js","M106Routes.js","39","956","6","0","0","1","0","0"
