"File","Family","Lines","SizeBytes","ImportCount","ControllerImportCount","ServiceImportCount","MiddlewareImportCount","ControllerImports","ServiceImports","MiddlewareImports","AllImports"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\adminRoutes.js","TOP_LEVEL_ROUTE","23","480","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\analyticsRoutes.js","TOP_LEVEL_ROUTE","23","492","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\apiDocumentationRoutes.js","TOP_LEVEL_ROUTE","23","513","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\auditLogRoutes.js","TOP_LEVEL_ROUTE","23","489","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\backupRoutes.js","TOP_LEVEL_ROUTE","23","483","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\bulkOperationRoutes.js","TOP_LEVEL_ROUTE","23","504","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\cacheRoutes.js","TOP_LEVEL_ROUTE","23","480","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\cloudManagementRoutes.js","TOP_LEVEL_ROUTE","547","13356","4","0","1","2","","../services/cloudManagementService","../middleware/admin | ../middleware/auth","../middleware/admin | ../middleware/auth | ../services/cloudManagementService | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\communityRoutes.js","TOP_LEVEL_ROUTE","580","12325","3","0","1","1","","../services/communityService","../middleware/auth","../middleware/auth | ../services/communityService | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\dataExportRoutes.js","TOP_LEVEL_ROUTE","23","495","2","0","0","1","","","../middleware/auth","../middleware/auth | express"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ENDPOINT_MISMATCH_FIXER_COMPLETE.js","TOP_LEVEL_ROUTE","20","382","1","0","0","0","","","","express"
