"Family","File","RelativePath","Name","SizeBytes","Lines","SHA256","Mounted"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\adminRoutes.js","routes\adminRoutes.js","adminRoutes.js","480","23","4244B3D10FDF16A549D23495688101A6F57F6FCD20080CE14401A46809A509C4","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\analyticsRoutes.js","routes\analyticsRoutes.js","analyticsRoutes.js","492","23","30467D82B6F91935D2681DCC92092B12CA9D6B40B294275C573DEA5A03EEC3FC","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\apiDocumentationRoutes.js","routes\apiDocumentationRoutes.js","apiDocumentationRoutes.js","513","23","DC8150C5AC1EA6DE0DC711C141B5A6B0F062FF46CA48AB068A24FAC1956FCBBC","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\auditLogRoutes.js","routes\auditLogRoutes.js","auditLogRoutes.js","489","23","6EB7144CCA937EF0316F097023D3BE051AB72D92EB27A0712133C6C399966A8D","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\backupRoutes.js","routes\backupRoutes.js","backupRoutes.js","483","23","D51ABC016E8807B35E71727AAC499882136CE8810F3EFBF76C4A2F006413A5E6","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\bulkOperationRoutes.js","routes\bulkOperationRoutes.js","bulkOperationRoutes.js","504","23","73463C9879F55579993F5898003FCD1C8DBDEF2B1494234C15396D7FD5F693F9","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\cacheRoutes.js","routes\cacheRoutes.js","cacheRoutes.js","480","23","4DA3D6DA904A49D584481DFF227EA95711531603E353DD48EC7058A2430A620B","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\cloudManagementRoutes.js","routes\cloudManagementRoutes.js","cloudManagementRoutes.js","13356","547","06733263FA45D3F5BD878FF7F02B96A4C8E4166403AE3EF74EAD81823AF72BA8","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\communityRoutes.js","routes\communityRoutes.js","communityRoutes.js","12325","580","195CA6E00F2AA09368D94D80C1FA826B15669C4C62A2FC81022CF52AD43D5D7A","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\dataExportRoutes.js","routes\dataExportRoutes.js","dataExportRoutes.js","495","23","4DB6A1CAF29D5BC7D32DA382AF05C2007CAED4F427DA07CA224D04ECD10E0E84","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ENDPOINT_MISMATCH_FIXER_COMPLETE.js","routes\ENDPOINT_MISMATCH_FIXER_COMPLETE.js","ENDPOINT_MISMATCH_FIXER_COMPLETE.js","382","20","8B889C5F5C8DC1A46F44D62FFF0C6753ED720958CD06505461256170C2F10C66","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\enterpriseControlRoutes.js","routes\enterpriseControlRoutes.js","enterpriseControlRoutes.js","14786","501","5B9962659375D566CD2AED75DE2E0010C3C0CF970E23F70AE823A12A5239333F","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\erpRoutes.js","routes\erpRoutes.js","erpRoutes.js","7591","280","2D266EDA003F44C66A745BB88A168F50D8405F9974F36E9FD17C8E0E74DA019A","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\errorLogRoutes.js","routes\errorLogRoutes.js","errorLogRoutes.js","489","23","583DD6634ACC56260287D2B3A17F7BBB87F36C4C93F86C7B2235C7C1FD1D4DBB","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\exportRoutes.js","routes\exportRoutes.js","exportRoutes.js","483","23","0EEE9F759BB06CABD253C4D2D55487A74B66511644EFA1D81958A602FDF4B3F5","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\farmerKycRoutes.js","routes\farmerKycRoutes.js","farmerKycRoutes.js","1645","38","2894862AD2AFBBA8946C686A9B1CED9C3B063579300D0207DD35CD32E8EA9E52","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\farmerVerificationRoutes.js","routes\farmerVerificationRoutes.js","farmerVerificationRoutes.js","1369","34","C2005BAF55E9DC4E4E01415D88BF47FC4601CEB17D4E9EF6ED3309107002CE6A","False"
"TOP_LEVEL_ROUTE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\gdprRoutes_merged.js","routes\gdprRoutes_merged.js","gdprRoutes_merged.js","1121","34","4F9B5891D4680E7CABFC744B76FA9B5F6AA23FDA97F36928B40FAA30F174E969","False"
