"RouterFile","RouterClass","ImportPath","ImportKind","Resolution","ToFile","TargetRole"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\mfaDomainRoutes.js","PRODUCTION_OR_REVIEW","../middleware/auth","COMMONJS_REQUIRE","LOCAL_RESOLVED","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\auth.js","MIDDLEWARE_OR_AUTH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\mfaDomainRoutes.js","PRODUCTION_OR_REVIEW","../services/mfaService","COMMONJS_REQUIRE","LOCAL_RESOLVED","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\mfaService.js","SERVICE"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\mfaDomainRoutes.js","PRODUCTION_OR_REVIEW","express","COMMONJS_REQUIRE","EXTERNAL_PACKAGE",,""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\dual-use\mfaRoutes.js","PRODUCTION_OR_REVIEW","../../middleware/admin.js","COMMONJS_REQUIRE","LOCAL_RESOLVED","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\admin.js","MIDDLEWARE_OR_AUTH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\dual-use\mfaRoutes.js","PRODUCTION_OR_REVIEW","../../middleware/auth.js","COMMONJS_REQUIRE","LOCAL_RESOLVED","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\auth.js","MIDDLEWARE_OR_AUTH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\dual-use\mfaRoutes.js","PRODUCTION_OR_REVIEW","../../services/dual-use/mfaService.js","COMMONJS_REQUIRE","LOCAL_RESOLVED","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\dual-use\mfaService.js","SERVICE"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\dual-use\mfaRoutes.js","PRODUCTION_OR_REVIEW","express","COMMONJS_REQUIRE","EXTERNAL_PACKAGE",,""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateAdvisoryRoutes.js","PRODUCTION_OR_REVIEW","../middleware/auth","COMMONJS_REQUIRE","LOCAL_RESOLVED","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\auth.js","MIDDLEWARE_OR_AUTH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateAdvisoryRoutes.js","PRODUCTION_OR_REVIEW","express","COMMONJS_REQUIRE","EXTERNAL_PACKAGE",,""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateAdvisory.js","PRODUCTION_OR_REVIEW","express","COMMONJS_REQUIRE","EXTERNAL_PACKAGE",,""
