"RouterFile","MountCount","Prefixes","SemanticRole","PathClass"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M001\routes.js","1","/api/v1/backend-modules/M001","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M002\routes.js","1","/api/v1/backend-modules/M002","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M003\routes.js","1","/api/v1/backend-modules/M003","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M004\routes.js","1","/api/v1/backend-modules/M004","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M005\routes.js","1","/api/v1/backend-modules/M005","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M006\routes.js","1","/api/v1/backend-modules/M006","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M007\routes.js","1","/api/v1/backend-modules/M007","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M008\routes.js","1","/api/v1/backend-modules/M008","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M009\routes.js","1","/api/v1/backend-modules/M009","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M010\routes.js","1","/api/v1/backend-modules/M010","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M011\routes.js","1","/api/v1/backend-modules/M011","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M012\routes.js","1","/api/v1/backend-modules/M012","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M013\routes.js","1","/api/v1/backend-modules/M013","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M014\routes.js","1","/api/v1/backend-modules/M014","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M015\routes.js","1","/api/v1/backend-modules/M015","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M016\routes.js","1","/api/v1/backend-modules/M016","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M017\routes.js","1","/api/v1/backend-modules/M017","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M018\routes.js","1","/api/v1/backend-modules/M018","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M019\routes.js","1","/api/v1/backend-modules/M019","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M020\routes.js","1","/api/v1/backend-modules/M020","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M021\routes.js","1","/api/v1/backend-modules/M021","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M022\routes.js","1","/api/v1/backend-modules/M022","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M023\routes.js","1","/api/v1/backend-modules/M023","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M024\routes.js","1","/api/v1/backend-modules/M024","ROUTE","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M025\routes.js","1","/api/v1/backend-modules/M025","ROUTE","PRODUCTION_OR_REVIEW"
