"RouterFile","Prefixes","ReachableFiles","HasController","HasMiddleware","HasService","HasRepository","HasModel","HasDatabase","HasRedis","HasQueue","HasAI","HasERP","HasGraphQL","HasRealtime","HasIntegration","HasSecurity"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\freightPooling.js","/api/freightpooling","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ar.js","/api/ar","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\farmAnalytics.js","/api/farmanalytics","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\neVarietiesRoutes.js","/api/v1/varieties","2","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\phase10.js","/api/phase10","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\supplyChainTracking.js","/api/supplychaintracking","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\index.js","/api/index","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\unifiedAIGateway.js","/api/unifiedaigateway","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\nlp.js","/api/nlp","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\videoAnalytics.js","/api/videoanalytics","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\phase9.js","/api/phase9","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\enterpriseRouteSupport.js","/api/enterpriseroutesupport","5","False","True","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\coldChainMonitoring.js","/api/coldchainmonitoring","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\biometric.js","/api/biometric","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\blockchainTrace.js","/api/blockchaintrace","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateRouteSupport.js","/api/climateroutesupport","2","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\phase11.js","/api/phase11","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\qualityAssurance.js","/api/qualityassurance","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\vr.js","/api/vr","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ENDPOINT_MISMATCH_FIXER.js","/api/debug","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\greenhouse.js","/api/greenhouse","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\auditTrail.js","/api/audittrail","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\riskAssessment.js","/api/riskassessment","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\automation.js","/api/automation","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\dataVisualization.js","/api/datavisualization","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateAdvisory.js","/api/climateadvisory","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\operationsRouteSupport.js","/api/operationsroutesupport","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\livestock.js","/api/livestock","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\productCertifications.js","/api/productcertifications","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\loanManagement.js","/api/loanmanagement","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\phase12.js","/api/phase12","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\mlOptimization.js","/api/mloptimization","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\warehouseManagement.js","/api/warehousemanagement","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\phase8.js","/api/phase8","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\soilHealth.js","/api/soilhealth","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\iotSensors.js","/api/iotsensors","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\stripeWebhookRoutes.js","/api","2","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\complianceTracking.js","/api/compliancetracking","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\predictiveAnalytics.js","/api/predictiveanalytics","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\sellerVerifications.js","/api/sellerverifications","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\marketAnalytics.js","/api/marketanalytics","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\supplyChainAnalytics.js","/api/supplychainanalytics","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\horticulture.js","/api/horticulture","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
