"FromFile","ToFile","ImportPath","Occurrences","MinDepth","FromRole","ToRole","FromLines","FromPathClass"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\utils\testFallbackStore.js","","","1252","13","OTHER","","43","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\aiService\creditRisk.js","","","313","13","SERVICE","","154","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M086\service.js","","","313","13","SERVICE","","243","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\productMediaAIService.js","","","626","13","SERVICE","","238","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\admin.js","","","1207","13","MIDDLEWARE_OR_AUTH","","29","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\enterpriseRouteSupport.js","","","268","13","ROUTE","","140","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\ownership.js","","","313","13","MIDDLEWARE_OR_AUTH","","146","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\aiBackboneService.js","","","1566","13","SERVICE","","931","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\authService\passwordUtils.js","","","11","13","MIDDLEWARE_OR_AUTH","","31","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\cropValueResearchService.js","","","313","13","SERVICE","","172","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\finance\gstService.js","","","581","13","SERVICE","","774","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M005\service.js","","","313","13","SERVICE","","220","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\custodyEventService.js","","","313","13","SERVICE","","422","PRODUCTION_OR_REVIEW"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\aiGatewayService.js","","","626","13","SERVICE","","437","PRODUCTION_OR_REVIEW"
