"RouterFile","Prefixes","ReachableFiles","Bytes","Lines","RouteDeclarations","RequireStatements","ImportStatements","ExportStatements","HasRouter","HasExpress","HasResponseLogic","HasAuthText","HasServiceText","HasControllerText","HasDatabaseText","HasAIText","HasERPText","HasTODO","HasFIXME","HasPlaceholder","HasNotImplemented","HasMockText","SemanticRole","PathClass","Classification","ReadError"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\freightPooling.js","/api/freightpooling","1","319","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ar.js","/api/ar","1","294","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\farmAnalytics.js","/api/farmanalytics","1","317","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\neVarietiesRoutes.js","/api/v1/varieties","2","9819","377","6","2","0","1","True","True","True","False","False","False","True","False","False","False","False","False","False","False","ROUTE","PRODUCTION_OR_REVIEW","INLINE_ROUTE_IMPLEMENTATION",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\phase10.js","/api/phase10","1","304","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\supplyChainTracking.js","/api/supplychaintracking","1","330","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\index.js","/api/index","1","211","13","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","False","False","False","ROUTE","PRODUCTION_OR_REVIEW","INLINE_ROUTE_IMPLEMENTATION",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\unifiedAIGateway.js","/api/unifiedaigateway","1","325","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\nlp.js","/api/nlp","1","296","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\videoAnalytics.js","/api/videoanalytics","1","319","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\phase9.js","/api/phase9","1","302","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\enterpriseRouteSupport.js","/api/enterpriseroutesupport","5","5572","140","2","6","0","1","True","True","True","True","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
