"File","Role","PathClass","InDegree","OutDegree","TotalDegree"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js","OTHER","PRODUCTION_OR_REVIEW","2","643","645"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js","DATABASE_LAYER","PRODUCTION_OR_REVIEW","437","1","438"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\index.js","SERVICE","PRODUCTION_OR_REVIEW","2","253","255"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\pool.js","DATABASE_LAYER","PRODUCTION_OR_REVIEW","143","2","145"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\dbConnection.js","DATABASE_LAYER","PRODUCTION_OR_REVIEW","45","1","46"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\aiService\index.js","SERVICE","PRODUCTION_OR_REVIEW","4","7","11"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\aiService\router.js","SERVICE","PRODUCTION_OR_REVIEW","1","6","7"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\websocket\index.js","REALTIME","PRODUCTION_OR_REVIEW","4","1","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\ai\index.js","AI_ML","PRODUCTION_OR_REVIEW","2","3","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\moduleRegistry.js","OTHER","PRODUCTION_OR_REVIEW","2","1","3"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\moduleRegistryRoutes.js","ROUTE","PRODUCTION_OR_REVIEW","1","2","3"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\authService\index.js","MIDDLEWARE_OR_AUTH","PRODUCTION_OR_REVIEW","1","1","2"
