"File","Count"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js","32"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js","19"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\index.js","8"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\auth.js","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\authService.js","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\dual-use\authService.js","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ordersDomainRoutes.js","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\orderService.js","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\pool.js","3"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\decisionSupportService.js","2"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\fertilizerInventoryService.js","2"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\financialService.js","2"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateAdvisoryRoutes.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\fertilizerDomainRoutes.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M284\service.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M124\routes.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M265\service.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\voiceAIService.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\claude\aiRecoveryService.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M265\controller.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\claude\financialAIRoutes.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M308\service.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\claude\aiProviderRoutes.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M281\controller.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M124\controller.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M281\routes.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\custodyEventService.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\agriculturalIntelligenceService.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\mushroomRoutes.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\agriculturalIntelligenceRoutes.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\marketIntelligenceService.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M241\service.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\marketIntelligenceService.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\mushroomService.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M031\routes.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M308\controller.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M281\service.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\decisionSupportRoutes.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M031\service.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M103\service.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M284\routes.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\dual-use\mfaRoutes.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\custodyEventRoutes.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M284\controller.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\custodyEventRoutes.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M241\routes.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M124\service.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M265\routes.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M241\controller.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M031\controller.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\farmerFamilyRoutes.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\claudeAICoordinator.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\voiceAIService.js","1"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M308\routes.js","1"
