"Reason","CycleLength","FromFile","ToFile","CyclePath"
"SERVICE_TO_ROUTE","2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\decisionSupportService.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\decisionSupportRoutes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\decisionSupportService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\decisionSupportRoutes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\decisionSupportService.js"
"SERVICE_TO_ROUTE","9","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\index.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\custodyEventRoutes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\custodyEventRoutes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\custodyEventRoutes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\custodyEventService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\pool.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ordersDomainRoutes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\orderService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\index.js"
"HIGH_DEGREE_HUB_EDGE","7","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\financialService.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\auth.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\financialService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\auth.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\dual-use\authService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\authService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\claude\financialAIRoutes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\financialService.js"
"HIGH_DEGREE_HUB_EDGE","7","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\index.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\claude\aiRecoveryService.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\claude\aiRecoveryService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\claudeAICoordinator.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ordersDomainRoutes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\orderService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\index.js"
"HIGH_DEGREE_HUB_EDGE","4","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\agriculturalIntelligenceRoutes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\agriculturalIntelligenceRoutes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\agriculturalIntelligenceService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js"
"HIGH_DEGREE_HUB_EDGE","8","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\index.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\voiceAIService.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\voiceAIService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\voiceAIService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\pool.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ordersDomainRoutes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\orderService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\index.js"
"HIGH_DEGREE_HUB_EDGE","6","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\claude\aiProviderRoutes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\claude\aiProviderRoutes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\auth.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\dual-use\authService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\authService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js"
"HIGH_DEGREE_HUB_EDGE","6","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateAdvisoryRoutes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateAdvisoryRoutes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\auth.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\dual-use\authService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\authService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js"
"HIGH_DEGREE_HUB_EDGE","5","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M241\routes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M241\routes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M241\controller.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M241\service.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js"
"HIGH_DEGREE_HUB_EDGE","6","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\dual-use\mfaRoutes.js","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\dual-use\mfaRoutes.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\auth.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\dual-use\authService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\authService.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js -> C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js"
