"Count","RolePair"
"612","OTHER, ROUTE"
"605","ROUTE, MIDDLEWARE_OR_AUTH"
"597","SERVICE, DATABASE_LAYER"
"567","SERVICE, SERVICE"
"360","CONTROLLER, SERVICE"
"355","ROUTE, CONTROLLER"
"181","ROUTE, SERVICE"
"70","SERVICE, MIDDLEWARE_OR_AUTH"
"32","OTHER, SERVICE"
"20","SERVICE, OTHER"
"14","SERVICE, AI_ML"
"10","OTHER, DATABASE_LAYER"
"8","MIDDLEWARE_OR_AUTH, MIDDLEWARE_OR_AUTH"
"7","OTHER, OTHER"
"7","ROUTE, ROUTE"
"6","AI_ML, AI_ML"
"6","ROUTE, DATABASE_LAYER"
"5","AI_ML, SERVICE"
"5","MIDDLEWARE_OR_AUTH, DATABASE_LAYER"
"4","AI_ML, OTHER"
"4","OTHER, AI_ML"
"4","SERVICE, REALTIME"
"3","AI_ML, DATABASE_LAYER"
"3","DATABASE_LAYER, DATABASE_LAYER"
"2","OTHER, MIDDLEWARE_OR_AUTH"
"2","ROUTE, OTHER"
"2","ROUTE, AI_ML"
"2","SERVICE, ROUTE"
"1","CONTROLLER, DATABASE_LAYER"
"1","REALTIME, MIDDLEWARE_OR_AUTH"
"1","DATABASE_LAYER, OTHER"
"1","REALTIME, REALTIME"
"1","CONTROLLER, OTHER"
