"File","Role","PathClass","InDegree","OutDegree","TotalDegree"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js","OTHER","PRODUCTION_OR_REVIEW","2","643","645"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js","DATABASE_LAYER","PRODUCTION_OR_REVIEW","437","1","438"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\auth.js","MIDDLEWARE_OR_AUTH","PRODUCTION_OR_REVIEW","355","1","356"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\authMiddleware.js","MIDDLEWARE_OR_AUTH","PRODUCTION_OR_REVIEW","312","1","313"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\index.js","SERVICE","PRODUCTION_OR_REVIEW","2","253","255"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\pool.js","DATABASE_LAYER","PRODUCTION_OR_REVIEW","143","2","145"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\dbConnection.js","DATABASE_LAYER","PRODUCTION_OR_REVIEW","45","1","46"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\claudeAICoordinator.js","AI_ML","PRODUCTION_OR_REVIEW","17","5","22"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\libraryKnowledgeService.js","SERVICE","PRODUCTION_OR_REVIEW","18","1","19"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\resourceCrudFactory.js","SERVICE","PRODUCTION_OR_REVIEW","15","3","18"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\aiOrchestrator.js","OTHER","PRODUCTION_OR_REVIEW","2","13","15"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\aiCollaborationService.js","SERVICE","PRODUCTION_OR_REVIEW","13","1","14"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\farmerTrainingService.js","SERVICE","PRODUCTION_OR_REVIEW","3","9","12"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\financialService.js","SERVICE","PRODUCTION_OR_REVIEW","4","7","11"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\withTransaction.js","OTHER","PRODUCTION_OR_REVIEW","10","1","11"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\aiService\index.js","SERVICE","PRODUCTION_OR_REVIEW","4","7","11"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\aiGatewayService.js","SERVICE","PRODUCTION_OR_REVIEW","9","2","11"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\foodIntelligenceService.js","SERVICE","PRODUCTION_OR_REVIEW","1","9","10"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ORPHANED_SERVICES_MOUNT.js","ROUTE","PRODUCTION_OR_REVIEW","1","9","10"
