"File","Role","Incoming","Outgoing","IncomingRoles","OutgoingRoles"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\index.js","OTHER","2","643","DATABASE_LAYER | SERVICE","AI_ML | DATABASE_LAYER | MIDDLEWARE_OR_AUTH | OTHER | ROUTE | SERVICE"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\connection.js","DATABASE_LAYER","437","1","AI_ML | CONTROLLER | DATABASE_LAYER | MIDDLEWARE_OR_AUTH | OTHER | ROUTE | SERVICE","OTHER"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\auth.js","MIDDLEWARE_OR_AUTH","355","1","MIDDLEWARE_OR_AUTH | OTHER | ROUTE | SERVICE","MIDDLEWARE_OR_AUTH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\authMiddleware.js","MIDDLEWARE_OR_AUTH","312","1","ROUTE","MIDDLEWARE_OR_AUTH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\index.js","SERVICE","2","253","SERVICE","MIDDLEWARE_OR_AUTH | ROUTE | SERVICE"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\pool.js","DATABASE_LAYER","143","2","AI_ML | DATABASE_LAYER | MIDDLEWARE_OR_AUTH | OTHER | ROUTE | SERVICE","DATABASE_LAYER"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\dbConnection.js","DATABASE_LAYER","45","1","SERVICE","DATABASE_LAYER"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\claudeAICoordinator.js","AI_ML","17","5","OTHER | ROUTE | SERVICE","DATABASE_LAYER | SERVICE"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\libraryKnowledgeService.js","SERVICE","18","1","AI_ML | OTHER | ROUTE | SERVICE","SERVICE"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\resourceCrudFactory.js","SERVICE","15","3","SERVICE","DATABASE_LAYER | SERVICE"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\aiOrchestrator.js","OTHER","2","13","AI_ML | ROUTE","AI_ML | DATABASE_LAYER | OTHER | SERVICE"
