"File","Role","Client","Method","RawPath","PathClass","IsDynamic"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/asset-accounting/company/${companyId}/register-summary","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/technical","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","PUT","/animal-health/treatment/${id}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/protected-cultivation/structures","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","POST","/strategic/plan","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/teams","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M212\M212.jsx","PAGE","fetch","DELETE","/api/v1/backend-modules/M212/${id}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M070\M070Page.jsx","OTHER","fetch","GET","/api/m070/search?q=${encodeURIComponent(searchQuery)}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/regulatory-resilience-farming","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/repositories","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","GET","/event-calendar","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M190\M190.jsx","PAGE","fetch","DELETE","/api/v1/backend-modules/M190/${id}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","POST","/backup-restore/backup","ROOT_RELATIVE","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M188\M188Page.jsx","OTHER","fetch","GET","/api/m188/search?q=${encodeURIComponent(searchQuery)}","DYNAMIC_OR_TEMPLATE","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","API_OR_SERVICE","api","POST","/policy-influence/influence","ROOT_RELATIVE","False"
