"File","Role","Client","Method","RawPath","IsDynamic"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Admin\AutoGenerationDashboard.jsx","COMPONENT","fetch","DELETE","${API_BASE}/queue","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Admin\AutoGenerationDashboard.jsx","COMPONENT","fetch","GET","${API_BASE}/stats","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Admin\AutoGenerationDashboard.jsx","COMPONENT","fetch","GET","${API_BASE}/status","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Admin\AutoGenerationDashboard.jsx","COMPONENT","fetch","POST","${API_BASE}/pause","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Admin\AutoGenerationDashboard.jsx","COMPONENT","fetch","POST","${API_BASE}/process-now","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\AI\AIChat.jsx","COMPONENT","api","GET","/ai/chat/history","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\AI\AIChat.jsx","COMPONENT","api","POST","/ai/decision/execute","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\AI\AIChat.jsx","COMPONENT","api","POST","/ai-gateway/chat","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\AI\AICollaborationDashboard.jsx","COMPONENT","api","GET","/ai/decisions/pending","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\AI\AICollaborationDashboard.jsx","COMPONENT","api","POST","/ai/decision/execute","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\AI\AIDashboard.jsx","COMPONENT","fetch","GET","/api/ai/analyses/${farmerId}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\AI\AIDashboard.jsx","COMPONENT","fetch","GET","/api/ai/optimizations/${farmerId}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\AI\AIDashboard.jsx","COMPONENT","fetch","GET","/api/ai/predictions/${farmerId}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\AI\AIDashboard.jsx","COMPONENT","fetch","GET","/api/ai/stats/${farmerId}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\AI\AIImageGeneratorDashboard.jsx","COMPONENT","fetch","GET","/api/ai/images/analytics","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Farmer\FarmerImagePortal.jsx","COMPONENT","fetch","GET","/api/farmer/dashboard","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Farmer\FarmerImagePortal.jsx","COMPONENT","fetch","POST","/api/farmer/portfolio/products","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Farmer\FarmerImagePortal.jsx","COMPONENT","fetch","POST","/api/farmer/portfolio/products/${productId}/generate-images","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Farmer\FarmerImagePortal.jsx","COMPONENT","fetch","POST","/api/farmer/portfolio/products/${productId}/publish","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M001\M001Page.jsx","OTHER","api","GET","/modules/m001/health","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M001\M001Page.jsx","OTHER","api","GET","/modules/m001/metrics","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M001\M001Page.jsx","OTHER","api","POST","/modules/m001/initialize","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M016\M016Page.jsx","OTHER","api","GET","/modules/m016/identities/${userId}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M016\M016Page.jsx","OTHER","api","POST","/modules/m016/identities","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M031\M031Page.jsx","OTHER","fetch","DELETE","/api/m031/${id}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M031\M031Page.jsx","OTHER","fetch","GET","/api/m031/search?q=${encodeURIComponent(searchQuery)}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M031\M031Page.jsx","OTHER","fetch","GET","/api/m031?${params}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M032\M032Page.jsx","OTHER","fetch","DELETE","/api/m032/${id}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M032\M032Page.jsx","OTHER","fetch","GET","/api/m032/search?q=${encodeURIComponent(searchQuery)}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M032\M032Page.jsx","OTHER","fetch","GET","/api/m032?${params}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M033\M033Page.jsx","OTHER","fetch","DELETE","/api/m033/${id}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M033\M033Page.jsx","OTHER","fetch","GET","/api/m033/search?q=${encodeURIComponent(searchQuery)}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M033\M033Page.jsx","OTHER","fetch","GET","/api/m033?${params}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M034\M034Page.jsx","OTHER","fetch","DELETE","/api/m034/${id}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M034\M034Page.jsx","OTHER","fetch","GET","/api/m034/search?q=${encodeURIComponent(searchQuery)}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M034\M034Page.jsx","OTHER","fetch","GET","/api/m034?${params}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M035\M035Page.jsx","OTHER","fetch","DELETE","/api/m035/${id}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M035\M035Page.jsx","OTHER","fetch","GET","/api/m035/search?q=${encodeURIComponent(searchQuery)}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M035\M035Page.jsx","OTHER","fetch","GET","/api/m035?${params}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M036\M036Page.jsx","OTHER","fetch","DELETE","/api/m036/${id}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M036\M036Page.jsx","OTHER","fetch","GET","/api/m036/search?q=${encodeURIComponent(searchQuery)}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M036\M036Page.jsx","OTHER","fetch","GET","/api/m036?${params}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M037\M037Page.jsx","OTHER","fetch","DELETE","/api/m037/${id}","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M037\M037Page.jsx","OTHER","fetch","GET","/api/m037/search?q=${encodeURIComponent(searchQuery)}","True"
