"Method","EffectivePath","RouterFile","StaticFrontendUse"
"POST","/api/v1/backend-modules/M007/permissions","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M007\routes.js","False"
"GET","/api/ecommerceai/health","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ecommerceAIRoutes.js","False"
"POST","/api/v1/backend-modules/M197/bulk","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M197\routes.js","False"
"POST","/api/nutrition-intelligence/recommendations","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\nutritionIntelligenceRoutes.js","False"
"GET","/api/transaction/:transactionId","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\transactionRoutes.js","False"
"POST","/api/v1/backend-modules/M304/bulk","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M304\routes.js","False"
"GET","/api/v1/backend-modules/M328","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M328\routes.js","True"
"PUT","/api/v1/backend-modules/M322/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M322\routes.js","False"
"POST","/api/v1/backend-modules/M031","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M031\routes.js","False"
"GET","/api/v1/governance/health","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\governanceModule.js","False"
"POST","/api/v1/dairy-ai/recommend-breeding/:animalId","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\dairyDomainRoutes.js","False"
"GET","/api/v1/backend-modules/M276/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M276\routes.js","False"
"GET","/api/v1/backend-modules/M305/search","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M305\routes.js","False"
"GET","/api/v1/backend-modules/M173","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M173\routes.js","True"
"PUT","/api/v1/backend-modules/M301/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M301\routes.js","False"
"PUT","/api/v1/backend-modules/M162/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M162\routes.js","False"
"POST","/api/v1/backend-modules/M293/bulk","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M293\routes.js","False"
"PUT","/api/v1/backend-modules/M125/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M125\routes.js","False"
"POST","/api/v1/civil-disruption/report","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\civilDisruptionDomainRoutes.js","False"
"POST","/api/v1/library-ai/events","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\libraryAIWorkspaceRoutes.js","False"
"GET","/api/v1/backend-modules/M130","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M130\routes.js","True"
"POST","/api/v1/backend-modules/M209","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M209\routes.js","False"
"GET","/api/v1/backend-modules/M086","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M086\routes.js","True"
"GET","/api/v1/backend-modules/M304/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M304\routes.js","False"
"GET","/api/goat/herd/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\goatRoutes.js","False"
"PATCH","/api/insuranceenhancements/quotes/:quoteId/status","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\insuranceEnhancements.js","False"
"POST","/api/v1/backend-modules/M021/farmers","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M021\routes.js","False"
"POST","/api/v1/backend-modules/M330/bulk","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M330\routes.js","False"
"GET","/api/ecommerceerp/health","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ecommerceERPRoutes.js","False"
"GET","/api/v1/mushroom","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\mushroomRoutes.js","False"
"PUT","/api/v1/backend-modules/M289/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M289\routes.js","False"
"POST","/api/poultry/ai/optimize-production/:flockId","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\poultryRoutes.js","False"
"POST","/api/v1/backend-modules/M237/bulk","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M237\routes.js","False"
"GET","/api/costcontrol/budgets","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\costControlRoutes.js","False"
