"FrontendFile","Client","Method","RawPath","Status"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/asset-accounting/company/${companyId}/register-summary","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/animal-health/treatment/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M212\M212.jsx","fetch","DELETE","/api/v1/backend-modules/M212/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M070\M070Page.jsx","fetch","GET","/api/m070/search?q=${encodeURIComponent(searchQuery)}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M190\M190.jsx","fetch","DELETE","/api/v1/backend-modules/M190/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M188\M188Page.jsx","fetch","GET","/api/m188/search?q=${encodeURIComponent(searchQuery)}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\vendorProcurementService.js","api","GET","/vendor-procurement/procurement-requests/${requestId}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/admin/users/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","POST","/ecommerce-erp/sync-customer-crm/${userId}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/robotics/devices/${id}/telemetry","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M190\M190Page.jsx","fetch","GET","/api/m190?${params}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M200\M200Page.jsx","fetch","DELETE","/api/m200/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M098\M098Page.jsx","fetch","GET","/api/m098?${params}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","POST","/comprehensive-erp/release-production-order/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M265\M265Page.jsx","fetch","GET","/api/m265?${params}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\artificialScientistAPI.js","api","POST","${base}/ai-assistance","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M170\M170Page.jsx","fetch","DELETE","/api/m170/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M39\M39.jsx","fetch","DELETE","/api/v1/backend-modules/M039/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\operationsApi.js","api","GET","/financial/loans/${id}/emi","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M312\M312Page.jsx","fetch","DELETE","/api/m312/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M265\M265Page.jsx","fetch","DELETE","/api/m265/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M316\M316Page.jsx","fetch","GET","/api/m316?${params}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/cold-storage/temperature/${facilityId}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M040\M040Page.jsx","fetch","GET","/api/m040?${params}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M113\M113Page.jsx","fetch","GET","/api/m113?${params}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/company/${companyId}/fiscal-years","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M143\M143Page.jsx","fetch","DELETE","/api/m143/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M034\M034Page.jsx","fetch","GET","/api/m034?${params}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/layouts/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M231\M231Page.jsx","fetch","DELETE","/api/m231/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/information-sharing/document/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M243\M243Page.jsx","fetch","GET","/api/m243?${params}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","DELETE","/animal-health/examination/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","DELETE","/farmers/${farmerId}/fields/${fieldId}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","POST","/complete-ai-integration/recommend-livestock-breeding/${livestockId}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","DELETE","/community-asset/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","POST","/data-subjects/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M80\M80.jsx","fetch","DELETE","/api/v1/backend-modules/M080/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/jurisdictions/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/trending-products/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/environment-config/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M090\M090Page.jsx","fetch","GET","/api/m090?${params}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/fertility-management/record/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","DELETE","/disease-forecasting/forecasts/forecast/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M246\M246Page.jsx","fetch","GET","/api/m246?${params}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M307\M307Page.jsx","fetch","GET","/api/m307/search?q=${encodeURIComponent(searchQuery)}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M110\M110.jsx","fetch","DELETE","/api/v1/backend-modules/M110/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","GET","/best-sellers/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M046\M046Page.jsx","fetch","GET","/api/m046/search?q=${encodeURIComponent(searchQuery)}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/dairy/animal/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M188\M188.jsx","fetch","DELETE","/api/v1/backend-modules/M188/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M276\M276Page.jsx","fetch","GET","/api/m276?${params}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M258\M258Page.jsx","fetch","GET","/api/m258/search?q=${encodeURIComponent(searchQuery)}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\commerceApi.js","api","PUT","/orders/${id}/status","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M274\M274Page.jsx","fetch","DELETE","/api/m274/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M226\M226Page.jsx","fetch","DELETE","/api/m226/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M200\M200Page.jsx","fetch","GET","/api/m200/search?q=${encodeURIComponent(searchQuery)}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/logistics-enhancement/tracking/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M042\M042Page.jsx","fetch","GET","/api/m042?${params}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M193\M193Page.jsx","fetch","GET","/api/m193/search?q=${encodeURIComponent(searchQuery)}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M133\M133Page.jsx","fetch","GET","/api/m133/search?q=${encodeURIComponent(searchQuery)}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","api","PUT","/fish-processing/batch/${id}","DYNAMIC_REQUIRES_RESOLUTION"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M141\M141Page.jsx","fetch","DELETE","/api/m141/${id}","DYNAMIC_REQUIRES_RESOLUTION"
