"Count","Prefix"
"5","/library enterprise-index activity"
"4","/orders cart"
"4","/orders"
"4","/users profile"
"4","/insurance policies"
"4","/seed-vault"
"3","/languages"
"3","/financial loans"
"3","/insurance claims"
"3","/auth register"
"3","/logistics shipments"
"3","/products"
"3","/library search"
"3","/auth login"
"2","/currencies"
"2","/unified-ai-gateway"
"2","/return-load-board"
"2","/activities"
"2","/sheep vaccination-records"
"2","/ai gateway config"
"2","/language preferences"
"2","/machinery-village-ops village-operations"
"2","/geo-tagging"
"2","/profile"
"2","/investment"
"2","/ai agents"
"2","/timezones"
"2","/identities"
"2","/memcached-data"
"2","/schedules"
"2","/insurance products"
"2","/flags"
"2","/zookeeper-data"
"2","/logistics-enhancement vehicle"
"2","/certifications"
"2","/poultry mortality"
"2","/cooperatives"
"2","/proposals"
"2","/ai conversational history"
"2","/support-tickets"
"2","/franchises"
"2","/quality checks"
"2","/machinery-village-ops machinery-assets"
"2","/procurements"
"2","/subscriptions"
"2","/requests"
"2","/soil-nutrient-land soil-samples"
"2","/water-irrigation irrigation-schedules"
"2","/producer-groups"
"2","/poultry vaccination-records"
"2","/events"
"2","/poultry egg-production"
"2","/issues"
"2","/api-config"
"2","/supply-chain-decision"
"2","/research-and-development"
"2","/package"
"2","/library initialize"
"2","/digital-twin"
"2","/system-config"
"2","/date-formats"
"2","/multilingual preferences"
"2","/config"
"2","/ai decision execute"
"2","/pre-season-order"
"2","/enterprise-memory cases"
"2","/transactions"
"2","/system-administration"
"2","/partner-management"
"2","/scenarios"
"2","/mfa verify"
"2","/offer-management"
"2","/product-reviews"
"2","/security"
"2","/library ai-context"
"2","/crop-monitoring observations"
"2","/poultry feed-consumption"
"2","/strategic household procurement-plans"
"2","/sheep breeding-records"
"2","/redis-data"
"2","/farm-costing records"
"2","/specifications"
"2","/insurance master-policies"
"2","/information-sharing documents"
"2","/ne-varieties"
"2","/sheep feed-consumption"
"2","/expenses"
"2","/search"
"2","/sessions"
"2","/rfq"
"2","/joint-ventures"
"2","/notifications"
"2","/water-budget-records"
"2","/breaches"
"2","/preferences"
"2","/tasks"
"2","/number-formats"
"2","/marketplace listings"
"2","/library verify"
"2","/logistics vehicles"
