"Count","FrontendFile"
"2595","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js"
"24","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\coreApi.js"
"20","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\operationsApi.js"
"18","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\commerceApi.js"
"12","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\componentApi.js"
"10","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\waterIrrigationService.js"
"8","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\soilNutrientLandService.js"
"8","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\machineryVillageOpsService.js"
"7","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\vendorProcurementService.js"
"6","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\authService.js"
"3","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M001\M001Page.jsx"
"3","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\marketplaceService.js"
"3","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\HouseholdProcurementPage.jsx"
"3","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\AI\AIChat.jsx"
"2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\FarmerProcurementPage.jsx"
"2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\AdvancedMedicalCodingPage.jsx"
"2","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\AI\AICollaborationDashboard.jsx"
"1","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\PremiumMarketplacePage.jsx"
"1","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\IndiaCoveragePage.jsx"
"1","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\stores\authStore.js"
"1","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\farmerService.js"
"1","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\AI\AIImageGeneratorDashboard.jsx"
"1","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M41\M41.jsx"
"1","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M016\M016Page.jsx"
"1","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\IoTMonitoringDashboard.jsx"
"1","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\Farmer\FarmerImagePortal.jsx"
