"FrontendFile","Method","RawPath","CandidatePath","Status","BackendPath","BackendRouter"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/asset-accounting/company/${companyId}/register-summary","/asset-accounting/company/:param/register-summary","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","PUT","/animal-health/treatment/${id}","/animal-health/treatment/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M212\M212.jsx","DELETE","/api/v1/backend-modules/M212/${id}","/api/v1/backend-modules/M212/:param","DYNAMIC_NORMALIZED_MATCH","/api/v1/backend-modules/M212/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M212\routes.js"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M070\M070Page.jsx","GET","/api/m070/search?q=${encodeURIComponent(searchQuery)}","/api/m070/search","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M190\M190.jsx","DELETE","/api/v1/backend-modules/M190/${id}","/api/v1/backend-modules/M190/:param","DYNAMIC_NORMALIZED_MATCH","/api/v1/backend-modules/M190/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M190\routes.js"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M188\M188Page.jsx","GET","/api/m188/search?q=${encodeURIComponent(searchQuery)}","/api/m188/search","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\vendorProcurementService.js","GET","/vendor-procurement/procurement-requests/${requestId}","/vendor-procurement/procurement-requests/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","PUT","/admin/users/${id}","/admin/users/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","POST","/ecommerce-erp/sync-customer-crm/${userId}","/ecommerce-erp/sync-customer-crm/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/robotics/devices/${id}/telemetry","/robotics/devices/:param/telemetry","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M190\M190Page.jsx","GET","/api/m190?${params}","/api/m190","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M200\M200Page.jsx","DELETE","/api/m200/${id}","/api/m200/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M098\M098Page.jsx","GET","/api/m098?${params}","/api/m098","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","POST","/comprehensive-erp/release-production-order/${id}","/comprehensive-erp/release-production-order/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M265\M265Page.jsx","GET","/api/m265?${params}","/api/m265","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\artificialScientistAPI.js","POST","${base}/ai-assistance","/:param/ai-assistance","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M170\M170Page.jsx","DELETE","/api/m170/${id}","/api/m170/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M39\M39.jsx","DELETE","/api/v1/backend-modules/M039/${id}","/api/v1/backend-modules/M039/:param","DYNAMIC_NORMALIZED_MATCH","/api/v1/backend-modules/M039/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M039\routes.js"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\operationsApi.js","GET","/financial/loans/${id}/emi","/financial/loans/:param/emi","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M312\M312Page.jsx","DELETE","/api/m312/${id}","/api/m312/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M265\M265Page.jsx","DELETE","/api/m265/${id}","/api/m265/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M316\M316Page.jsx","GET","/api/m316?${params}","/api/m316","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/cold-storage/temperature/${facilityId}","/cold-storage/temperature/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M040\M040Page.jsx","GET","/api/m040?${params}","/api/m040","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M113\M113Page.jsx","GET","/api/m113?${params}","/api/m113","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/company/${companyId}/fiscal-years","/company/:param/fiscal-years","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M143\M143Page.jsx","DELETE","/api/m143/${id}","/api/m143/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M034\M034Page.jsx","GET","/api/m034?${params}","/api/m034","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/layouts/${id}","/layouts/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M231\M231Page.jsx","DELETE","/api/m231/${id}","/api/m231/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","PUT","/information-sharing/document/${id}","/information-sharing/document/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M243\M243Page.jsx","GET","/api/m243?${params}","/api/m243","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","DELETE","/animal-health/examination/${id}","/animal-health/examination/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","DELETE","/farmers/${farmerId}/fields/${fieldId}","/farmers/:param/fields/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","POST","/complete-ai-integration/recommend-livestock-breeding/${livestockId}","/complete-ai-integration/recommend-livestock-breeding/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","DELETE","/community-asset/${id}","/community-asset/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","POST","/data-subjects/${id}","/data-subjects/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M80\M80.jsx","DELETE","/api/v1/backend-modules/M080/${id}","/api/v1/backend-modules/M080/:param","DYNAMIC_NORMALIZED_MATCH","/api/v1/backend-modules/M080/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M080\routes.js"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/jurisdictions/${id}","/jurisdictions/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/trending-products/${id}","/trending-products/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","PUT","/environment-config/${id}","/environment-config/:param","DYNAMIC_UNRESOLVED",,
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\M090\M090Page.jsx","GET","/api/m090?${params}","/api/m090","DYNAMIC_UNRESOLVED",,
