"Count","Prefix","Files"
"13","/sap-module-architecture/module/:param","1"
"9","/:param/api/v1","1"
"7","/cost-control/budget/:param","1"
"7","/logistics/shipments/:param","1"
"6","/robotics/missions/:param","1"
"5","/asset-accounting/asset/:param","1"
"5","/ai/product-media-ai/products","2"
"5","/research-development/rd-project/:param","1"
"5","/robotics/devices/:param","1"
"4","/i18n/:param","2"
"4","/ai-agent/agent/:param","1"
"4","/:param/experiments/:param","1"
"4","/farmers/:param","3"
"4","/products/:param","2"
"4","/users/profile","2"
"4","/equipment-exchange/listing/:param","1"
"4","/vendor-procurement/vendors/:param","1"
"4","/engineering-project/project/:param","1"
"3","/marketplace/listings/:param","1"
"3","/product-reviews/products/:param","1"
"3","/auth/register","3"
"3","/fertilizer-inventory/item/:param","1"
"3","/orders/:param","2"
"3","/api/farmer/portfolio","1"
"3","/auth/login","3"
"3","/products","2"
"3","/cold-storage/facility/:param","1"
"3","/nutrition-intelligence/product-nutrition/:param","1"
"3","/logistics/shipments","2"
"3","/seed-vault/:param","2"
"3","/ai/copilot/session","1"
"2","/unified-ai-gateway","1"
"2","/system-administration","1"
"2","/agro-meteorology/records/record","1"
"2","/poultry-management/batch/:param","1"
"2","/ai/conversational/history","2"
"2","/consent-management/record/:param","1"
"2","/water-analytics-records/:param","1"
"2","/product-reviews","1"
"2","/permission-management/permission/:param","1"
"2","/land-lease/lease/:param","1"
"2","/watershed-records/:param","1"
"2","/digital-identity/identity/:param","1"
"2","/farmer-kyc/application/:param","1"
"2","/drought-monitoring/records/record","1"
"2","/rainwater-structures/:param","1"
"2","/nursery/nursery/:param","1"
"2","/pre-season-order","1"
"2","/enterprise-memory/cases","1"
"2","/livestock-analytics/record/:param","1"
"2","/hydroponics/system/:param","1"
"2","/ai/voice/transcribe","2"
"2","/rainwater-structures","1"
"2","/ecommerce-marketplace/listing/:param","1"
"2","/role-management/role/:param","1"
"2","/fish-feed/log/:param","1"
"2","/horticulture-analytics/metric/:param","1"
"2","/farmer-portal/land-records","1"
"2","/block/:param","1"
"2","/images/:param","1"
"2","/orders/:param/payment","2"
"2","/files/:param","1"
"2","/pig/animal/:param","1"
"2","/animal-health/quarantine/:param","1"
"2","/farm-activity/activity/:param","1"
"2","/hatchery-management/batch/:param","1"
"2","/crop-monitoring/observations/:param","1"
"2","/timeline/:param/:param","1"
"2","/versions/:param/:param","1"
"2","/information-sharing/document/:param","1"
"2","/land/parcel/:param","1"
"2","/return-load-board/posting/:param","1"
"2","/farmer-health/record/:param","1"
"2","/pesticide-inventory/item/:param","1"
"2","/user-routes","1"
"2","/district/:param","1"
"2","/ai/conversational/send","2"
"2","/session-management/session/:param","1"
"2","/rural-development-project/:param","1"
"2","/audio/:param","1"
"2","/modules/:param","1"
"2","/feed-management/record/:param","1"
"2","/poultry/flock/:param","1"
"2","/precision-horticulture/reading/:param","1"
"2","/realtime-monitoring/monitor/:param","1"
"2","/decision-engine/rules/:param","1"
"2","/organic-input/item/:param","1"
"2","/modules/m016/identities","1"
"2","/animal-health/examination/:param","1"
"2","/conversational-ai/session/:param","1"
"2","/ai/gateway/config","1"
"2","/polyhouse/record/:param","1"
"2","/orders/cart/item","1"
"2","/farm-operations-dashboard/kpi/:param","1"
"2","/logistics/drivers","1"
"2","/cattle-registry/animal/:param","1"
"2","/goat/animal/:param","1"
"2","/ai/voice/speak","2"
"2","/animal-health/outbreak/:param","1"
"2","/pond/pond/:param","1"
"2","/animal-health/treatment/:param","1"
"2","/aquaculture-analytics/metric/:param","1"
"2","/mfa-management/device/:param","1"
"2","/input-consumption/record/:param","1"
"2","/disease-forecasting/forecasts/forecast","1"
"2","/goat-farming/animal/:param","1"
