"Count","Method","RouteFamily","Files"
"3","POST","/auth/login","3"
"3","POST","/auth/register","3"
"3","GET","/farmers/:param","3"
"2","GET","/orders/:param","2"
"2","GET","/ai/conversational/history","2"
"2","POST","/orders/:param/payment","2"
"2","DELETE","/seed-vault/:param","2"
"2","POST","/ai/conversational/send","2"
"2","GET","/products","2"
"2","PUT","/i18n/:param","2"
"2","GET","/products/:param","2"
"2","POST","/ai/product-media-ai/products/:param/image","2"
"2","POST","/logistics/shipments","2"
"2","POST","/ai/decision/execute","2"
"2","GET","/i18n/:param","2"
"2","POST","/ai/voice/speak","2"
"2","GET","/library/modules/:param","2"
"2","POST","/auth/logout","2"
"2","POST","/ai/voice/transcribe","2"
"2","GET","/library/cards/:param","1"
"2","GET","/users/profile","2"
"2","PUT","/users/profile","2"
"1","GET","/api/m114","1"
"1","GET","/api/m076","1"
"1","GET","/api/m075/search","1"
"1","GET","/research-development/rd-project/:param","1"
"1","DELETE","/api/m258/:param","1"
"1","GET","/ecommerce-marketplace/price-trends/:param","1"
"1","DELETE","/equipment-scheduling/schedule/:param","1"
"1","GET","/nutrition-intelligence/product-nutrition/:param","1"
"1","DELETE","/goat-farming/animal/:param","1"
"1","GET","/api/m048","1"
"1","DELETE","/api/m205/:param","1"
"1","GET","/api/m276/search","1"
"1","GET","/api/m282","1"
"1","GET","/api/m221/search","1"
"1","POST","/product-reviews/products/:param","1"
"1","GET","/api/m194","1"
"1","GET","/api/m154","1"
"1","DELETE","/api/m269/:param","1"
"1","GET","/api/m038/search","1"
"1","PUT","/poultry-management/batch/:param","1"
"1","DELETE","/api/v1/backend-modules/m041/:param","1"
"1","GET","/api/m341","1"
"1","GET","/api/m088/search","1"
"1","GET","/api/m192","1"
"1","PUT","/crop-monitoring/observations/:param","1"
"1","GET","/api/m160/search","1"
"1","DELETE","/disease-forecasting/forecasts/forecast/:param","1"
"1","DELETE","/water-analytics-records/:param","1"
"1","GET","/api/m099/search","1"
"1","GET","/api/m334","1"
"1","GET","/api/m098","1"
"1","POST","/evolution-strategies/:param/evolve","1"
"1","GET","/api/m202","1"
"1","PUT","/load-balancers/:param","1"
"1","POST","/government-schemes/:param/apply","1"
"1","GET","/api/m319/search","1"
"1","GET","/api/m191","1"
"1","POST","/asset-accounting/company/:param/run-depreciation","1"
"1","GET","/track-dart/:param","1"
"1","PUT","/farmer-health/record/:param","1"
"1","DELETE","/api/m227/:param","1"
"1","GET","/benchmarking/results/:param","1"
"1","GET","/api/m079/search","1"
"1","GET","/history/:param/:param","1"
"1","DELETE","/api/m172/:param","1"
"1","GET","/api/m288","1"
"1","GET","/api/m296","1"
"1","PUT","/governance/policies/:param","1"
"1","PUT","/caps/:param","1"
"1","POST","/modules/:param/execute","1"
"1","POST","/farmer-procurement/offers/:param/approve","1"
"1","PUT","/inventory/:param","1"
"1","GET","/api/m225","1"
"1","DELETE","/api/m062/:param","1"
"1","POST","/:param/api/v1/warnings/cleanup","1"
"1","PUT","/insurance/claims/:param/process","1"
"1","GET","/professional-associations/:param","1"
"1","GET","/api/m200/search","1"
"1","GET","/vendor-procurement/procurement-requests/:param","1"
"1","GET","/api/m139","1"
"1","GET","/api/m047","1"
"1","POST","/bulk-order/:param/cancel","1"
"1","GET","/api/m152/search","1"
"1","DELETE","/cattle-registry/animal/:param","1"
"1","PUT","/deployment-config/:param","1"
"1","POST","/comprehensive-erp/confirm-maintenance-order/:param","1"
"1","DELETE","/api/m171/:param","1"
"1","GET","/:param/modules/:param/workspace","1"
"1","PUT","/animal-health/outbreak/:param","1"
"1","GET","/api/m293/search","1"
"1","GET","/api/m035/search","1"
"1","GET","/api/m064/search","1"
"1","DELETE","/api/m188/:param","1"
"1","GET","/:param/status","1"
"1","GET","/bulk-order/:param/quotations","1"
"1","DELETE","/api/m174/:param","1"
