"Method","RawPath","RouteFamily","SourceLine","SourceText"
"GET","/digital-campaign","/digital-campaign","5307","getDigitalCampaigns: () => api.get('/digital-campaign'),"
"POST","/farmer-health-records","/farmer-health-records","3554","getFarmerHealthRecords: () => api.get('/farmer-health-records'),"
"PUT","/farmer-profile","/farmer-profile","3579","getFarmerProfile: () => api.get('/farmer-profile'),"
"GET","/farmers/geo/states","/farmers/geo/states","6002","getStates: () => api.get('/farmers/geo/states'),"
"GET","/inspection-resilience-farming","/inspection-resilience-farming","3131","getInspectionResilienceFarming: () => api.get('/inspection-resilience-farming'),"
"GET","/ecosystem-services-farming","/ecosystem-services-farming","3006","getEcosystemServicesFarming: () => api.get('/ecosystem-services-farming'),"
"GET","/logistics-enhancement/temperature-alerts","/logistics-enhancement/temperature-alerts","6459","getTemperatureAlerts: (params) => api.get('/logistics-enhancement/temperature-alerts', { params }),"
"POST","/deep-learning-farming/implement","/deep-learning-farming/implement","2907","implementDeepLearningFarming: (data) => api.post('/deep-learning-farming/implement', data),"
"POST","/dairy-ai/analyze","/dairy-ai/analyze","3511","analyzeDairy: (data) => api.post('/dairy-ai/analyze', data),"
"POST","/operations-resilience-farming/build","/operations-resilience-farming/build","3272","buildOperationsResilience: (data) => api.post('/operations-resilience-farming/build', data),"
"POST","/comprehensive-erp/post-journal-entry","/comprehensive-erp/post-journal-entry","1992","postJournalEntry: (data) => api.post('/comprehensive-erp/post-journal-entry', data),"
"POST","/goat-farming/animal","/goat-farming/animal","6403","getAnimals: (params) => api.get('/goat-farming/animals', { params }),"
"GET","/goat-ai/optimize-goat-milk-production","/goat-ai/optimize-goat-milk-production","6122","optimizeGoatMilkProduction: (params) => api.get('/goat-ai/optimize-goat-milk-production', { params }),"
"GET","/training","/training","610","getTrainingModules: () => api.get('/training/modules'),"
"GET","/ai/operation-intelligence","/ai/operation-intelligence","305","getOperationIntelligence: () => api.get('/ai/operation-intelligence'),"
"GET","/labour/payments","/labour/payments","6336","getPayments: (params) => api.get('/labour/payments', { params }),"
"GET","/sustainability","/sustainability","2981","getSustainabilityFarming: () => api.get('/sustainability-farming'),"
"POST","/farmers/fdi/calculate","/farmers/fdi/calculate","5999","calculateFDI: (data) => api.post('/farmers/fdi/calculate', data),"
"GET","/value-chain","/value-chain","4707","getValueChain: () => api.get('/value-chain'),"
"POST","/inventory-management/manage","/inventory-management/manage","2587","manageInventory: (data) => api.post('/inventory-management/manage', data),"
"GET","/comprehensive-erp/get-profit-center-report","/comprehensive-erp/get-profit-center-report","2002","getProfitCenterReport: (params) => api.get('/comprehensive-erp/get-profit-center-report', { params }),"
"POST","/comprehensive-erp/create-customer-master","/comprehensive-erp/create-customer-master","2010","createCustomerMaster: (data) => api.post('/comprehensive-erp/create-customer-master', data),"
"POST","/grains/manage","/grains/manage","3762","manageGrains: (data) => api.post('/grains/manage', data),"
"POST","/cross-border-engagements/engage","/cross-border-engagements/engage","5178","engageCrossBorder: (data) => api.post('/cross-border-engagements/engage', data),"
"POST","/logistics/ai/optimize","/logistics/ai/optimize","369","optimizeLogistics: (data) => api.post('/logistics/ai/optimize', data),"
"POST","/autonomous-farming/implement","/autonomous-farming/implement","2862","implementAutonomousFarming: (data) => api.post('/autonomous-farming/implement', data),"
"POST","/water-conservation-farming/implement","/water-conservation-farming/implement","3017","implementWaterConservation: (data) => api.post('/water-conservation-farming/implement', data),"
"POST","/ai/brain/train","/ai/brain/train","124","trainBrain: (data) => api.post('/ai/brain/train', data),"
"POST","/responsibility-resilience-farming/build","/responsibility-resilience-farming/build","3177","buildResponsibilityResilience: (data) => api.post('/responsibility-resilience-farming/build', data),"
"POST","/speech-recognition-farming/implement","/speech-recognition-farming/implement","2922","implementSpeechRecognitionFarming: (data) => api.post('/speech-recognition-farming/implement', data),"
"POST","/erp/manage","/erp/manage","3544","manageERP: (data) => api.post('/erp/manage', data),"
"POST","/ai/collaboration/start","/ai/collaboration/start","178","startCollaboration: (data) => api.post('/ai/collaboration/start', data),"
"GET","/ai-farming","/ai-farming","2896","getAIFarming: () => api.get('/ai-farming'),"
"GET","/users","/users","57","getUsers: () => api.get('/admin/users'),"
"GET","/research-resilience-farming","/research-resilience-farming","3236","getResearchResilienceFarming: () => api.get('/research-resilience-farming'),"
"POST","/inventory/manage","/inventory/manage","3897","manageInventory: (data) => api.post('/inventory/manage', data),"
"GET","/cold-chain-monitoring","/cold-chain-monitoring","2117","getColdChainMonitoring: () => api.get('/cold-chain-monitoring'),"
"POST","/distribution-resilience-farming/build","/distribution-resilience-farming/build","3287","buildDistributionResilience: (data) => api.post('/distribution-resilience-farming/build', data),"
"GET","/audit-trail","/audit-trail","5763","getAuditTrail: () => api.get('/audit-trail'),"
"POST","/verification-resilience-farming/build","/verification-resilience-farming/build","3147","buildVerificationResilience: (data) => api.post('/verification-resilience-farming/build', data),"
"GET","/satellite-farming","/satellite-farming","2876","getSatelliteFarming: () => api.get('/satellite-farming'),"
"GET","/information-sharing/analytics","/information-sharing/analytics","6255","getAnalytics: (params) => api.get('/information-sharing/analytics', { params }),"
"POST","/authorization/check","/authorization/check","511","checkAuthorization: (data) => api.post('/authorization/check', data),"
"POST","/nlp-farming/implement","/nlp-farming/implement","2917","implementNLPFarming: (data) => api.post('/nlp-farming/implement', data),"
"GET","/featured-products","/featured-products","5648","getFeaturedProducts: () => api.get('/featured-products'),"
"GET","/ai/strategies","/ai/strategies","207","getStrategies: () => api.get('/ai/strategies'),"
"POST","/education-resilience-farming/build","/education-resilience-farming/build","3222","buildEducationResilience: (data) => api.post('/education-resilience-farming/build', data),"
"GET","/blockchain-data","/blockchain-data","1636","getBlockchainData: () => api.get('/blockchain-data'),"
"POST","/sustainability/manage","/sustainability/manage","4563","manageSustainability: (data) => api.post('/sustainability/manage', data),"
"GET","/inventory-optimization","/inventory-optimization","2591","getInventoryOptimization: () => api.get('/inventory-optimization'),"
"GET","/competitors-resilience-farming","/competitors-resilience-farming","3311","getCompetitorsResilienceFarming: () => api.get('/competitors-resilience-farming'),"
"GET","/warnings/user","/warnings/user","5951","getUserWarnings: (filters) => api.get('/warnings/user', { params: filters }),"
"PUT","/ai/backbone/config","/ai/backbone/config","116","configureBackbone: (data) => api.put('/ai/backbone/config', data),"
"POST","/video-analytics/analyze","/video-analytics/analyze","2185","analyzeVideo: (data) => api.post('/video-analytics/analyze', data),"
"GET","/unified-ai-routes","/unified-ai-routes","2199","getUnifiedAIRoutes: () => api.get('/unified-ai-routes'),"
"POST","/anomaly-detection-farming/implement","/anomaly-detection-farming/implement","2937","implementAnomalyDetectionFarming: (data) => api.post('/anomaly-detection-farming/implement', data),"
"POST","/validation-resilience-farming/build","/validation-resilience-farming/build","3142","buildValidationResilience: (data) => api.post('/validation-resilience-farming/build', data),"
"POST","/comprehensive-erp/create-goods-receipt","/comprehensive-erp/create-goods-receipt","2006","createGoodsReceipt: (data) => api.post('/comprehensive-erp/create-goods-receipt', data),"
"GET","/maintenance","/maintenance","664","getMaintenance: (id) => api.get(`/machinery/${id}/maintenance`),"
"GET","/pig-ai/optimize-meat-production","/pig-ai/optimize-meat-production","6682","optimizeMeatProduction: (params) => api.get('/pig-ai/optimize-meat-production', { params }),"
"GET","/predictive-analytics/pricing-prediction","/predictive-analytics/pricing-prediction","6714","getPricingPrediction: (params) => api.get('/predictive-analytics/pricing-prediction', { params }),"
"GET","/campaign-building","/campaign-building","5262","getCampaignBuildings: () => api.get('/campaign-building'),"
"GET","/logistics-enhancement/warehouses","/logistics-enhancement/warehouses","6461","getWarehouses: (params) => api.get('/logistics-enhancement/warehouses', { params }),"
"POST","/sheep-farming/animal","/sheep-farming/animal","6410","getAnimals: (params) => api.get('/sheep-farming/animals', { params }),"
"GET","/farmers/pricing/signals","/farmers/pricing/signals","6014","getPriceSignals: (params) => api.get('/farmers/pricing/signals', { params }),"
"GET","/predictive-analytics-farming","/predictive-analytics-farming","2941","getPredictiveAnalyticsFarming: () => api.get('/predictive-analytics-farming'),"
"POST","/certification-resilience-farming/build","/certification-resilience-farming/build","3107","buildCertificationResilience: (data) => api.post('/certification-resilience-farming/build', data),"
"GET","/verification-resilience-farming","/verification-resilience-farming","3146","getVerificationResilienceFarming: () => api.get('/verification-resilience-farming'),"
"POST","/inventory-optimization/optimize","/inventory-optimization/optimize","2592","optimizeInventory: (data) => api.post('/inventory-optimization/optimize', data),"
"POST","/rainwater-harvesting/budget","/rainwater-harvesting/budget","6914","calculateBudget: (data) => api.post('/rainwater-harvesting/budget', data),"
"GET","/standard-resilience-farming","/standard-resilience-farming","3111","getStandardResilienceFarming: () => api.get('/standard-resilience-farming'),"
"POST","/society-resilience-farming/build","/society-resilience-farming/build","3327","buildSocietyResilience: (data) => api.post('/society-resilience-farming/build', data),"
"POST","/ecommerce/ai/recommendations","/ecommerce/ai/recommendations","293","generateRecommendations: (data) => api.post('/ecommerce/ai/recommendations', data),"
"GET","/orders/ai/insights","/orders/ai/insights","363","getOrderAIInsights: () => api.get('/orders/ai/insights'),"
"GET","/ai-advisory/statistics","/ai-advisory/statistics","6784","getStatistics: (params) => api.get('/ai-advisory/statistics', { params }),"
"POST","/ai-farming/implement","/ai-farming/implement","2897","implementAIFarming: (data) => api.post('/ai-farming/implement', data),"
"GET","/ai/decisions","/ai/decisions","192","getDecisions: () => api.get('/ai/decisions'),"
"GET","/farmer/profile","/farmer/profile","400","getProfile: () => api.get('/farmer/profile'),"
"GET","/comprehensive-erp/analyze-financials-a-i","/comprehensive-erp/analyze-financials-a-i","1996","analyzeFinancialsAI: (params) => api.get('/comprehensive-erp/analyze-financials-a-i', { params }),"
"GET","/complete-erp-integration","/complete-erp-integration","2060","getCompleteERPIntegration: () => api.get('/complete-erp-integration'),"
"PUT","/ecommerce-erp/configure","/ecommerce-erp/configure","1862","configureERP: (data) => api.put('/ecommerce-erp/configure', data),"
"POST","/pig-farming/animal","/pig-farming/animal","6417","getAnimals: (params) => api.get('/pig-farming/animals', { params }),"
"GET","/financial-resilience-farming","/financial-resilience-farming","3071","getFinancialResilienceFarming: () => api.get('/financial-resilience-farming'),"
"GET","/erp/sync/status","/erp/sync/status","6029","getSyncStatus: () => api.get('/erp/sync/status'),"
"POST","/suppliers-resilience-farming/build","/suppliers-resilience-farming/build","3307","buildSuppliersResilience: (data) => api.post('/suppliers-resilience-farming/build', data),"
"POST","/cold-fish-chain/shipment","/cold-fish-chain/shipment","6065","getShipments: (params) => api.get('/cold-fish-chain/shipments', { params }),"
"GET","/goat-ai/monitor-goat-health","/goat-ai/monitor-goat-health","6123","monitorGoatHealth: (params) => api.get('/goat-ai/monitor-goat-health', { params }),"
