"Module","Files","Routes","Services","UI","AI","DB"
"M001","7","1","1","0","0","1"
"M001_PLATFORM_CORE","2","0","1","0","0","0"
"M002","6","1","1","0","0","1"
"M002_USER_MANAGEMENT","2","0","1","0","0","0"
"M003","6","1","1","0","0","1"
"M003_ORGANIZATION","2","0","1","0","0","0"
"M004","6","1","1","0","0","1"
"M004_ROLE_MANAGEMENT","2","0","1","0","0","0"
"M005","6","1","1","0","0","1"
"M005_PERMISSION_MANAGEMENT","2","0","1","0","0","0"
"M006","6","1","1","0","0","1"
"M007","6","1","1","0","0","1"
"M008","6","1","1","0","0","1"
"M009","6","1","1","0","0","1"
"M010","6","1","1","0","0","1"
"M011","6","1","1","0","0","1"
"M012","5","1","1","0","0","0"
"M013","6","1","1","0","0","0"
"M014","6","1","1","0","0","1"
"M015","5","1","1","0","0","0"
"M016","6","1","1","0","0","1"
"M017","5","1","1","0","0","0"
"M018","6","1","1","0","0","1"
"M019","6","1","1","0","0","1"
"M020","6","1","1","0","0","1"
"M021","5","1","1","0","0","0"
"M022","6","1","1","0","0","1"
"M023","6","1","1","0","0","1"
"M024","6","1","1","0","0","1"
"M025","7","1","1","0","0","1"
"M026","5","1","1","0","0","0"
"M027","5","1","1","0","0","0"
"M028","5","1","1","0","0","0"
"M029","6","1","1","0","0","0"
"M030","5","1","1","0","0","0"
"M031","8","1","1","0","0","1"
"M032","8","1","1","0","0","1"
"M033","6","1","1","0","0","0"
"M034","7","1","1","0","0","1"
"M035","7","1","1","0","0","1"
"M036","6","1","1","0","0","0"
"M037","7","1","1","0","0","1"
"M038","7","1","1","0","0","1"
"M039","7","1","1","0","0","1"
"M040","6","1","1","0","0","0"
"M041","14","1","7","0","0","1"
"M042","7","1","1","0","0","1"
"M043","6","1","1","0","0","0"
"M044","6","1","1","0","0","0"
"M045","6","1","1","0","0","0"
"M046","7","1","1","0","0","1"
"M047","6","1","1","0","0","0"
"M048","6","1","1","0","0","0"
"M049","7","1","1","0","0","1"
"M050","6","1","1","0","0","0"
"M051","8","1","1","0","0","1"
"M052","7","1","1","0","0","1"
"M053","7","1","1","0","0","1"
"M054","8","1","1","0","0","1"
"M055","7","1","1","0","0","1"
"M056","7","1","1","0","0","1"
"M057","7","1","1","0","0","1"
"M058","7","1","1","0","0","1"
"M059","7","1","1","0","0","1"
"M060","7","1","1","0","0","1"
"M061","7","1","1","0","0","1"
"M062","7","1","1","0","0","1"
"M063","7","1","1","0","0","1"
"M064","7","1","1","0","0","1"
"M065","7","1","1","0","0","1"
"M066","7","1","1","0","0","1"
"M067","7","1","1","0","0","1"
"M068","7","1","1","0","0","1"
"M069","7","1","1","0","0","1"
"M070","7","1","1","0","0","1"
"M071","6","1","1","0","0","0"
"M072","6","1","1","0","0","0"
"M073","6","1","1","0","0","0"
"M074","7","1","1","0","0","1"
"M075","7","1","1","0","0","1"
"M076","7","1","1","0","0","1"
"M077","7","1","1","0","0","1"
"M078","7","1","1","0","0","1"
"M079","7","1","1","0","0","1"
"M080","7","1","1","0","0","1"
"M081","7","1","1","0","0","1"
"M082","7","1","1","0","0","1"
"M083","7","1","1","0","0","1"
"M084","7","1","1","0","0","1"
"M085","7","1","1","0","0","1"
"M086","7","1","1","0","0","1"
"M087","7","1","1","0","0","1"
"M088","7","1","1","0","0","1"
"M089","7","1","1","0","0","1"
"M090","6","1","1","0","0","0"
"M091","6","1","1","0","0","0"
"M092","6","1","1","0","0","0"
"M093","6","1","1","0","0","0"
"M094","6","1","1","0","0","0"
"M095","7","1","1","0","0","1"
"M096","7","1","1","0","0","1"
"M097","7","1","1","0","0","1"
"M098","6","1","1","0","0","0"
"M099","6","1","1","0","0","0"
"M100","6","1","1","0","0","0"
"M100_CROP_MANAGEMENT","2","0","1","0","0","0"
"M100100_LOGISTICSENHANCEMENT","4","0","1","2","0","0"
"M101","9","1","1","0","0","1"
"M101_LIVESTOCK_MANAGEMENT","4","0","1","2","0","0"
"M10100_PRODUCTREVIEW","2","0","1","0","0","0"
"M102","9","1","1","0","0","1"
"M102_DAIRY_MANAGEMENT","5","0","1","2","0","0"
"M103","7","1","1","0","0","1"
"M103_FISHERIES_MANAGEMENT","4","0","1","2","0","0"
