"Layer","System","RootPath","Files","UI_TSX_JSX","JS_TS","Routes","Services","Controllers","AI_ML","DB_Data"
"BACKEND","__tests__","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\__tests__","1055","0","1055","8","0","0","1","0"
"BACKEND","cache","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\cache","1","0","1","0","0","0","0","1"
"BACKEND","config","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\config","2","0","2","0","0","0","0","1"
"BACKEND","controllers","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\controllers","24","0","24","0","0","24","0","0"
"BACKEND","core","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core","49","0","48","1","5","1","15","0"
"BACKEND","database","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database","844","0","28","1","6","0","5","844"
"BACKEND","graphql","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\graphql","1","0","1","0","0","0","0","1"
"BACKEND","integrations","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\integrations","1","0","1","0","0","0","0","0"
"BACKEND","jobs","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\jobs","2","0","2","0","0","0","0","0"
"BACKEND","middleware","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware","26","0","26","1","0","0","0","0"
"BACKEND","modules","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules","2478","74","1725","350","546","347","8","119"
"BACKEND","monitoring","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\monitoring","4","0","4","0","0","0","0","0"
"BACKEND","platform","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\platform","20","0","20","0","9","0","1","0"
"BACKEND","platforms","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\platforms","1","0","1","0","0","0","0","0"
"BACKEND","routes","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes","697","0","696","637","1","0","5","3"
"BACKEND","services","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services","661","0","660","4","614","0","62","6"
"BACKEND","test","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\test","4","0","4","0","2","0","0","0"
"BACKEND","test-mocks","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\test-mocks","1","0","1","0","0","0","0","0"
"BACKEND","tests","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\tests","74","0","74","8","30","0","3","0"
"BACKEND","utils","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\utils","11","0","11","0","0","0","0","0"
"BACKEND","websocket","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\websocket","2","0","2","0","0","0","0","0"
"FRONTEND","__tests__","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\__tests__","320","320","0","0","0","0","0","0"
"FRONTEND","components","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components","479","478","1","6","0","0","6","0"
"FRONTEND","config","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\config","5","0","5","3","0","0","0","0"
"FRONTEND","core","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\core","1","0","1","1","0","0","0","0"
"FRONTEND","data","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\data","1","0","1","0","0","0","0","0"
"FRONTEND","hooks","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\hooks","6","1","5","0","0","0","0","0"
"FRONTEND","lib","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\lib","1","0","1","0","0","0","0","0"
"FRONTEND","modules","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules","993","646","0","0","0","0","0","0"
"FRONTEND","pages","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages","798","796","2","0","1","0","2","1"
"FRONTEND","router","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\router","1","1","0","1","0","0","0","0"
"FRONTEND","services","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services","22","1","21","0","10","0","0","0"
"FRONTEND","store","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\store","1","0","1","0","0","0","0","0"
"FRONTEND","stores","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\stores","3","0","3","0","0","0","0","0"
"FRONTEND","test","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\test","5","1","4","0","0","0","0","0"
"FRONTEND","utils","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\utils","16","1","15","1","0","0","0","0"
"MODULES","M001","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M001","7","0","4","1","1","1","0","1"
"MODULES","M001_PLATFORM_CORE","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M001_PLATFORM_CORE","2","0","1","0","1","0","0","0"
"MODULES","M002","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M002","6","0","4","1","1","1","0","1"
"MODULES","M002_USER_MANAGEMENT","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M002_USER_MANAGEMENT","2","0","1","0","1","0","0","0"
"MODULES","M003","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M003","6","0","4","1","1","1","0","1"
"MODULES","M003_ORGANIZATION","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M003_ORGANIZATION","2","0","1","0","1","0","0","0"
"MODULES","M004","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M004","6","0","4","1","1","1","0","1"
"MODULES","M004_ROLE_MANAGEMENT","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M004_ROLE_MANAGEMENT","2","0","1","0","1","0","0","0"
"MODULES","M005","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M005","6","0","4","1","1","1","0","1"
"MODULES","M005_PERMISSION_MANAGEMENT","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M005_PERMISSION_MANAGEMENT","2","0","1","0","1","0","0","0"
"MODULES","M006","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M006","6","0","4","1","1","1","0","1"
"MODULES","M007","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M007","6","0","4","1","1","1","0","1"
"MODULES","M008","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M008","6","0","4","1","1","1","0","1"
"MODULES","M009","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M009","6","0","4","1","1","1","0","1"
"MODULES","M010","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M010","6","0","4","1","1","1","0","1"
"MODULES","M011","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M011","6","0","4","1","1","1","0","1"
"MODULES","M012","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M012","5","0","4","1","1","1","0","0"
"MODULES","M013","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M013","6","0","4","1","1","1","0","0"
"MODULES","M014","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M014","6","0","4","1","1","1","0","1"
"MODULES","M015","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M015","5","0","4","1","1","1","0","0"
"MODULES","M016","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M016","6","0","4","1","1","1","0","1"
"MODULES","M017","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M017","5","0","4","1","1","1","0","0"
"MODULES","M018","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M018","6","0","4","1","1","1","0","1"
"MODULES","M019","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M019","6","0","4","1","1","1","0","1"
"MODULES","M020","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M020","6","0","4","1","1","1","0","1"
"MODULES","M021","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M021","5","0","4","1","1","1","0","0"
"MODULES","M022","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M022","6","0","4","1","1","1","0","1"
"MODULES","M023","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M023","6","0","4","1","1","1","0","1"
"MODULES","M024","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M024","6","0","4","1","1","1","0","1"
"MODULES","M025","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M025","7","0","4","1","1","1","0","1"
"MODULES","M026","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M026","5","0","4","1","1","1","0","0"
"MODULES","M027","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M027","5","0","4","1","1","1","0","0"
"MODULES","M028","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M028","5","0","4","1","1","1","0","0"
"MODULES","M029","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M029","6","0","4","1","1","1","0","0"
"MODULES","M030","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M030","5","0","4","1","1","1","0","0"
"MODULES","M031","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M031","8","0","5","1","1","1","0","1"
"MODULES","M032","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M032","8","0","5","1","1","1","0","1"
"MODULES","M033","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M033","6","0","5","1","1","1","0","0"
"MODULES","M034","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M034","7","0","5","1","1","1","0","1"
"MODULES","M035","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M035","7","0","5","1","1","1","0","1"
"MODULES","M036","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M036","6","0","5","1","1","1","0","0"
"MODULES","M037","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M037","7","0","5","1","1","1","0","1"
"MODULES","M038","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M038","7","0","5","1","1","1","0","1"
"MODULES","M039","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M039","7","0","5","1","1","1","0","1"
"MODULES","M040","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M040","6","0","5","1","1","1","0","0"
"MODULES","M041","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041","14","0","12","1","7","1","0","1"
"MODULES","M042","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M042","7","0","5","1","1","1","0","1"
"MODULES","M043","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M043","6","0","5","1","1","1","0","0"
"MODULES","M044","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M044","6","0","5","1","1","1","0","0"
"MODULES","M045","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M045","6","0","5","1","1","1","0","0"
"MODULES","M046","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M046","7","0","5","1","1","1","0","1"
"MODULES","M047","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M047","6","0","5","1","1","1","0","0"
"MODULES","M048","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M048","6","0","5","1","1","1","0","0"
"MODULES","M049","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M049","7","0","5","1","1","1","0","1"
"MODULES","M050","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M050","6","0","5","1","1","1","0","0"
"MODULES","M051","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M051","8","0","5","1","1","1","0","1"
"MODULES","M052","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M052","7","0","5","1","1","1","0","1"
"MODULES","M053","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M053","7","0","5","1","1","1","0","1"
"MODULES","M054","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M054","8","0","5","1","1","1","0","1"
"MODULES","M055","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M055","7","0","5","1","1","1","0","1"
"MODULES","M056","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M056","7","0","5","1","1","1","0","1"
"MODULES","M057","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M057","7","0","5","1","1","1","0","1"
"MODULES","M058","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M058","7","0","5","1","1","1","0","1"
"MODULES","M059","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M059","7","0","5","1","1","1","0","1"
"MODULES","M060","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M060","7","0","5","1","1","1","0","1"
"MODULES","M061","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M061","7","0","5","1","1","1","0","1"
"MODULES","M062","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M062","7","0","5","1","1","1","0","1"
