"SourceLine","Method","Path","SourceText","Extraction"
"47","POST","/monitoring/errors","logError: (error) => api.post('/monitoring/errors', error),","DIRECT_SAME_LINE"
"48","GET","/monitoring/metrics","getMetrics: () => api.get('/monitoring/metrics'),","DIRECT_SAME_LINE"
"52","GET","/admin/settings","getSettings: () => api.get('/admin/settings'),","DIRECT_SAME_LINE"
"53","PUT","/admin/settings","updateSettings: (data) => api.put('/admin/settings', data),","DIRECT_SAME_LINE"
"57","GET","/admin/users","getUsers: () => api.get('/admin/users'),","DIRECT_SAME_LINE"
"58","POST","/admin/users","createUser: (data) => api.post('/admin/users', data),","DIRECT_SAME_LINE"
"59","PUT","/admin/users/${id}","updateUser: (id, data) => api.put(`/admin/users/${id}`, data),","DIRECT_SAME_LINE"
"60","DELETE","/admin/users/${id}","deleteUser: (id) => api.delete(`/admin/users/${id}`),","DIRECT_SAME_LINE"
"64","GET","/modules/${module}","getItems: (module) => api.get(`/modules/${module}`),","DIRECT_SAME_LINE"
"65","POST","/modules/${module}","createItem: (module, data) => api.post(`/modules/${module}`, data),","DIRECT_SAME_LINE"
"66","PUT","/modules/${module}/${id}","updateItem: (module, id, data) => api.put(`/modules/${module}/${id}`, data),","DIRECT_SAME_LINE"
"67","DELETE","/modules/${module}/${id}","deleteItem: (module, id) => api.delete(`/modules/${module}/${id}`),","DIRECT_SAME_LINE"
"71","GET","/i18n/${lang}","getTranslations: (lang) => api.get(`/i18n/${lang}`),","DIRECT_SAME_LINE"
"72","PUT","/i18n/${lang}","updateTranslations: (lang, data) => api.put(`/i18n/${lang}`, data),","DIRECT_SAME_LINE"
"73","GET","/multilingual/preferences","getPreferences: () => api.get('/multilingual/preferences'),","DIRECT_SAME_LINE"
"74","PUT","/multilingual/preferences","updatePreferences: (data) => api.put('/multilingual/preferences', data),","DIRECT_SAME_LINE"
"75","POST","/multilingual/detect","detect: (text) => api.post('/multilingual/detect', { text }),","DIRECT_SAME_LINE"
"76","GET","/multilingual/languages","getLanguages: () => api.get('/multilingual/languages'),","DIRECT_SAME_LINE"
"77","POST","/multilingual/translate","translate: (data) => api.post('/multilingual/translate', data),","DIRECT_SAME_LINE"
"81","POST","/ai/conversational/send","sendMessage: (message) => api.post('/ai/conversational/send', { message }),","DIRECT_SAME_LINE"
"82","GET","/ai/conversational/history","getConversationHistory: () => api.get('/ai/conversational/history'),","DIRECT_SAME_LINE"
"83","POST","/conversational-ai/session","createSession: (data) => api.post('/conversational-ai/session', data),","DIRECT_SAME_LINE"
"84","GET","/conversational-ai/domains","getDomains: () => api.get('/conversational-ai/domains'),","DIRECT_SAME_LINE"
"85","POST","/conversational-ai/session/${sessionId}/respond","respond: (sessionId, userMessage) => api.post(`/conversational-ai/session/${sessionId}/respond`, { userMessage }),","DIRECT_SAME_LINE"
"86","POST","/conversational-ai/session/${sessionId}/end","endSession: (sessionId, data) => api.post(`/conversational-ai/session/${sessionId}/end`, data),","DIRECT_SAME_LINE"
"90","POST","/ai/voice/transcribe","transcribeAudio: (audio) => api.post('/ai/voice/transcribe', { audio }),","DIRECT_SAME_LINE"
"91","POST","/ai/voice/speak","generateSpeech: (text) => api.post('/ai/voice/speak', { text }),","DIRECT_SAME_LINE"
"92","POST","/voice-ai/session","createSession: (language) => api.post('/voice-ai/session', { language }),","DIRECT_SAME_LINE"
"93","POST","/voice-ai/session/${sessionId}/end","endSession: (sessionId) => api.post(`/voice-ai/session/${sessionId}/end`),","DIRECT_SAME_LINE"
"94","GET","/voice-ai/preferences","getPreferences: () => api.get('/voice-ai/preferences'),","DIRECT_SAME_LINE"
"95","POST","/voice-ai/command","sendCommand: (data) => api.post('/voice-ai/command', data),","DIRECT_SAME_LINE"
"99","GET","/ai/agents","getAgents: () => api.get('/ai/agents'),","DIRECT_SAME_LINE"
"100","POST","/ai/agents","createAgent: (data) => api.post('/ai/agents', data),","DIRECT_SAME_LINE"
