"File","Function","AssignmentFound","DeclarationFound","AssignmentBeforeDeclaration"
"src\services\commerce\valueCommerceService.js","getValueFactors","True","True","True"
"src\services\commerce\valueCommerceService.js","calculateProductValueScore","True","True","True"
"src\services\commerce\valueCommerceService.js","getProductValueScore","True","True","True"
"src\services\commerce\valueCommerceService.js","calculateValueBasedPrice","True","True","True"
"src\services\commerce\valueCommerceService.js","setConsumerValuePreferences","True","True","True"
"src\services\commerce\valueCommerceService.js","getConsumerValuePreferences","True","True","True"
"src\services\commerce\valueCommerceService.js","generateValueRecommendations","True","True","True"
"src\services\commerce\valueCommerceService.js","getValueTiers","True","True","True"
"src\services\food\nutritionIntelligenceService.js","getNutrients","True","True","True"
"src\services\food\nutritionIntelligenceService.js","createFoodNutritionProfile","True","True","True"
"src\services\food\nutritionIntelligenceService.js","searchFoodProfiles","True","True","True"
"src\services\food\nutritionIntelligenceService.js","addProductNutrition","True","True","True"
"src\services\food\nutritionIntelligenceService.js","getProductNutrition","True","True","True"
"src\services\food\nutritionIntelligenceService.js","calculateProductNutritionScore","True","True","True"
"src\services\food\nutritionIntelligenceService.js","getProductNutritionScore","True","True","True"
"src\services\food\nutritionIntelligenceService.js","calculateNutritionPricing","True","True","True"
"src\services\food\nutritionIntelligenceService.js","compareProductsNutrition","True","True","True"
"src\services\food\nutritionIntelligenceService.js","getDietaryProfiles","True","True","True"
"src\services\logistics\iotIntegrationService.js","registerIoTDevice","True","True","True"
"src\services\logistics\iotIntegrationService.js","getIoTDevices","True","True","True"
"src\services\logistics\iotIntegrationService.js","updateDeviceStatus","True","True","True"
"src\services\logistics\iotIntegrationService.js","recordSensorData","True","True","True"
"src\services\logistics\iotIntegrationService.js","getSensorData","True","True","True"
"src\services\logistics\iotIntegrationService.js","sendDeviceCommand","True","True","True"
"src\services\logistics\iotIntegrationService.js","getDeviceCommands","True","True","True"
"src\services\logistics\iotIntegrationService.js","createDeviceAlert","True","True","True"
"src\services\logistics\iotIntegrationService.js","getUnacknowledgedAlerts","True","True","True"
"src\services\logistics\iotIntegrationService.js","checkDeviceHealth","True","True","True"
"src\services\logistics\iotIntegrationService.js","recordIoTAnalytics","True","True","True"
"src\services\platform\multilingualService.js","detectLanguage","True","True","True"
"src\services\platform\multilingualService.js","translateText","True","True","True"
"src\services\platform\multilingualService.js","getAvailableLanguages","True","True","True"
"src\services\platform\multilingualService.js","getContentTranslation","True","True","True"
"src\services\platform\multilingualService.js","saveContentTranslation","True","True","True"
"src\services\platform\multilingualService.js","getUserLanguagePreferences","True","True","True"
"src\services\platform\multilingualService.js","updateUserLanguagePreferences","True","True","True"
"src\services\platform\multilingualService.js","getTranslationMemoryStats","True","True","True"
