"Module","Files","Bytes"
"M001","8","10308"
"M001_PLATFORM_CORE","2","25433"
"M002","7","14854"
"M002_USER_MANAGEMENT","2","16567"
"M003","7","16656"
"M003_ORGANIZATION","2","13966"
"M004","7","12461"
"M004_ROLE_MANAGEMENT","2","14517"
"M005","7","12598"
"M005_PERMISSION_MANAGEMENT","2","13458"
"M006","7","12585"
"M007","7","18385"
"M008","7","19372"
"M009","7","21641"
"M010","7","25093"
"M011","7","17816"
"M012","6","18788"
"M013","7","19907"
"M014","7","20747"
"M015","6","25732"
"M016","7","28296"
"M017","6","24142"
"M018","7","26354"
"M019","7","26736"
"M020","7","22315"
"M021","6","22563"
"M022","7","33046"
"M023","7","38003"
"M024","7","18424"
"M025","8","13365"
"M026","6","12136"
"M027","6","13380"
"M028","6","12710"
"M029","7","11161"
"M030","6","25666"
"M031","9","19096"
"M032","9","18512"
"M033","7","17827"
"M034","8","16329"
"M035","8","16326"
"M036","7","16223"
"M037","8","16348"
"M038","8","16356"
"M039","8","16322"
"M040","7","16215"
"M041","15","130764"
"M042","8","18939"
"M043","7","16501"
"M044","7","16453"
"M045","7","16447"
"M046","8","16543"
"M047","7","18306"
"M048","7","16199"
"M049","8","16359"
"M050","7","16191"
"M051","9","20792"
"M052","8","21301"
"M053","8","20791"
"M054","9","20254"
"M055","8","19147"
"M056","8","17625"
"M057","8","17658"
"M058","8","17195"
"M059","8","17251"
"M060","8","17616"
"M061","8","16346"
"M062","8","16302"
"M063","8","16322"
"M064","8","16340"
"M065","8","16306"
"M066","8","16344"
"M067","8","16341"
"M068","8","16336"
"M069","8","16860"
"M070","8","16320"
"M071","7","16570"
"M072","7","16561"
"M073","7","16496"
"M074","8","16599"
"M075","8","16585"
"M076","8","20380"
"M077","8","21022"
"M078","8","21282"
"M079","8","22061"
"M080","8","21952"
"M081","8","22940"
"M082","8","23913"
"M083","8","23705"
"M084","8","21855"
"M085","8","22074"
"M086","8","22701"
"M087","8","21566"
"M088","8","16354"
"M089","8","16382"
"M090","7","16199"
"M091","7","16211"
"M092","7","19057"
"M093","7","16223"
"M094","7","16199"
"M095","8","16359"
"M096","8","16355"
"M097","8","16341"
"M098","7","16191"
"M099","7","16187"
"M100","7","16203"
"M100_CROP_MANAGEMENT","2","1633"
"M100100_LOGISTICSENHANCEMENT","4","24215"
"M101","10","11904"
"M101_LIVESTOCK_MANAGEMENT","4","28976"
"M10100_PRODUCTREVIEW","2","1650"
"M102","10","11301"
"M102_DAIRY_MANAGEMENT","5","20876"
"M103","8","19644"
"M103_FISHERIES_MANAGEMENT","4","23775"
"M104","8","19923"
"M104_SOIL_MANAGEMENT","4","17648"
"M105","8","20364"
"M105_WEATHER_INTELLIGENCE","5","11088"
"M106","7","16212"
"M107","8","19955"
"M108","8","19501"
"M108_FERTILIZER_MANAGEMENT","5","20042"
"M108100_BULKORDER","2","1621"
"M109","8","19747"
"M109_SEED_MANAGEMENT","4","24197"
"M110","8","16626"
"M111","7","16191"
"M112","8","16387"
"M113","8","16358"
"M114","7","16203"
"M115","7","16207"
"M116","8","16365"
"M117","7","16187"
"M117100_REVENUE","2","1604"
"M118","7","17988"
"M119","7","16215"
"M120","7","16174"
"M120100_VERMICOMPOST","2","1643"
"M121","8","16308"
"M122","8","20735"
"M123","8","20771"
"M124","8","19211"
"M125","8","19265"
"M126","8","19171"
"M127","8","20812"
"M128","8","19299"
"M129","8","16345"
"M129100_GREENHOUSE","2","1626"
"M130","8","16357"
"M131","8","16341"
"M132","9","17793"
"M132100_FREIGHTPOOLING","2","1662"
"M133","8","16373"
"M134","8","16336"
"M135","8","16351"
"M136","8","16346"
"M137","7","16199"
"M138","8","16354"
"M139","7","16175"
"M140","8","16359"
"M141","9","16826"
"M142","8","16362"
"M143","8","16383"
"M144","8","17065"
"M144100_MODULECATALOG","2","1627"
"M145","8","16346"
"M146","8","16356"
"M147","8","16377"
"M148","7","16179"
"M149","7","16227"
"M149100_MUSHROOM","2","1611"
"M150","8","16400"
"M150100_COMPLETEAIINTEGRATION","2","1722"
"M151","7","7101"
"M152","5","15910"
"M152100_PLATFORMCONFIGURATION","2","1716"
"M153","5","15904"
"M154","5","15870"
"M155","5","15908"
"M156","5","15886"
"M157","5","15914"
"M158","5","15914"
"M159","5","15898"
"M160","5","15909"
"M161","5","15918"
"M162","5","15942"
"M163","5","15874"
"M164","5","15866"
"M165","5","15866"
"M166","5","15866"
"M167","5","15868"
"M167100_FOODINTELLIGENCE","2","1676"
"M168","5","15886"
"M169","5","15894"
"M170","5","15870"
"M171","5","15898"
"M172","5","15930"
"M173","5","15886"
"M174","5","15910"
"M175","5","15940"
"M176","5","15936"
"M177","5","15922"
"M178","5","15921"
"M179","5","15934"
"M180","5","15894"
"M181","5","15912"
"M18100_INSURANCECLAIMS","2","1666"
"M18100_POULTRY","5","18648"
"M181100_CUSTODYEVENTROUTES","2","1641"
"M182","5","15928"
"M183","5","15894"
"M184","5","15926"
"M185","5","15934"
"M186","5","15926"
"M186100_IOTSENSOR","2","1621"
"M186100_REGIONALVARIETY","2","1671"
"M187","5","15914"
"M188","5","15914"
"M188100_DYNAMICPRICING","2","1661"
"M189","5","15902"
"M190","5","15918"
"M190100_GIINTELLIGENCE","2","1660"
"M191","5","15870"
"M192","5","15906"
"M192100_LANDRECORDS","2","1636"
"M193","5","15916"
"M194","5","15902"
"M195","5","15890"
"M196","5","15902"
"M197","5","15906"
"M198","5","15918"
"M199","5","15914"
"M200","5","15890"
"M200_ORGANIZATION_MANAGEMENT","4","16834"
"M201","7","7101"
"M201100_SERICULTURE","2","1633"
"M202","5","15918"
"M203","5","15946"
"M204","5","15934"
"M205","5","15914"
"M205_COMPLIANCE_MANAGEMENT","2","1641"
"M205100_RFQ","2","1570"
"M206","5","15922"
"M206_AUDIT_MANAGEMENT","2","1601"
"M207","5","15930"
"M208","5","15926"
"M208_GOVERNANCE","2","1619"
"M209","5","15890"
"M209100_ROLEMANAGEMENT","2","1659"
"M210","5","15926"
"M211","5","15898"
"M212","5","15914"
"M213","5","15898"
"M214","5","15902"
"M215","5","15934"
"M216","5","15942"
"M217","5","15930"
"M218","5","15934"
"M219","5","15908"
"M220","5","15918"
"M220100_ECOMMERCEMARKETING","2","1691"
"M221","5","15898"
"M222","5","15902"
"M223","5","15898"
"M224","5","15874"
"M225","5","15874"
"M226","5","15922"
"M227","5","15910"
"M228","5","15926"
"M229","5","15882"
"M230","5","15936"
"M231","5","15930"
"M232","5","15950"
"M233","5","15925"
"M234","5","15914"
"M235","5","15890"
"M235100_FOODSAFETY","2","1626"
"M236","5","15910"
"M237","5","15902"
"M238","5","15905"
"M239","5","15910"
"M240","5","15938"
"M241","5","15918"
"M242","5","15946"
"M243","5","15894"
"M244","5","15886"
"M244100_ORGANICTRACEABILITY","2","1698"
"M245","5","15906"
"M246","5","15882"
"M247","5","15870"
"M248","5","15874"
"M249","5","15934"
"M250","5","15940"
"M251","5","15918"
"M25100_OFFLINESYNC","2","1632"
"M251100_ECOMMERCEERP","2","1647"
"M252","5","15910"
"M253","5","15890"
"M254","5","15873"
"M254100_DIGITALTWIN","2","1635"
"M255","5","15906"
"M256","5","15906"
"M257","5","15904"
"M258","5","15898"
"M259","5","15902"
"M260","5","15886"
"M261","5","15906"
"M262","5","15926"
"M263","5","15910"
"M263100_CLIMATEMONITORING","2","1659"
"M264","5","15906"
"M265","5","15914"
"M265100_ENTERPRISEMEMORY","2","1674"
"M266","5","15886"
"M267","5","15938"
"M268","5","15894"
"M269","5","15894"
"M270","5","15906"
"M271","5","15922"
"M272","5","15930"
"M273","5","15914"
"M274","5","15874"
"M275","5","15914"
"M276","5","15918"
"M277","5","15910"
"M278","5","15918"
"M279","5","15902"
"M280","5","15902"
"M281","5","15898"
"M282","5","15914"
"M282100_LABORATORYERP","2","1654"
"M283","5","15930"
"M284","5","15874"
"M285","5","15878"
"M285100_NUTRIENTVALUESALES","2","1693"
"M286","5","15882"
"M287","5","15874"
"M288","5","15870"
"M289","5","15874"
"M290","5","15874"
"M290100_MACHINERYACCESS","4","32015"
"M291","5","15874"
"M292","5","15922"
"M292100_INSURANCEPREMIUM","2","1675"
"M293","5","15938"
"M294","5","15918"
"M295","5","15870"
"M296","5","15930"
"M297","5","15886"
"M298","5","15874"
"M299","5","15894"
"M300","5","15932"
"M300_ERP_CORE","4","22819"
"M301","7","7101"
"M301_FINANCIAL_MANAGEMENT","2","1629"
"M30100_CROPPLANNING","2","1637"
"M302","5","15918"
"M303","5","15934"
"M304","5","15910"
"M305","5","15930"
"M306","5","15918"
"M306_HUMAN_RESOURCES","2","1578"
"M307","5","15954"
"M308","5","15938"
"M308_ASSET_MANAGEMENT","4","20637"
"M309","5","15930"
"M309_COST_MANAGEMENT","3","2762"
"M310","5","15938"
"M3100_OFFLINEPAYMENT","2","1651"
"M311","5","15934"
"M312","5","15878"
"M313","5","15890"
"M314","5","15902"
"M315","5","15926"
"M316","5","15922"
"M317","5","15898"
"M317100_AISELFHEALING","2","1514"
"M318","5","15938"
"M319","5","15934"
"M320","5","15910"
"M321","5","15886"
"M322","5","15886"
"M323","5","15894"
"M324","5","15874"
"M325","5","15898"
"M326","5","15910"
"M327","5","15910"
"M328","5","15886"
"M329","5","15898"
"M330","5","15890"
"M331","5","15910"
"M331100_FARMERTRAINING","2","1655"
"M332","5","15918"
"M333","5","15914"
"M333100_RURALFINANCE","2","1639"
"M334","5","15874"
"M335","5","15926"
"M336","5","15914"
"M337","5","15918"
"M338","5","15918"
"M339","5","15890"
"M340","5","15934"
"M341","5","15909"
"M342","5","15926"
"M343","5","15886"
"M344","5","15910"
"M345100_SELLERRANKING","2","1649"
"M353100_CUSTODYEVENT","2","1640"
"M356100_BACKUP","2","1590"
"M356100_ECOMMERCEBUSINESSSALES","2","1722"
"M359100_INSURANCE","4","7866"
"M37100_HOUSEHOLDECONOMY","2","1669"
"M374100_MARKETDATA","2","1623"
"M377100_PRODUCT","2","1597"
"M379100_COLDSTORAGE","2","1632"
"M386100_NUTRITIONINTELLIGENCE","2","1712"
"M386100_SUBSIDY","4","22193"
"M388100_BLOCKCHAINTRACEABILITY","2","1719"
"M388100_SAPMODULEARCHITECTURE","2","1690"
"M39100_RENEWABLEENERGY","3","2847"
"M400_AI_BACKBONE","2","26167"
"M400_AI_CORE","4","15634"
"M401_AI_GATEWAY","5","34614"
"M402_AI_ORCHESTRATION","2","1659"
"M403_AGRICULTURAL_AI","4","12425"
"M404_DECISION_SUPPORT","3","2769"
"M405_PREDICTIVE_ANALYTICS","2","1690"
"M406100_ECOMMERCEINTEGRATION","2","1703"
"M407_CONVERSATIONAL_AI","4","15282"
"M407100_RECOVEREDFINANCE","2","1670"
"M408_KNOWLEDGE_MANAGEMENT","5","17254"
"M409100_ADVANCEDAI","2","1625"
"M410_AI_INTELLIGENCE_FABRIC","2","3928"
"M412100_COMMERCERULES","2","1646"
"M414100_RETURNLOADBOARD","2","1666"
"M415100_SMSAUTH","2","1598"
"M419100_ORDER","2","1580"
"M43100_APICULTURE","2","1619"
"M444100_CROPVALUERESEARCH","2","1681"
"M445100_VILLAGEPROFILE","4","15357"
"M451100_SHELFLIFE","2","1614"
"M454100_ADVANCEDFEATURES","2","1671"
"M455100_AICOPILOT","2","1614"
"M456100_FORM","2","1572"
"M469100_DEFENSEFITNESSPREP","2","1689"
"M472100_AIADVISORY","2","1622"
"M474100_VALUECOMMERCE","2","1646"
"M477100_SOILTESTING","2","1630"
"M477100_VOICEAI","2","1600"
"M48100_BUYINGCLUB","2","1620"
"M49100_WEARABLEINTEGRATION","2","1693"
"M499100_SHEEP","5","22055"
"M501100_IDENTITYMANAGEMENT","4","19517"
"M510100_OCR","2","1572"
"M51100_MARKETACCESS","2","1644"
"M513100_COMPREHENSIVEERP","2","1685"
"M522100_PLATFORMTELEMETRY","2","1686"
"M528100_CIVILDISRUPTION","2","1673"
"M530100_PROCUREMENTSUBSCRIPTION","2","1734"
"M538100_RESOURCECRUDFACTORY","2","1677"
"M543100_RISKPRICING","2","1639"
"M557100_NEPRODUCTINTELLIGENCE","2","1695"
"M559100_KNOWLEDGEGRAPH","2","1662"
"M560100_GEOFENCING","2","1613"
"M569100_COOPERATIVESHARE","2","1679"
"M570100_COMPANY","2","1605"
"M570100_PRESEASONORDER","2","1639"
"M573100_COMPLETEERPINTEGRATION","2","1733"
"M576100_ANALYTICSMONITORING","2","1702"
"M590100_BIODIVERSITY","2","1644"
"M602100_COMMUNITYMANAGEMENT","4","20567"
"M604100_INPUTSUPPLYMANAGEMENT","2","1697"
"M606100_REALTIMEMONITORING","2","1695"
"M61100_VISION","2","1596"
"M615100_LOGISTICS","4","7738"
"M618100_GLUTWARNING","2","1640"
"M62100_EQUIPMENTEXCHANGE","2","1686"
"M629100_MOBILITYRIDES","2","1654"
"M63","6","4217"
"M639100_OMNICHANNELAI","2","1656"
"M639100_WHATSAPP","2","1612"
"M64","6","4217"
"M640100_INSURANCEPOLICYISSUANCE","2","1737"
"M645100_LIBRARYKNOWLEDGE","5","124646"
"M65","6","4217"
"M651100_RESEARCHANDDEVELOPMENT","2","1704"
"M652100_ARVR","2","1582"
"M652100_GOVERNMENTSCHEME","4","21346"
"M652100_TENANTMANAGEMENT","2","1679"
"M657100_MULTILINGUAL","2","1644"
"M663100_SHAREDINFRA","2","1638"
"M664100_MARKETINTELLIGENCE","2","1694"
"M675100_AIAGENTICCOMPANION","2","1697"
"M68100_INDIGENOUSKNOWLEDGE","2","1700"
"M695100_GST","2","1574"
"M697100_ESCROW","2","1597"
"M697100_INSURANCEFRAUDDETECTION","2","1737"
"M699100_AIOPERATIONINTELLIGENCE","2","1586"
"M70100_MERCHANDISING","2","1626"
"M701100_PREVENTIVEMAINTENANCE","2","1695"
"M707100_CATALOGINTELLIGENCE","2","1678"
"M712100_ENGINEERINGPROJECT","2","1696"
"M713100_WIKIPEDIA","2","1596"
"M714100_PRODUCTMEDIAAI","2","1667"
"M722100_FARMER","2","1596"
"M723100_AIBRAIN","2","1749"
"M726100_FORESTRY","2","1613"
"M735100_FOLUBENCHMARK","2","1656"
"M74100_OPERATIONSMANAGEMENT","4","23058"
"M746100_ANALYTICS","4","9438"
"M752100_AIBACKBONE","2","1606"
"M759100_DEMAND","2","1597"
"M763100_ENTERPRISECONTROL","2","1686"
"M764100_V42INTELLIGENCE","2","1670"
"M767100_DPRGENERATION","2","1655"
"M77100_WATERMANAGEMENT","4","16071"
"M771100_COSTCONTROL","4","24527"
"M775100_FARMERFAMILY","2","1497"
"M781100_LANDMANAGEMENT","2","1639"
"M791100_RURALENTERPRISE","2","1670"
"M801100_INSTITUTIONALPROCUREMENT","2","1742"
"M805100_EXPERIENCELAYER","2","1672"
"M807100_ECOMMERCEAI","2","1641"
"M8100_RECIPEINTELLIGENCE","2","1690"
"M82100_GOAT","5","20517"
"M822100_MILLCIRCUIT","2","1638"
"M825100_DIGITALPRODUCTPASSPORT","2","1729"
"M826100_ECOMMERCE","2","1621"
