"File","Lines","Bytes","PlaceholderHits","Classification"
"backend/src/config/productionConfig.js","51","1472","5","HIGH_PLACEHOLDER_DENSITY"
"backend/src/core/ai/aiOrchestratorCore.js","359","12878","2","REVIEW"
"backend/src/core/ai/optimisation.js","373","15472","1","LIKELY_FALSE_POSITIVE_OR_MINOR_TODO"
"backend/src/core/businessCell.js","330","16991","1","LIKELY_FALSE_POSITIVE_OR_MINOR_TODO"
"backend/src/core/moduleRegistry.js","477","14269","1","LIKELY_FALSE_POSITIVE_OR_MINOR_TODO"
"backend/src/core/productionService.js","197","5816","2","REVIEW"
"backend/src/core/serviceAuditAndEnhancement.js","322","10392","3","REVIEW"
"backend/src/database/advanced_pool.js","500","13909","1","LIKELY_FALSE_POSITIVE_OR_MINOR_TODO"
"backend/src/database/form_store.json","68","1545","1","REVIEW"
"backend/src/database/pool.js","2279","99400","4","REVIEW"
"backend/src/database/seed.js","82","2720","1","REVIEW"
"backend/src/middleware/compliance.js","279","8173","5","HIGH_PLACEHOLDER_DENSITY"
"backend/src/middleware/dual-use/mfaMiddleware.js","155","3683","1","LIKELY_FALSE_POSITIVE_OR_MINOR_TODO"
"backend/src/middleware/requestLogger.js","409","10395","1","LIKELY_FALSE_POSITIVE_OR_MINOR_TODO"
"backend/src/modules/M001_PLATFORM_CORE/backend/service.js","647","21534","1","LIKELY_FALSE_POSITIVE_OR_MINOR_TODO"
"backend/src/modules/M010/service.js","476","15429","3","REVIEW"
"backend/src/modules/M020/service.js","443","13102","1","LIKELY_FALSE_POSITIVE_OR_MINOR_TODO"
"backend/src/modules/M031/service.js","243","6991","2","REVIEW"
"backend/src/modules/M032/service.js","243","6987","2","REVIEW"
"backend/src/modules/M033/service.js","243","6987","2","REVIEW"
"backend/src/modules/M034/service.js","243","6989","2","REVIEW"
"backend/src/modules/M035/service.js","243","6987","2","REVIEW"
"backend/src/modules/M036/service.js","243","6994","2","REVIEW"
"backend/src/modules/M037/service.js","243","6988","2","REVIEW"
"backend/src/modules/M038/service.js","243","6989","2","REVIEW"
"backend/src/modules/M039/service.js","243","6985","2","REVIEW"
"backend/src/modules/M040/service.js","243","6992","2","REVIEW"
"backend/src/modules/M042/service.js","243","6985","2","REVIEW"
"backend/src/modules/M043/service.js","243","6997","2","REVIEW"
"backend/src/modules/M044/service.js","243","6988","2","REVIEW"
"backend/src/modules/M045/service.js","243","6987","2","REVIEW"
"backend/src/modules/M046/service.js","243","6988","2","REVIEW"
"backend/src/modules/M047/service.js","243","6992","2","REVIEW"
"backend/src/modules/M048/service.js","243","6988","2","REVIEW"
"backend/src/modules/M049/service.js","243","6986","2","REVIEW"
"backend/src/modules/M050/service.js","243","6987","2","REVIEW"
"backend/src/modules/M051/service.js","243","6989","2","REVIEW"
"backend/src/modules/M052/service.js","243","6991","2","REVIEW"
"backend/src/modules/M053/service.js","243","6993","2","REVIEW"
"backend/src/modules/M054/service.js","243","6988","2","REVIEW"
"backend/src/modules/M055/service.js","243","6988","2","REVIEW"
"backend/src/modules/M056/service.js","243","6994","2","REVIEW"
"backend/src/modules/M057/service.js","243","6985","2","REVIEW"
"backend/src/modules/M058/service.js","243","6992","2","REVIEW"
"backend/src/modules/M059/service.js","243","6990","2","REVIEW"
"backend/src/modules/M060/service.js","243","6990","2","REVIEW"
"backend/src/modules/M061/service.js","243","6994","2","REVIEW"
"backend/src/modules/M062/service.js","243","6983","2","REVIEW"
"backend/src/modules/M063/service.js","243","6985","2","REVIEW"
"backend/src/modules/M064/service.js","243","6985","2","REVIEW"
"backend/src/modules/M065/service.js","243","6984","2","REVIEW"
"backend/src/modules/M066/service.js","243","6990","2","REVIEW"
