"File","Imported","Category","Lines","Bytes","HasRouter","HasExport","Modified"
"adminAuditDomainRoutes.js","True","TOOL_OR_GENERATED","35","1166","True","True","12-09-2026 13:07:13"
"adminRoutes.js","False","ROUTE_CANDIDATE","24","480","True","True","11-09-2026 00:00:30"
"advancedAnalyticsRoutes.js","True","ROUTE_CANDIDATE","39","651","True","True","10-09-2026 23:48:44"
"advancedFeatures.js","True","ROUTE_CANDIDATE","105","3777","True","True","10-09-2026 23:37:07"
"advancedSearchRoutes.js","True","ROUTE_CANDIDATE","39","642","True","True","10-09-2026 23:48:44"
"agriculturalIntelligenceDomainRoutes.js","True","ROUTE_CANDIDATE","38","1702","True","True","12-09-2026 12:07:57"
"agriculturalIntelligenceRoutes.js","True","ROUTE_CANDIDATE","100","3720","True","True","10-09-2026 23:37:07"
"aiAgentDomainRoutes.js","True","ROUTE_CANDIDATE","50","2439","True","True","12-09-2026 12:05:29"
"aiAgentRoutes.js","True","ROUTE_CANDIDATE","39","621","True","True","13-09-2026 07:19:13"
"aiApprovalRoutes.js","True","ROUTE_CANDIDATE","47","1584","True","True","10-09-2026 23:37:07"
"aiBackboneDomainRoutes.js","True","ROUTE_CANDIDATE","32","1009","True","True","12-09-2026 12:45:10"
"aiBackboneRoutes.js","True","ROUTE_CANDIDATE","59","2593","True","True","13-09-2026 07:19:13"
"aiBrainDomainRoutes.js","True","ROUTE_CANDIDATE","57","2293","True","True","12-09-2026 12:06:23"
"aiBrainRoutes.js","True","ROUTE_CANDIDATE","401","9572","True","True","13-09-2026 07:19:13"
"aiCollaborationRoutes.js","True","ROUTE_CANDIDATE","146","5126","True","True","14-09-2026 11:04:21"
"aiDomainAdapterRoutes.js","True","ROUTE_CANDIDATE","39","646","True","True","10-09-2026 23:48:44"
"aiGatewayRoutes.js","True","ROUTE_CANDIDATE","123","4617","True","True","15-09-2026 07:13:19"
"aiImageGenerationEnhancedRoutes.js","True","TOOL_OR_GENERATED","39","668","True","True","10-09-2026 23:48:44"
"aiModelsRoutes.js","True","ROUTE_CANDIDATE","39","624","True","True","10-09-2026 23:48:44"
"aiOperationIntelligenceDomainRoutes.js","True","ROUTE_CANDIDATE","53","2906","True","True","12-09-2026 11:56:19"
"aiOperationIntelligenceRoutes.js","True","ROUTE_CANDIDATE","367","10178","True","True","13-09-2026 07:19:13"
"aiSelfHealingDomainRoutes.js","True","ROUTE_CANDIDATE","51","2506","True","True","12-09-2026 11:57:06"
"aiSelfHealingRoutes.js","True","ROUTE_CANDIDATE","327","8343","True","True","13-09-2026 07:19:13"
"aiTrainingEvaluationRoutes.js","True","ROUTE_CANDIDATE","235","6380","True","True","10-09-2026 23:37:07"
"analyticsReportRoutes.js","True","ROUTE_CANDIDATE","39","645","True","True","10-09-2026 23:48:44"
"analyticsRoutes.js","False","ROUTE_CANDIDATE","24","492","True","True","11-09-2026 00:00:30"
"animalHealthDomainRoutes.js","True","ROUTE_CANDIDATE","53","2581","True","True","12-09-2026 11:53:19"
"animalHealthRoutes.js","True","ROUTE_CANDIDATE","413","13036","True","True","13-09-2026 01:34:28"
"apiCompatibilityRoutes.js","True","ROUTE_CANDIDATE","39","648","True","True","10-09-2026 23:48:44"
"apicultureRoutes.js","True","ROUTE_CANDIDATE","78","2728","True","True","13-09-2026 07:19:14"
"apiDocumentationRoutes.js","False","ROUTE_CANDIDATE","24","513","True","True","11-09-2026 00:00:30"
"apiWarningRoutes.js","True","ROUTE_CANDIDATE","39","630","True","True","10-09-2026 23:48:44"
"ar.js","True","ROUTE_CANDIDATE","21","294","True","True","10-09-2026 23:40:01"
"artificialScientistRoutes.js","True","ROUTE_CANDIDATE","36","2801","True","True","15-09-2026 07:22:21"
"assetAccountingDomainRoutes.js","True","ROUTE_CANDIDATE","40","1993","True","True","12-09-2026 12:11:13"
"assetAccountingRoutes.js","True","ROUTE_CANDIDATE","102","3839","True","True","10-09-2026 23:37:07"
"auditLogRoutes.js","False","TOOL_OR_GENERATED","24","489","True","True","11-09-2026 00:00:30"
"auditRoutes.js","True","TOOL_OR_GENERATED","98","3539","True","True","10-09-2026 23:37:07"
