"System","Root","Files","SourceFiles","LinkageCandidates","SizeGB","ReportFolder"
"EBDESIGN","C:\Users\DIYA GOEL\Downloads\EBDESIGN","23534","22797","1025551","0.28","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.system-audit\EBDESIGN"
"backend","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\confident-satoshi-a53ac8\backend","1375","1373","33614","0.01","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.system-audit\backend"
"frontend","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\confident-satoshi-a53ac8\frontend","825","821","8446","0","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.system-audit\frontend"
"enterprise-audit","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\enterprise-audit","3623","3522","127458","0.03","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.system-audit\enterprise-audit"
"backend","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\enterprise-audit\backend","1736","1728","56486","0.01","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.system-audit\backend"
"local-image-gen","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\enterprise-audit\backend\services\local-image-gen","5","2","74","0","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.system-audit\local-image-gen"
"frontend","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\enterprise-audit\frontend","1103","1054","15241","0","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.system-audit\frontend"
"android","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\enterprise-audit\frontend\android","53","13","31","0","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.system-audit\android"
"app","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\enterprise-audit\frontend\android\app","43","13","31","0","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.system-audit\app"
"src-tauri","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\enterprise-audit\frontend\src-tauri","5","2","12","0","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.system-audit\src-tauri"
"intelligent-sutherland-9f1488","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\intelligent-sutherland-9f1488","3238","3141","122467","0.03","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.system-audit\intelligent-sutherland-9f1488"
"backend","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\intelligent-sutherland-9f1488\backend","1366","1361","52168","0.01","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.system-audit\backend"
"frontend","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\intelligent-sutherland-9f1488\frontend","1091","1042","14858","0","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.system-audit\frontend"
