"System","File","LinkageCandidate"
"android","app\src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java","test"
"android","app\src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java","test"
"android","app\src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java","Test"
"android","app\src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java","test"
"android","app\src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java","http://d.android.com/tools/testing"
"android","app\src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java","Test"
"android","app\src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java","Test"
"android","app\src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java","Test"
"android","app\src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java","test"
"android","app\src\main\AndroidManifest.xml","http://schemas.android.com/apk/res/android"
"android","app\src\main\AndroidManifest.xml","ai"
"android","app\src\main\AndroidManifest.xml","ai"
"android","app\src\main\AndroidManifest.xml","AI"
"android","app\src\main\java\com\ethnoverde\afrera\MainActivity.java","ai"
"android","app\src\main\res\drawable\ic_launcher_background.xml","http://schemas.android.com/apk/res/android"
"android","app\src\main\res\drawable-v24\ic_launcher_foreground.xml","http://schemas.android.com/apk/res/android"
"android","app\src\main\res\drawable-v24\ic_launcher_foreground.xml","http://schemas.android.com/aapt"
"android","app\src\main\res\layout\activity_main.xml","http://schemas.android.com/apk/res/android"
"android","app\src\main\res\layout\activity_main.xml","http://schemas.android.com/apk/res-auto"
"android","app\src\main\res\layout\activity_main.xml","http://schemas.android.com/tools"
"android","app\src\main\res\layout\activity_main.xml","ai"
"android","app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml","http://schemas.android.com/apk/res/android"
"android","app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml","http://schemas.android.com/apk/res/android"
"android","app\src\main\res\values\strings.xml","ai"
"android","app\src\main\res\xml\file_paths.xml","http://schemas.android.com/apk/res/android"
"android","app\src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java","Test"
"android","app\src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java","test"
"android","app\src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java","http://d.android.com/tools/testing"
"android","app\src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java","Test"
"android","app\src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java","Test"
"android","app\src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java","Test"
