"System","Path","Extension","SizeBytes","LastWriteTimeUtc"
"EBDESIGN",".dockerignore",".dockerignore","967","30-08-2026 02:47:46"
"EBDESIGN",".env",".env","3263","05-09-2026 03:08:07"
"EBDESIGN",".env.database.example",".example","534","30-08-2026 02:47:46"
"EBDESIGN",".env.production",".production","1283","30-08-2026 02:47:46"
"EBDESIGN",".gitignore",".gitignore","1032","30-08-2026 02:47:46"
"EBDESIGN",".node-version",".node-version","9","30-08-2026 02:47:46"
"EBDESIGN",".nvmrc",".nvmrc","9","30-08-2026 02:47:46"
"EBDESIGN","ACCESSIBILITY_AUDIT_REPORT.md",".md","4999","03-09-2026 03:10:08"
"EBDESIGN","ACTUAL_RESOLUTION_STATUS.md",".md","4199","03-09-2026 13:11:02"
"EBDESIGN","AFRERA_CLAUDE_BUILD_DIRECTIVE.md",".md","51122","30-08-2026 02:47:46"
"EBDESIGN","afrera_platform_v43.html",".html","1178558","04-09-2026 12:41:31"
"EBDESIGN","AGENT_PROTOCOL.md",".md","6945","04-09-2026 12:41:31"
"EBDESIGN","AI_SERVICES_ANALYSIS.md",".md","3189","01-09-2026 08:26:59"
"EBDESIGN","API_ENDPOINT_MAPPING_MATRIX.md",".md","11464","03-09-2026 13:03:09"
"EBDESIGN","ARCHITECTURAL_DECISION_RECORD.md",".md","34702","01-09-2026 03:18:46"
"EBDESIGN","audit-run-output.txt",".txt","2","04-09-2026 07:57:52"
"EBDESIGN","AUDIT_EXECUTIVE_SUMMARY.md",".md","11791","03-09-2026 13:04:48"
"EBDESIGN","audit_module_inventory.csv",".csv","1735","05-08-2026 12:38:36"
"EBDESIGN","AUTO_DISCOVERY_DEPLOYMENT_STATUS.md",".md","14214","04-09-2026 15:45:47"
"EBDESIGN","AUTO_DISCOVERY_IMPLEMENTATION.md",".md","18837","04-09-2026 15:43:40"
"EBDESIGN","AUTO_DISCOVERY_QUICK_START.md",".md","13415","04-09-2026 15:44:56"
"EBDESIGN","backend-lint-current.json",".json","62","03-09-2026 07:03:42"
"EBDESIGN","CLAUDE.md",".md","14350","04-09-2026 12:41:08"
"EBDESIGN","claude_compatibility_cleaner.bat",".bat","24520","30-08-2026 02:47:51"
"EBDESIGN","CLAUDE_ENHANCEMENT_PROMPT.md",".md","3136","07-08-2026 06:29:24"
"EBDESIGN","claude_protected_integration.bat",".bat","18055","30-08-2026 02:47:51"
"EBDESIGN","COMPLETE_ENHANCEMENT_ROADMAP.md",".md","5493","04-09-2026 14:43:15"
"EBDESIGN","COMPREHENSIVE_PLATFORM_AUDIT.md",".md","13060","03-09-2026 13:02:15"
"EBDESIGN","COMPREHENSIVE_RESOLUTION_PLAN.md",".md","15960","03-09-2026 13:03:41"
"EBDESIGN","CONSOLIDATION_REPORT.md",".md","9419","04-09-2026 12:41:31"
"EBDESIGN","CURRENT_STATE_100_PERCENT_ASSESSMENT.md",".md","10540","01-09-2026 08:19:55"
"EBDESIGN","CURRENT_STATUS.html",".html","23277","04-09-2026 19:11:22"
"EBDESIGN","DATABASE_SCHEMA_AUDIT.md",".md","11917","03-09-2026 13:04:13"
"EBDESIGN","DATABASE_SETUP_GUIDE.md",".md","10854","30-08-2026 02:47:46"
"EBDESIGN","deepak%20final.md",".md","2310183","04-09-2026 12:41:31"
"EBDESIGN","DEVIN_CLAUDE_HANDOFF_CONSOLIDATION_REPORT.md",".md","20415","04-09-2026 12:41:31"
