"PhysicalItemID","PhysicalPath","CurrentPhysicalLocation","VirtualLibraryRoute","OriginalRelativePath","OriginalFileName","FileName","Extension","SizeBytes","CreationTime","LastWriteTime","SHA256","IdentityClass","IdentityVersion","LogicalIdentity","ImplementationIdentity","VariantIdentity","ContentCategory","IdentitySource","IdentityConfidence","Status","Provenance","AccessionBatch","AccessionTimestamp","RoutingStatus","PhysicalMovement"
"EBD-PHY-0000258980",".env.database.example","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.env.database.example","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.env.database.example",".env.database.example",".env.database.example",".env.database.example",".example","511","","","1108812CDCEEDB63FD665A7587CECB0DCD86899E3CD0339CB851A7F905D3169E","PHYSICAL_ARTIFACT","1.0","EBD-PHY-0000258980","EBD-PHY-0000258980","PRIMARY","OTHER","HASH_BACKFILL","100","EXISTING_CONFIRMED","LIBRARY_COMPLETION","20260821_131500","2026-08-21T07:38:27.244Z","VIRTUAL_ONLY","NONE"
"EBD-PHY-0000258981",".env.production","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.env.production","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.env.production",".env.production",".env.production",".env.production",".production","1224","","","B4B9F6BD38954E8ED0DB5BDA02E7A41015E10F7EA64DB65D5B9309F6D037675E","PHYSICAL_ARTIFACT","1.0","EBD-PHY-0000258981","EBD-PHY-0000258981","PRIMARY","OTHER","HASH_BACKFILL","100","EXISTING_CONFIRMED","LIBRARY_COMPLETION","20260821_131500","2026-08-21T07:38:27.244Z","VIRTUAL_ONLY","NONE"
"EBD-PHY-0000260043",".gitignore","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.gitignore","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.gitignore",".gitignore",".gitignore",".gitignore",".gitignore","291","","","A1FAEF07F4F6A6AEF1D5FB967293A3A4A51E5ED63BC25AC0C93CACBB7D892EC6","PHYSICAL_ARTIFACT","1.0","EBD-PHY-0000260043","EBD-PHY-0000260043","PRIMARY","OTHER","HASH_BACKFILL","100","EXISTING_CONFIRMED","LIBRARY_COMPLETION","20260821_131500","2026-08-21T07:38:27.244Z","VIRTUAL_ONLY","NONE"
"EBD-PHY-0000260044",".node-version","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.node-version","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.node-version",".node-version",".node-version",".node-version",".node-version","8","","","3BF5F8A21B647F346B9382086362641687F09BADD2AFB450EA1D144B671090F5","PHYSICAL_ARTIFACT","1.0","EBD-PHY-0000260044","EBD-PHY-0000260044","PRIMARY","OTHER","HASH_BACKFILL","100","EXISTING_CONFIRMED","LIBRARY_COMPLETION","20260821_131500","2026-08-21T07:38:27.244Z","VIRTUAL_ONLY","NONE"
"EBD-PHY-0000260045",".nvmrc","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.nvmrc","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.nvmrc",".nvmrc",".nvmrc",".nvmrc",".nvmrc","8","","","3BF5F8A21B647F346B9382086362641687F09BADD2AFB450EA1D144B671090F5","PHYSICAL_ARTIFACT","1.0","EBD-PHY-0000260045","EBD-PHY-0000260045","PRIMARY","OTHER","HASH_BACKFILL","100","EXISTING_CONFIRMED","LIBRARY_COMPLETION","20260821_131500","2026-08-21T07:38:27.244Z","VIRTUAL_ONLY","NONE"
"EBD-PHY-0000260604","ACCOUNTING_MODULE_FRAMEWORK_SPECIFICATION.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\ACCOUNTING_MODULE_FRAMEWORK_SPECIFICATION.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\ACCOUNTING_MODULE_FRAMEWORK_SPECIFICATION.md","ACCOUNTING_MODULE_FRAMEWORK_SPECIFICATION.md","ACCOUNTING_MODULE_FRAMEWORK_SPECIFICATION.md","ACCOUNTING_MODULE_FRAMEWORK_SPECIFICATION.md",".md","19919","","","FFEC26BB759ABB103D6A75C21FF4ED98FC1BEABD39DAE2A31E72620EA2C50745","PHYSICAL_ARTIFACT","1.0","EBD-PHY-0000260604","EBD-PHY-0000260604","PRIMARY","OTHER","HASH_BACKFILL","100","EXISTING_CONFIRMED","LIBRARY_COMPLETION","20260821_131500","2026-08-21T07:38:27.244Z","VIRTUAL_ONLY","NONE"
"EBD-PHY-0000260605","ADMIN_MODULE_SPECIFICATION.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\ADMIN_MODULE_SPECIFICATION.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\ADMIN_MODULE_SPECIFICATION.md","ADMIN_MODULE_SPECIFICATION.md","ADMIN_MODULE_SPECIFICATION.md","ADMIN_MODULE_SPECIFICATION.md",".md","34602","","","D205B198377FA2882FA8BA3EFF11105BACA49D4E496B70E9FDD491680AD1B64E","PHYSICAL_ARTIFACT","1.0","EBD-PHY-0000260605","EBD-PHY-0000260605","PRIMARY","OTHER","HASH_BACKFILL","100","EXISTING_CONFIRMED","LIBRARY_COMPLETION","20260821_131500","2026-08-21T07:38:27.244Z","VIRTUAL_ONLY","NONE"
"EBD-PHY-0000260606","ADVANCED_AI_ERP_MODULES_RESEARCH.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\ADVANCED_AI_ERP_MODULES_RESEARCH.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\ADVANCED_AI_ERP_MODULES_RESEARCH.md","ADVANCED_AI_ERP_MODULES_RESEARCH.md","ADVANCED_AI_ERP_MODULES_RESEARCH.md","ADVANCED_AI_ERP_MODULES_RESEARCH.md",".md","46344","","","0B3ACFA223DE11B64DD7ABEEFC147B1C16CBC4CF49CF04A0AC15CD858D917399","PHYSICAL_ARTIFACT","1.0","EBD-PHY-0000260606","EBD-PHY-0000260606","PRIMARY","OTHER","HASH_BACKFILL","100","EXISTING_CONFIRMED","LIBRARY_COMPLETION","20260821_131500","2026-08-21T07:38:27.244Z","VIRTUAL_ONLY","NONE"
"EBD-PHY-0000260607","AEROPONICS_MANAGEMENT_MODULE_IMPLEMENTATION.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\AEROPONICS_MANAGEMENT_MODULE_IMPLEMENTATION.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\AEROPONICS_MANAGEMENT_MODULE_IMPLEMENTATION.md","AEROPONICS_MANAGEMENT_MODULE_IMPLEMENTATION.md","AEROPONICS_MANAGEMENT_MODULE_IMPLEMENTATION.md","AEROPONICS_MANAGEMENT_MODULE_IMPLEMENTATION.md",".md","7673","","","3BACEE2D224AD07C76AFD5B2355C2C4B0F29131C61865E1622B9F94327E79244","PHYSICAL_ARTIFACT","1.0","EBD-PHY-0000260607","EBD-PHY-0000260607","PRIMARY","OTHER","HASH_BACKFILL","100","EXISTING_CONFIRMED","LIBRARY_COMPLETION","20260821_131500","2026-08-21T07:38:27.244Z","VIRTUAL_ONLY","NONE"
"EBD-PHY-0000260639","AFRERA_ARCHITECTURE_COMPILATION_SUMMARY.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\AFRERA_ARCHITECTURE_COMPILATION_SUMMARY.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\AFRERA_ARCHITECTURE_COMPILATION_SUMMARY.md","AFRERA_ARCHITECTURE_COMPILATION_SUMMARY.md","AFRERA_ARCHITECTURE_COMPILATION_SUMMARY.md","AFRERA_ARCHITECTURE_COMPILATION_SUMMARY.md",".md","30254","","","72BB0ED9F45F68C0074F800723AF5D3044748FB8D2CCAD3D2BB7C27B686E2AC5","PHYSICAL_ARTIFACT","1.0","EBD-PHY-0000260639","EBD-PHY-0000260639","PRIMARY","OTHER","HASH_BACKFILL","100","EXISTING_CONFIRMED","LIBRARY_COMPLETION","20260821_131500","2026-08-21T07:38:27.244Z","VIRTUAL_ONLY","NONE"
