"Schema","TableName","QualifiedName","SourceFile","SourceRelativePath"
"public","a11y_conformance","public.a11y_conformance","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\060_experience_layer_dxp.sql","backend\src\database\migrations\060_experience_layer_dxp.sql"
"public","abc_allocations","public.abc_allocations","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\migrations\1000_energy_food_erp_modules.sql","backend\migrations\1000_energy_food_erp_modules.sql"
"public","above","public.above","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\013_logistics_enhancements.sql","backend\src\database\migrations\013_logistics_enhancements.sql"
"public","above","public.above","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\014_audit_system.sql","backend\src\database\migrations\014_audit_system.sql"
"public","above","public.above","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\017_ar_vr_schema.sql","backend\src\database\migrations\017_ar_vr_schema.sql"
"public","above","public.above","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\019_blockchain_traceability_schema.sql","backend\src\database\migrations\019_blockchain_traceability_schema.sql"
"public","above","public.above","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\030_institutional_procurement_schema.sql","backend\src\database\migrations\030_institutional_procurement_schema.sql"
"public","above","public.above","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\030_institutional_procurement_schema.sql","backend\src\database\migrations\030_institutional_procurement_schema.sql"
"public","above","public.above","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\031_iot_integration_schema.sql","backend\src\database\migrations\031_iot_integration_schema.sql"
"public","above","public.above","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\034_logistics_enhancement_schema.sql","backend\src\database\migrations\034_logistics_enhancement_schema.sql"
"public","above","public.above","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\034_logistics_enhancement_schema.sql","backend\src\database\migrations\034_logistics_enhancement_schema.sql"
"public","above","public.above","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\034_logistics_enhancement_schema.sql","backend\src\database\migrations\034_logistics_enhancement_schema.sql"
"public","above","public.above","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\034_logistics_enhancement_schema.sql","backend\src\database\migrations\034_logistics_enhancement_schema.sql"
"public","above","public.above","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\034_logistics_enhancement_schema.sql","backend\src\database\migrations\034_logistics_enhancement_schema.sql"
"public","above","public.above","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\034_logistics_enhancement_schema.sql","backend\src\database\migrations\034_logistics_enhancement_schema.sql"
"public","above","public.above","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\036_nutrition_intelligence_schema.sql","backend\src\database\migrations\036_nutrition_intelligence_schema.sql"
"public","above","public.above","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\045_voice_ai_schema.sql","backend\src\database\migrations\045_voice_ai_schema.sql"
"public","accessibility_modes","public.accessibility_modes","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\992_v42_recovered_intelligence.sql","backend\src\database\migrations\992_v42_recovered_intelligence.sql"
"public","ad_placements","public.ad_placements","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\3102_ecommerce_ai_erp_business_marketing.sql","backend\src\database\migrations\3102_ecommerce_ai_erp_business_marketing.sql"
"public","addresses","public.addresses","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\000_base_schema.sql","backend\src\database\migrations\000_base_schema.sql"
"public","addresses","public.addresses","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\schema.sql","backend\src\database\schema.sql"
"public","admin_settings","public.admin_settings","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\1002_system_administration.sql","backend\src\database\migrations\1002_system_administration.sql"
"public","advances","public.advances","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\000_base_schema.sql","backend\src\database\migrations\000_base_schema.sql"
"public","advances","public.advances","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\schema.sql","backend\src\database\schema.sql"
"public","advisory_attachments","public.advisory_attachments","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\041_rural_life_os_schema.sql","backend\src\database\migrations\041_rural_life_os_schema.sql"
"public","advisory_attachments","public.advisory_attachments","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\rural_life_os_schema.sql","backend\src\database\rural_life_os_schema.sql"
"public","affiliate_partners","public.affiliate_partners","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\056_named_missing_modules.sql","backend\src\database\migrations\056_named_missing_modules.sql"
"public","agri_input_issues","public.agri_input_issues","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\056_named_missing_modules.sql","backend\src\database\migrations\056_named_missing_modules.sql"
"public","agromet_advisories","public.agromet_advisories","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\057_climate_weather_d14.sql","backend\src\database\migrations\057_climate_weather_d14.sql"
"public","agronomist_m031_items","public.agronomist_m031_items","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\3000_M031_generated.sql","backend\src\database\migrations\3000_M031_generated.sql"
"public","agronomist_m032_items","public.agronomist_m032_items","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\3000_M032_generated.sql","backend\src\database\migrations\3000_M032_generated.sql"
"public","agronomist_m033_items","public.agronomist_m033_items","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\3000_M033_generated.sql","backend\src\database\migrations\3000_M033_generated.sql"
"public","agronomist_m036_items","public.agronomist_m036_items","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\3000_M036_generated.sql","backend\src\database\migrations\3000_M036_generated.sql"
"public","agronomist_m040_items","public.agronomist_m040_items","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\3000_M040_generated.sql","backend\src\database\migrations\3000_M040_generated.sql"
"public","agronomist_m071_items","public.agronomist_m071_items","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\3000_M071_generated.sql","backend\src\database\migrations\3000_M071_generated.sql"
"public","agronomist_m072_items","public.agronomist_m072_items","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\3000_M072_generated.sql","backend\src\database\migrations\3000_M072_generated.sql"
"public","agronomist_m073_items","public.agronomist_m073_items","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\3000_M073_generated.sql","backend\src\database\migrations\3000_M073_generated.sql"
"public","ai_advisories","public.ai_advisories","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\041_rural_life_os_schema.sql","backend\src\database\migrations\041_rural_life_os_schema.sql"
"public","ai_advisories","public.ai_advisories","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\rural_life_os_schema.sql","backend\src\database\rural_life_os_schema.sql"
"public","ai_agent_scorecard","public.ai_agent_scorecard","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\990_ai_outcomes.sql","backend\src\database\migrations\990_ai_outcomes.sql"
"public","ai_analysis_results","public.ai_analysis_results","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\engineering_schema.sql","backend\src\database\engineering_schema.sql"
"public","ai_analysis_results","public.ai_analysis_results","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\023_engineering_schema.sql","backend\src\database\migrations\023_engineering_schema.sql"
"public","ai_invocations","public.ai_invocations","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\058_sam_ai_orchestration.sql","backend\src\database\migrations\058_sam_ai_orchestration.sql"
"public","ai_model_registry","public.ai_model_registry","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\058_sam_ai_orchestration.sql","backend\src\database\migrations\058_sam_ai_orchestration.sql"
"public","ai_models","public.ai_models","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\conversational_ai_schema.sql","backend\src\database\conversational_ai_schema.sql"
"public","ai_models","public.ai_models","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\021_conversational_ai_schema.sql","backend\src\database\migrations\021_conversational_ai_schema.sql"
"public","ai_outcomes","public.ai_outcomes","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\990_ai_outcomes.sql","backend\src\database\migrations\990_ai_outcomes.sql"
"public","ai_prediction_log","public.ai_prediction_log","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\990_ai_outcomes.sql","backend\src\database\migrations\990_ai_outcomes.sql"
"public","ai_predictions","public.ai_predictions","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\000_base_schema.sql","backend\src\database\migrations\000_base_schema.sql"
"public","ai_predictions","public.ai_predictions","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\schema.sql","backend\src\database\schema.sql"
"public","ai_proposals","public.ai_proposals","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\995_erp_process_layer.sql","backend\src\database\migrations\995_erp_process_layer.sql"
"public","ai_recommendations","public.ai_recommendations","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\015_advanced_features.sql","backend\src\database\migrations\015_advanced_features.sql"
"public","ai_resolution_rules","public.ai_resolution_rules","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\990_ai_outcomes.sql","backend\src\database\migrations\990_ai_outcomes.sql"
"public","ai_routing_rules","public.ai_routing_rules","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\058_sam_ai_orchestration.sql","backend\src\database\migrations\058_sam_ai_orchestration.sql"
"public","alert_escalations","public.alert_escalations","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M087\model.sql","backend\src\modules\M087\model.sql"
"public","alert_history","public.alert_history","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M086\model.sql","backend\src\modules\M086\model.sql"
"public","alert_history","public.alert_history","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M087\model.sql","backend\src\modules\M087\model.sql"
"public","alert_incidents","public.alert_incidents","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M087\model.sql","backend\src\modules\M087\model.sql"
"public","alert_maintenance_windows","public.alert_maintenance_windows","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M087\model.sql","backend\src\modules\M087\model.sql"
"public","alert_notifications","public.alert_notifications","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M087\model.sql","backend\src\modules\M087\model.sql"
"public","alert_rules","public.alert_rules","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M087\model.sql","backend\src\modules\M087\model.sql"
"public","alert_statistics","public.alert_statistics","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M087\model.sql","backend\src\modules\M087\model.sql"
"public","alert_suppressions","public.alert_suppressions","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M087\model.sql","backend\src\modules\M087\model.sql"
"public","allergen_alert_config","public.allergen_alert_config","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\3101_ecommerce_integration_tables.sql","backend\src\database\migrations\3101_ecommerce_integration_tables.sql"
"public","analytics_events","public.analytics_events","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\000_base_schema.sql","backend\src\database\migrations\000_base_schema.sql"
"public","analytics_events","public.analytics_events","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\schema.sql","backend\src\database\schema.sql"
"public","and","public.and","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\041_rural_life_os_schema.sql","backend\src\database\migrations\041_rural_life_os_schema.sql"
"public","and","public.and","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\041_rural_life_os_schema.sql","backend\src\database\migrations\041_rural_life_os_schema.sql"
"public","android_ai_integration","public.android_ai_integration","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\037_omnichannel_ai_schema.sql","backend\src\database\migrations\037_omnichannel_ai_schema.sql"
"public","android_ai_integration","public.android_ai_integration","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\omnichannel_ai_schema.sql","backend\src\database\omnichannel_ai_schema.sql"
"public","android_push_notifications","public.android_push_notifications","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\037_omnichannel_ai_schema.sql","backend\src\database\migrations\037_omnichannel_ai_schema.sql"
"public","android_push_notifications","public.android_push_notifications","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\omnichannel_ai_schema.sql","backend\src\database\omnichannel_ai_schema.sql"
"public","animal_health_examinations","public.animal_health_examinations","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\071_animal_health_schema.sql","backend\src\database\migrations\071_animal_health_schema.sql"
"public","animal_health_records","public.animal_health_records","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M127\model.sql","backend\src\modules\M127\model.sql"
"public","animal_registry","public.animal_registry","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M127\model.sql","backend\src\modules\M127\model.sql"
"public","animal_treatments","public.animal_treatments","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\071_animal_health_schema.sql","backend\src\database\migrations\071_animal_health_schema.sql"
"public","anomaly_detection","public.anomaly_detection","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\039_predictive_analytics_schema.sql","backend\src\database\migrations\039_predictive_analytics_schema.sql"
"public","anomaly_detection","public.anomaly_detection","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\predictive_analytics_schema.sql","backend\src\database\predictive_analytics_schema.sql"
"public","ap_invoices","public.ap_invoices","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\996_enterprise_foundation.sql","backend\src\database\migrations\996_enterprise_foundation.sql"
"public","ar_invoices","public.ar_invoices","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\996_enterprise_foundation.sql","backend\src\database\migrations\996_enterprise_foundation.sql"
"public","ar_vr_analytics","public.ar_vr_analytics","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\ar_vr_schema.sql","backend\src\database\ar_vr_schema.sql"
"public","ar_vr_analytics","public.ar_vr_analytics","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\017_ar_vr_schema.sql","backend\src\database\migrations\017_ar_vr_schema.sql"
"public","ar_vr_assets","public.ar_vr_assets","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\ar_vr_schema.sql","backend\src\database\ar_vr_schema.sql"
"public","ar_vr_assets","public.ar_vr_assets","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\017_ar_vr_schema.sql","backend\src\database\migrations\017_ar_vr_schema.sql"
"public","ar_vr_experiences","public.ar_vr_experiences","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\ar_vr_schema.sql","backend\src\database\ar_vr_schema.sql"
"public","ar_vr_experiences","public.ar_vr_experiences","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\015_advanced_features.sql","backend\src\database\migrations\015_advanced_features.sql"
"public","ar_vr_experiences","public.ar_vr_experiences","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\017_ar_vr_schema.sql","backend\src\database\migrations\017_ar_vr_schema.sql"
"public","ar_vr_sessions","public.ar_vr_sessions","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\ar_vr_schema.sql","backend\src\database\ar_vr_schema.sql"
"public","ar_vr_sessions","public.ar_vr_sessions","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\017_ar_vr_schema.sql","backend\src\database\migrations\017_ar_vr_schema.sql"
"public","arp_basis_observations","public.arp_basis_observations","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\051_arp_forward_pricing.sql","backend\src\database\migrations\051_arp_forward_pricing.sql"
"public","arp_commit_advice","public.arp_commit_advice","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\051_arp_forward_pricing.sql","backend\src\database\migrations\051_arp_forward_pricing.sql"
"public","arp_crop_parameters","public.arp_crop_parameters","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\051_arp_forward_pricing.sql","backend\src\database\migrations\051_arp_forward_pricing.sql"
"public","arp_district_calibration","public.arp_district_calibration","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\database\migrations\051_arp_forward_pricing.sql","backend\src\database\migrations\051_arp_forward_pricing.sql"
