"RelativePath","FullPath","Name","Extension","Directory","SizeBytes","SizeKB","LastWrite"
".ai\20_PHASE_EXECUTION_PLAN.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\20_PHASE_EXECUTION_PLAN.md","20_PHASE_EXECUTION_PLAN.md",".md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai","5178","5.06","03-09-2026 09:11:30"
".ai\6REPO_COMPARISON_MATRIX.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\6REPO_COMPARISON_MATRIX.md","6REPO_COMPARISON_MATRIX.md",".md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai","6546","6.39","04-09-2026 18:11:31"
".ai\ACTUAL_IMPLEMENTATION_VERIFICATION.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\ACTUAL_IMPLEMENTATION_VERIFICATION.md","ACTUAL_IMPLEMENTATION_VERIFICATION.md",".md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai","11463","11.19","03-09-2026 13:50:37"
".ai\AGENT_PROTOCOL.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\AGENT_PROTOCOL.md","AGENT_PROTOCOL.md",".md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai","7189","7.02","04-09-2026 18:11:31"
".ai\architecture\AI_BACKBONE_COMPONENT_MAPPING.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\architecture\AI_BACKBONE_COMPONENT_MAPPING.md","AI_BACKBONE_COMPONENT_MAPPING.md",".md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\architecture","14760","14.41","04-09-2026 18:11:31"
".ai\architecture\AI_BACKBONE_INTEGRATION_PLAN.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\architecture\AI_BACKBONE_INTEGRATION_PLAN.md","AI_BACKBONE_INTEGRATION_PLAN.md",".md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\architecture","25751","25.15","04-09-2026 18:11:31"
".ai\architecture\AI_BACKBONE_RECONSTRUCTION.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\architecture\AI_BACKBONE_RECONSTRUCTION.md","AI_BACKBONE_RECONSTRUCTION.md",".md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\architecture","20530","20.05","04-09-2026 18:11:31"
".ai\architecture\AI_COLLABORATION_ARCHITECTURE.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\architecture\AI_COLLABORATION_ARCHITECTURE.md","AI_COLLABORATION_ARCHITECTURE.md",".md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\architecture","11684","11.41","04-09-2026 18:11:31"
".ai\architecture\AI_INTEGRATION_COMPLETION_REPORT.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\architecture\AI_INTEGRATION_COMPLETION_REPORT.md","AI_INTEGRATION_COMPLETION_REPORT.md",".md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\architecture","17315","16.91","04-09-2026 18:11:31"
".ai\architecture\AI_OLD_FILES_INTEGRATION.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\architecture\AI_OLD_FILES_INTEGRATION.md","AI_OLD_FILES_INTEGRATION.md",".md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\architecture","29132","28.45","04-09-2026 18:11:31"
".ai\architecture\BACKEND_ARCHITECTURE.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\architecture\BACKEND_ARCHITECTURE.md","BACKEND_ARCHITECTURE.md",".md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\architecture","9587","9.36","04-09-2026 18:11:31"
".ai\architecture\CLAUDE_AI_CONVERSION_COMPLETION_REPORT.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\architecture\CLAUDE_AI_CONVERSION_COMPLETION_REPORT.md","CLAUDE_AI_CONVERSION_COMPLETION_REPORT.md",".md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\architecture","12511","12.22","04-09-2026 18:11:31"
".ai\architecture\CLAUDE_AI_CONVERSION_GUIDELINES.md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\architecture\CLAUDE_AI_CONVERSION_GUIDELINES.md","CLAUDE_AI_CONVERSION_GUIDELINES.md",".md","C:\Users\DIYA GOEL\Downloads\EBDESIGN\.ai\architecture","20784","20.3","04-09-2026 18:11:31"
