"File","Type","Severity","Evidence","Lines","SizeBytes"
".claude\worktrees\confident-satoshi-a53ac8\backend\scripts\analyzeWiring.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","32","1633"
".claude\worktrees\confident-satoshi-a53ac8\backend\scripts\generate-openapi.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","145","5874"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\cache\redis.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","270","6175"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\core\businessCell.js","PLACEHOLDER;CONSTANT_RETURN;EMPTY_BLOCK","HIGH","PLACEHOLDER | CONSTANT_RETURN | EMPTY_BLOCK","318","16508"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\core\decisionEngine.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","360","14909"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\core\erpAgents.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","826","34608"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\core\outcomeSink.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","198","7460"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\core\signalBus.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","240","8397"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\connection.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","223","6665"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\016_advanced_ponds_iot.sql","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","221","9944"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\035_multilingual_schema.sql","PLACEHOLDER","HIGH","PLACEHOLDER","317","14210"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\036_nutrition_intelligence_schema.sql","PLACEHOLDER","HIGH","PLACEHOLDER","336","14690"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\060_experience_layer_dxp.sql","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","426","19771"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\067_poultry_management_schema.sql","PLACEHOLDER","HIGH","PLACEHOLDER","93","4187"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\068_goat_farming_schema.sql","PLACEHOLDER","HIGH","PLACEHOLDER","96","4230"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\069_sheep_farming_schema.sql","PLACEHOLDER","HIGH","PLACEHOLDER","101","4390"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\070_pig_farming_schema.sql","PLACEHOLDER","HIGH","PLACEHOLDER","96","4193"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\3106_fpo_member_shares_schema.sql","NOT_IMPLEMENTED;NOT_IMPLEMENTED_TEXT","HIGH","NOT_IMPLEMENTED | NOT_IMPLEMENTED_TEXT","104","6582"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\9997_geofencing.sql","PLACEHOLDER","HIGH","PLACEHOLDER","70","4315"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\9999_erp_foundation_seed.sql","PLACEHOLDER","HIGH","PLACEHOLDER","127","7293"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\multilingual_schema.sql","PLACEHOLDER","HIGH","PLACEHOLDER","309","13408"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\nutrition_intelligence_schema.sql","PLACEHOLDER","HIGH","PLACEHOLDER","312","12889"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\pool.js","PLACEHOLDER;CONSTANT_RETURN;EMPTY_BLOCK","HIGH","PLACEHOLDER | CONSTANT_RETURN | EMPTY_BLOCK","2340","103154"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\seed.js","PLACEHOLDER","HIGH","PLACEHOLDER","82","2715"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\index.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","982","46285"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\middleware\security.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","298","7867"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M001\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","89"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M002\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","98"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M003\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","93"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M004\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","99"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M005\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","98"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M006\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","97"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M007\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","99"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M008\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","99"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M009\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M010\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M011\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","91"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M011\service.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","100","3578"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M014\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","91"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M016\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","90"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M018\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","92"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M019\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","94"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M020\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","94"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M034\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","90"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M035\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","92"
