"Path","Name","Type","Extension","SizeBytes"
".ai\architecture\SERVICE_ENHANCEMENT_CONNECTIVITY_REPORT.md","SERVICE_ENHANCEMENT_CONNECTIVITY_REPORT.md","service",".md","26729"
".ai\audit\BACKEND_API_UI_PARITY_AUDIT.md","BACKEND_API_UI_PARITY_AUDIT.md","api",".md","14208"
".ai\audit\SERVICE_INVENTORY.txt","SERVICE_INVENTORY.txt","service",".txt","21303"
".ai\audits\API_CONTRACT_DRIFT_BLOCKERS.md","API_CONTRACT_DRIFT_BLOCKERS.md","api",".md","1666"
".ai\design\BACKEND_SERVICES_AUDIT.md","BACKEND_SERVICES_AUDIT.md","services",".md","17004"
".ai\design\EXTENDED_SERVICES_QUEUE.md","EXTENDED_SERVICES_QUEUE.md","services;queue",".md","18125"
".ai\design\SKELETON_SERVICES_IMPLEMENTATION_GUIDE.md","SKELETON_SERVICES_IMPLEMENTATION_GUIDE.md","services",".md","13748"
".ai\specs\API-001.md","API-001.md","api",".md","3668"
".ai\specs\API-002.md","API-002.md","api",".md","3864"
".ai\specs\API-003.md","API-003.md","api",".md","5839"
".ai\specs\API-004.md","API-004.md","api",".md","5890"
".ai\specs\API-005.md","API-005.md","api",".md","4535"
".ai\specs\API-006.md","API-006.md","api",".md","6800"
".ai\specs\API-007.md","API-007.md","api",".md","5258"
".ai\specs\API-008.md","API-008.md","api",".md","4958"
".ai\specs\API-009.md","API-009.md","api",".md","5980"
".ai\specs\API-010.md","API-010.md","api",".md","5060"
".ai\specs\API-011.md","API-011.md","api",".md","4748"
".ai\specs\API-012.md","API-012.md","api",".md","6502"
".ai\specs\API-013.md","API-013.md","api",".md","6509"
".ai\specs\API-014.md","API-014.md","api",".md","5400"
".ai\specs\API-015.md","API-015.md","api",".md","5405"
".ai\specs\API-016.md","API-016.md","api",".md","6495"
".ai\specs\API-017.md","API-017.md","api",".md","7183"
".ai\specs\API-018.md","API-018.md","api",".md","4685"
".ai\specs\API-019.md","API-019.md","api",".md","5172"
".ai\specs\API-020.md","API-020.md","api",".md","6204"
".ai\specs\API-021.md","API-021.md","api",".md","4880"
".ai\specs\API-022.md","API-022.md","api",".md","4343"
".ai\specs\API-023.md","API-023.md","api",".md","5329"
".ai\specs\API-024.md","API-024.md","api",".md","5212"
".ai\specs\API-025.md","API-025.md","api",".md","6000"
".ai\specs\API-026.md","API-026.md","api",".md","5461"
".ai\specs\API-027.md","API-027.md","api",".md","6178"
".ai\specs\API-028.md","API-028.md","api",".md","6046"
".ai\specs\API-029.md","API-029.md","api",".md","5648"
".ai\specs\API-030.md","API-030.md","api",".md","7001"
".ai\specs\API-031.md","API-031.md","api",".md","5843"
".ai\specs\API-032.md","API-032.md","api",".md","6557"
".ai\specs\API-033.md","API-033.md","api",".md","7313"
".ai\specs\API-034.md","API-034.md","api",".md","5590"
".ai\specs\API-035.md","API-035.md","api",".md","5838"
".ai\specs\API-036.md","API-036.md","api",".md","5948"
".ai\specs\API-037.md","API-037.md","api",".md","5997"
".ai\specs\API-038.md","API-038.md","api",".md","6742"
".ai\specs\API-039.md","API-039.md","api",".md","5723"
".ai\specs\API-040.md","API-040.md","api",".md","5207"
".ai\specs\API-041.md","API-041.md","api",".md","6025"
".ai\specs\API-042.md","API-042.md","api",".md","4598"
".ai\specs\API-043.md","API-043.md","api",".md","4276"
".ai\specs\API-044.md","API-044.md","api",".md","4519"
".ai\specs\API-045.md","API-045.md","api",".md","4141"
".ai\specs\API-046.md","API-046.md","api",".md","5299"
".ai\specs\API-047.md","API-047.md","api",".md","4593"
".ai\specs\API-048.md","API-048.md","api",".md","5574"
".ai\specs\API-049.md","API-049.md","api",".md","5295"
".ai\specs\API-050.md","API-050.md","api",".md","6320"
".ai\specs\API-051.md","API-051.md","api",".md","4429"
".ai\specs\API-052.md","API-052.md","api",".md","5388"
".ai\specs\API-053.md","API-053.md","api",".md","4609"
".ai\specs\API-054.md","API-054.md","api",".md","6244"
".ai\specs\API-055.md","API-055.md","api",".md","5633"
".ai\specs\API-056.md","API-056.md","api",".md","5078"
".ai\specs\API-057.md","API-057.md","api",".md","5487"
".ai\specs\API-058.md","API-058.md","api",".md","5661"
".ai\specs\API-059.md","API-059.md","api",".md","5141"
".ai\specs\API-060.md","API-060.md","api",".md","6617"
".claude\agents\api-tester.md","api-tester.md","api",".md","522"
".claude\audits\AUDIT_API.md","AUDIT_API.md","api",".md","23617"
".claude\worktrees\confident-satoshi-a53ac8\.claude\agents\api-tester.md","api-tester.md","api",".md","548"
".claude\worktrees\confident-satoshi-a53ac8\.vibecheck\sync-queue.json","sync-queue.json","queue",".json","82"
".claude\worktrees\confident-satoshi-a53ac8\afrera\afrera-api\README.md","README.md","api",".md","2694"
".claude\worktrees\confident-satoshi-a53ac8\afrera\afrera-api\src","src","api","","502"
".claude\worktrees\confident-satoshi-a53ac8\AFRERA_FINANCIAL_SERVICES_PLATFORM_SPECIFICATION.md","AFRERA_FINANCIAL_SERVICES_PLATFORM_SPECIFICATION.md","services",".md","42662"
".claude\worktrees\confident-satoshi-a53ac8\backend\generate_service_mapping.js","generate_service_mapping.js","service",".js","1489"
".claude\worktrees\confident-satoshi-a53ac8\backend\service_route_mapping.json","service_route_mapping.json","service",".json","52387"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\consumer_health_schema.sql","consumer_health_schema.sql","consumer",".sql","9443"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\015_authorization_service.sql","015_authorization_service.sql","service",".sql","10183"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\020_consumer_health_schema.sql","020_consumer_health_schema.sql","consumer",".sql","10258"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\middleware\admin.js","admin.js","middleware",".js","799"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\middleware\auth.js","auth.js","middleware",".js","5344"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\middleware\compliance.js","compliance.js","middleware",".js","5651"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\middleware\errorHandler.js","errorHandler.js","middleware",".js","3834"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\middleware\rateLimiter.js","rateLimiter.js","middleware",".js","2994"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\middleware\resolveFarmerId.js","resolveFarmerId.js","middleware",".js","1477"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\middleware\security.js","security.js","middleware",".js","7867"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M001\controller.js","controller.js","controller",".js","109"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M001\service.js","service.js","service",".js","107"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M002\controller.js","controller.js","controller",".js","118"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M002\service.js","service.js","service",".js","116"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M003\controller.js","controller.js","controller",".js","113"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M003\service.js","service.js","service",".js","111"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M004\controller.js","controller.js","controller",".js","119"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M004\service.js","service.js","service",".js","117"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M005\controller.js","controller.js","controller",".js","118"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M005\service.js","service.js","service",".js","116"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M006\controller.js","controller.js","controller",".js","1743"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M006\service.js","service.js","service",".js","115"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M007\controller.js","controller.js","controller",".js","119"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M007\service.js","service.js","service",".js","117"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M008\controller.js","controller.js","controller",".js","119"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M008\service.js","service.js","service",".js","117"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M009\controller.js","controller.js","controller",".js","116"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M009\service.js","service.js","service",".js","114"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M010\controller.js","controller.js","controller",".js","116"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M010\service.js","service.js","service",".js","114"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M011\controller.js","controller.js","controller",".js","2617"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M011\service.js","service.js","service",".js","3578"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M012\controller.js","controller.js","controller",".js","1745"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M012\service.js","service.js","service",".js","1738"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M013\controller.js","controller.js","controller",".js","1745"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M013\service.js","service.js","service",".js","1738"
