"File","Type","SizeBytes","Lines","ContainsExpress","ContainsReact","ContainsPostgreSQL","ContainsMongoDB","ContainsRedis","ContainsRabbitMQ","ContainsElasticsearch","ContainsGraphQL","ContainsSocketIO","ContainsJWT"
".claude\worktrees\confident-satoshi-a53ac8\backend\package-lock.json","package-lock.json","537515","14103","True","True","True","True","True","True","True","True","True","True"
".claude\worktrees\confident-satoshi-a53ac8\backend\package.json","package.json","2104","80","True","False","True","True","True","True","True","True","True","True"
".claude\worktrees\confident-satoshi-a53ac8\frontend\package-lock.json","package-lock.json","347673","9682","False","True","True","False","False","False","False","False","True","False"
".claude\worktrees\confident-satoshi-a53ac8\frontend\package.json","package.json","2263","73","False","True","False","False","False","False","False","False","True","False"
".claude\worktrees\enterprise-audit\backend\package-lock.json","package-lock.json","537046","14092","True","True","True","True","True","True","True","True","True","True"
".claude\worktrees\enterprise-audit\backend\package.json","package.json","2274","84","True","False","True","True","True","True","True","True","True","True"
".claude\worktrees\enterprise-audit\backend\services\local-image-gen\requirements.txt","requirements.txt","579","18","False","False","False","False","False","False","False","False","False","False"
".claude\worktrees\enterprise-audit\frontend\package-lock.json","package-lock.json","529117","14518","False","True","True","False","False","False","False","False","True","False"
".claude\worktrees\enterprise-audit\frontend\package.json","package.json","2917","88","False","True","False","False","False","False","False","False","True","False"
".claude\worktrees\enterprise-audit\frontend\android\build.gradle","build.gradle","666","30","False","False","False","False","False","False","False","False","False","False"
".claude\worktrees\enterprise-audit\frontend\android\app\build.gradle","build.gradle","2194","55","False","False","False","False","False","False","False","False","False","False"
".claude\worktrees\enterprise-audit\frontend\src-tauri\Cargo.toml","Cargo.toml","2986","89","False","False","False","False","False","False","False","False","False","False"
".claude\worktrees\intelligent-sutherland-9f1488\backend\package-lock.json","package-lock.json","537046","14092","True","True","True","True","True","True","True","True","True","True"
".claude\worktrees\intelligent-sutherland-9f1488\backend\package.json","package.json","2257","84","True","False","True","True","True","True","True","True","True","True"
".claude\worktrees\intelligent-sutherland-9f1488\frontend\package-lock.json","package-lock.json","529117","14518","False","True","True","False","False","False","False","False","True","False"
".claude\worktrees\intelligent-sutherland-9f1488\frontend\package.json","package.json","2917","88","False","True","False","False","False","False","False","False","True","False"
".claude\worktrees\intelligent-sutherland-9f1488\frontend\android\build.gradle","build.gradle","666","30","False","False","False","False","False","False","False","False","False","False"
".claude\worktrees\intelligent-sutherland-9f1488\frontend\android\app\build.gradle","build.gradle","2194","55","False","False","False","False","False","False","False","False","False","False"
".claude\worktrees\intelligent-sutherland-9f1488\frontend\src-tauri\Cargo.toml","Cargo.toml","2986","89","False","False","False","False","False","False","False","False","False","False"
".claude\worktrees\jolly-feynman-9d174f\backend\package-lock.json","package-lock.json","557497","14592","True","True","True","True","True","True","True","True","True","True"
