"File","Pattern","Occurrences"
".ai\generators\master_generator.js","(?i)\brouter\.","1"
".ai\migration\COMPREHENSIVE-INFRASTRUCTURE-AUDIT.py","(?i)\bapp\.","4"
".claude\worktrees\confident-satoshi-a53ac8\backend\scripts\generate-openapi.js","(?i)/api/","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\scripts\generate-openapi.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\index.js","(?i)/graphql","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\index.js","(?i)/api/","152"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\index.js","(?i)\bapp\.","109"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\index.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","108"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\middleware\compliance.js","(?i)/api/","2"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M001\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M001\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M002\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M002\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M003\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M003\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M004\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M004\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M005\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M005\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M006\routes.js","(?i)\brouter\.","4"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M006\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","4"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M007\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M007\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M008\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M008\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M009\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M009\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M010\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M010\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M011\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M011\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M012\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M012\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M013\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M013\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M014\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M014\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M015\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M015\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M016\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M016\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M017\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M017\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M018\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M018\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M019\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M019\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M020\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M020\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M021\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M021\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M022\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M022\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M023\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M023\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M024\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M024\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M025\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M025\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M026\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M026\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M027\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M027\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M028\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M028\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M029\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M029\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M030\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M030\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M031\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M031\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M032\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M032\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M033\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M033\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M034\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M034\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M035\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M035\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M036\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M036\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M037\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M037\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M038\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M038\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M039\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M039\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M040\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M040\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M041\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M041\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M042\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M042\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M043\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M043\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M044\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M044\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M045\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M045\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M046\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M046\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M047\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M047\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M048\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M048\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M049\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M049\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M050\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M050\routes.js","(?i)\brouter\.","5"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M051\routes.js","(?i)\brouter\.","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M051\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","1"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M052\routes.js","(?i)(app|router)\.(get|post|put|patch|delete|use)\s*\(","5"
