"File","Integration","EvidenceType"
".ai\architecture\AI_COLLABORATION_ARCHITECTURE.md","Docker","TEXT_REFERENCE"
".ai\architecture\CODEBASE_MAP.md","Docker","TEXT_REFERENCE"
".ai\architecture\COMPREHENSIVE_REMEDIATION_PLAN.md","Docker","TEXT_REFERENCE"
".ai\architecture\COPY_INTEGRATION_REPORT.md","Docker","TEXT_REFERENCE"
".ai\architecture\CRITICAL_INTEGRATION_TESTING_REPORT.md","Docker","TEXT_REFERENCE"
".ai\architecture\CRITICAL_TESTING_CORRECTION_REWRITE_REPORT.md","Docker","TEXT_REFERENCE"
".ai\architecture\DATABASE_CURRENT_STATE.md","Docker","TEXT_REFERENCE"
".ai\architecture\PROJECT_ANALYSIS_SUMMARY.md","Docker","TEXT_REFERENCE"
".ai\architecture\PROJECT_SHORTCOMINGS_ANALYSIS.md","Docker","TEXT_REFERENCE"
".ai\architecture\SYSTEM_ARCHITECTURE.md","Docker","TEXT_REFERENCE"
".ai\audit\DOCUMENTATION_CONCEPT_EXTRACTION.md","Docker","TEXT_REFERENCE"
".ai\audit\MASTER_AUDIT_EXECUTIVE_REPORT.md","Docker","TEXT_REFERENCE"
".ai\audit\MASTER_PRODUCTION_READINESS_GAP.md","Docker","TEXT_REFERENCE"
".ai\audit\MASTER_TEST_COVERAGE_GAP.md","Docker","TEXT_REFERENCE"
".ai\decisions\INTEGRATION_DECISIONS_2026_09_03.md","Docker","TEXT_REFERENCE"
".ai\DEPLOYMENT_CHECKLIST.md","Docker","TEXT_REFERENCE"
".ai\DEVIN_IMPLEMENTATION_TODO.md","Docker","TEXT_REFERENCE"
".ai\execution\PHASE_1_DATABASE_EXECUTION_LOG.md","Docker","TEXT_REFERENCE"
".ai\execution\PHASE_2_3_EXECUTION_GUIDE.md","Docker","TEXT_REFERENCE"
".ai\FINAL_PROJECT_SUMMARY.md","Docker","TEXT_REFERENCE"
".ai\FINAL_REPORT.md","Docker","TEXT_REFERENCE"
".ai\handoffs\2026-09-03-production-verification-handoff.md","Docker","TEXT_REFERENCE"
".ai\handoffs\CLAUDE_CODE_DESIGN_ARCHITECTURE_INTEGRATION_REPORT.md","Docker","TEXT_REFERENCE"
".ai\handoffs\CLAUDE_INITIAL_HANDOFF.md","Docker","TEXT_REFERENCE"
".ai\handoffs\DATABASE_MIGRATION_BLOCKER.md","Docker","TEXT_REFERENCE"
".ai\handoffs\DATABASE_MIGRATION_EXECUTION_PLAN.md","Docker","TEXT_REFERENCE"
".ai\handoffs\DEVIN_INTEGRATION_VALIDATION_REPORT.md","Docker","TEXT_REFERENCE"
".ai\handoffs\DEVIN_TO_CLAUDE_INTEGRATION_REPORT.md","Docker","TEXT_REFERENCE"
".ai\handoffs\DOCKER_COMPLETE_SOLUTION.md","Docker","TEXT_REFERENCE"
".ai\handoffs\FINAL_LAUNCH_CERTIFICATION.md","Docker","TEXT_REFERENCE"
".ai\handoffs\INFRASTRUCTURE_UNBLOCKING.md","Docker","TEXT_REFERENCE"
".ai\handoffs\TEAM_INTEGRATION_LOG.md","Docker","TEXT_REFERENCE"
".ai\handoffs\TWO_PORT_EXECUTION_GUIDE.md","Docker","TEXT_REFERENCE"
".ai\handoffs\WAVE1-COMPLETION-HANDOFF.md","Docker","TEXT_REFERENCE"
".ai\INTEGRATION_LEDGER.md","Docker","TEXT_REFERENCE"
".ai\LAUNCH_READINESS_DECLARATION.md","Docker","TEXT_REFERENCE"
".ai\migration\AI-RESOURCE-IDENTIFICATION-FRAMEWORK.md","Docker","TEXT_REFERENCE"
".ai\migration\COMPLETE-CONTINGENCY-FRAMEWORK.md","Docker","TEXT_REFERENCE"
".ai\migration\COMPLETE-LEADERSHIP-DECISION-PACKAGE.md","Docker","TEXT_REFERENCE"
".ai\migration\COMPLETE-PRE-DEPLOYMENT-VALIDATION.md","Docker","TEXT_REFERENCE"
".ai\migration\COMPLETE-RESOURCE-ONBOARDING.md","Docker","TEXT_REFERENCE"
".ai\migration\CRITICAL_PATH_TODO.md","Docker","TEXT_REFERENCE"
".ai\migration\EVIDENCE-BASED-PRODUCTION-AUDIT.md","Docker","TEXT_REFERENCE"
".ai\migration\EXECUTIVE_SUMMARY.md","Docker","TEXT_REFERENCE"
".ai\migration\FINAL-DEEP-AUDIT-CONFIRMATION.md","Docker","TEXT_REFERENCE"
".ai\migration\FINAL-PROJECT-STATUS-AND-RECOMMENDATION.md","Docker","TEXT_REFERENCE"
".ai\migration\GLOBAL-INTEGRATION-AUDIT-PHASE1.md","Docker","TEXT_REFERENCE"
".ai\migration\infrastructure-audit-report.json","Docker","TEXT_REFERENCE"
".ai\migration\INTEGRATION_STATUS_DASHBOARD.md","Docker","TEXT_REFERENCE"
".ai\migration\INTEGRATION-STATUS-COMPLETE.md","Docker","TEXT_REFERENCE"
".ai\migration\MIGRATION_FRAMEWORK.md","Docker","TEXT_REFERENCE"
".ai\migration\PHASE_EXECUTION_GUIDE.md","Docker","TEXT_REFERENCE"
".ai\migration\PHASE-6-EXECUTION-PLAN.md","Docker","TEXT_REFERENCE"
".ai\migration\PROJECT-PRODUCTION-READINESS-STATUS.md","Docker","TEXT_REFERENCE"
".ai\migration\README.md","Docker","TEXT_REFERENCE"
".ai\migration\STARTUP_GUIDE.md","Docker","TEXT_REFERENCE"
".ai\migration\WAVE1_TRACKER.md","Docker","TEXT_REFERENCE"
".ai\migration\WORK_PRODUCTS_INVENTORY.md","Docker","TEXT_REFERENCE"
".ai\PHASE_4_5_HANDOFF_COMPLETE.md","Docker","TEXT_REFERENCE"
".ai\PHASE_5_FINAL_COMPLETION.md","Docker","TEXT_REFERENCE"
".ai\PHASE_7_DEPLOYMENT_READINESS.md","Docker","TEXT_REFERENCE"
".ai\PROJECT_CONTEXT.md","Docker","TEXT_REFERENCE"
".ai\quality\SECURITY_REVIEW.md","Docker","TEXT_REFERENCE"
".ai\reports\PORT_VALIDATION_REPORT.md","Docker","TEXT_REFERENCE"
".ai\requirements\MASTER_REQUIREMENTS.md","Docker","TEXT_REFERENCE"
".ai\reviews\canonical-normalization-20260825-084055\BASELINE.json","Docker","TEXT_REFERENCE"
".ai\reviews\canonical-normalization-20260825-084055\FILE_OWNERSHIP_CLASSIFICATION.json","Docker","TEXT_REFERENCE"
".ai\reviews\canonical-normalization-20260825-084055\FINAL_GIT_STATUS.json","Docker","TEXT_REFERENCE"
".ai\SHORTCOMINGS_MATRIX.md","Docker","TEXT_REFERENCE"
".ai\STEP2_INTEGRATION_REPORT.md","Docker","TEXT_REFERENCE"
".ai\STEP4_IMPLEMENTATION_PLAN.md","Docker","TEXT_REFERENCE"
".ai\STEP4_IMPLEMENTATION_SUMMARY.md","Docker","TEXT_REFERENCE"
".ai\tasks\2026-09-03-production-gap-closure.md","Docker","TEXT_REFERENCE"
".ai\tasks\ACTIVE.md","Docker","TEXT_REFERENCE"
".ai\wave1-evidence\WAVE1-EXECUTIVE-SUMMARY.md","Docker","TEXT_REFERENCE"
".claude\agents\infra-auditor.md","Docker","TEXT_REFERENCE"
".claude\audits\AUDIT_INFRA.md","Docker","TEXT_REFERENCE"
".claude\audits\AUDIT_PERF.md","Docker","TEXT_REFERENCE"
".claude\audits\AUDIT_SECURITY.md","Docker","TEXT_REFERENCE"
".claude\audits\FIXES.md","Docker","TEXT_REFERENCE"
".claude\CLAUDE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\.claude\agents\infra-auditor.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\.claude\CLAUDE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\.devin\environment.yaml","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\.github\copilot-instructions.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\.github\workflows\ci.yml","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\afrera\afrera-infrastructure\README.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\AFRERA_DEVELOPMENT_INFRASTRUCTURE_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\AFRERA_DEVELOPMENT_OPERATING_SYSTEM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\AFRERA_DEVELOPMENT_STACK_SETUP.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\AFRERA_ENGINEERING_GOVERNANCE_SYSTEM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\AFRERA_ENTERPRISE_MODULE_SPECIFICATION_30_LEVEL_FRAMEWORK.md","Docker","TEXT_REFERENCE"
