"File","Name","Extension","SizeBytes","LastWrite"
".claude\settings.local.json","settings.local.json",".json","48371","28-08-2026 14:27:19"
".claude\worktrees\confident-satoshi-a53ac8\.claude\settings.local.json","settings.local.json",".json","48371","28-08-2026 14:27:19"
".claude\worktrees\confident-satoshi-a53ac8\.cursor\settings.json","settings.json",".json","37","30-08-2026 01:27:49"
".claude\worktrees\confident-satoshi-a53ac8\.devin\environment.yaml","environment.yaml",".yaml","7752","30-08-2026 01:27:49"
".claude\worktrees\confident-satoshi-a53ac8\.github\workflows\ci.yml","ci.yml",".yml","14470","30-08-2026 01:27:49"
".claude\worktrees\confident-satoshi-a53ac8\.vibecheck\flow\config.json","config.json",".json","373","30-08-2026 01:27:49"
".claude\worktrees\confident-satoshi-a53ac8\backend\.env.example",".env.example",".example","3698","30-08-2026 01:27:50"
".claude\worktrees\confident-satoshi-a53ac8\backend\.github\workflows\ci-cd.yml","ci-cd.yml",".yml","6141","30-08-2026 01:27:50"
".claude\worktrees\confident-satoshi-a53ac8\backend\docker-compose.yml","docker-compose.yml",".yml","3631","30-08-2026 01:27:50"
".claude\worktrees\confident-satoshi-a53ac8\backend\Dockerfile","Dockerfile","","1056","30-08-2026 01:27:50"
".claude\worktrees\confident-satoshi-a53ac8\backend\jest.config.js","jest.config.js",".js","1212","30-08-2026 01:27:50"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\database\migrations\1001_platform_configuration.sql","1001_platform_configuration.sql",".sql","572","30-08-2026 01:27:50"
".claude\worktrees\confident-satoshi-a53ac8\docs\openapi-stubs-farmers.yaml","openapi-stubs-farmers.yaml",".yaml","1575","30-08-2026 01:27:51"
".claude\worktrees\confident-satoshi-a53ac8\docs\openapi-stubs-marketplace.yaml","openapi-stubs-marketplace.yaml",".yaml","1439","30-08-2026 01:27:51"
".claude\worktrees\confident-satoshi-a53ac8\frontend\tailwind.config.js","tailwind.config.js",".js","3686","30-08-2026 01:27:52"
".claude\worktrees\confident-satoshi-a53ac8\frontend\vite.config.js","vite.config.js",".js","1407","30-08-2026 01:27:52"
".claude\worktrees\confident-satoshi-a53ac8\infra\k8s\mlflow-configmap.yaml","mlflow-configmap.yaml",".yaml","185","30-08-2026 01:27:52"
".claude\worktrees\confident-satoshi-a53ac8\infra\k8s\mlflow-deployment.yaml","mlflow-deployment.yaml",".yaml","685","30-08-2026 01:27:52"
".claude\worktrees\confident-satoshi-a53ac8\infra\k8s\mlflow-namespace.yaml","mlflow-namespace.yaml",".yaml","60","30-08-2026 01:27:52"
".claude\worktrees\confident-satoshi-a53ac8\infra\k8s\mlflow-service.yaml","mlflow-service.yaml",".yaml","208","30-08-2026 01:27:52"
".claude\worktrees\enterprise-audit\.claude\settings.local.json","settings.local.json",".json","48371","28-08-2026 14:27:19"
".claude\worktrees\enterprise-audit\.cursor\settings.json","settings.json",".json","37","30-08-2026 08:16:06"
".claude\worktrees\enterprise-audit\.devin\environment.yaml","environment.yaml",".yaml","7752","30-08-2026 08:16:06"
".claude\worktrees\enterprise-audit\.env.database.example",".env.database.example",".example","534","30-08-2026 08:16:06"
".claude\worktrees\enterprise-audit\.env.production",".env.production",".production","1283","30-08-2026 08:16:06"
".claude\worktrees\enterprise-audit\.github\workflows\ci.yml","ci.yml",".yml","18594","30-08-2026 08:16:06"
".claude\worktrees\enterprise-audit\.vibecheck\flow\config.json","config.json",".json","373","30-08-2026 08:16:06"
".claude\worktrees\enterprise-audit\backend\.env.example",".env.example",".example","8637","30-08-2026 08:16:06"
".claude\worktrees\enterprise-audit\backend\.github\workflows\ci-cd.yml","ci-cd.yml",".yml","6141","30-08-2026 08:16:06"
".claude\worktrees\enterprise-audit\backend\docker-compose.yml","docker-compose.yml",".yml","4956","30-08-2026 08:16:06"
".claude\worktrees\enterprise-audit\backend\Dockerfile","Dockerfile","","1056","30-08-2026 08:16:06"
".claude\worktrees\enterprise-audit\backend\jest.config.js","jest.config.js",".js","498","30-08-2026 08:16:06"
".claude\worktrees\enterprise-audit\backend\services\local-image-gen\Dockerfile","Dockerfile","","1808","30-08-2026 08:41:55"
".claude\worktrees\enterprise-audit\backend\src\database\migrations\1001_platform_configuration.sql","1001_platform_configuration.sql",".sql","572","30-08-2026 08:16:06"
".claude\worktrees\enterprise-audit\backend\src\database\migrations\9501_m002_platform_configuration.sql","9501_m002_platform_configuration.sql",".sql","1336","30-08-2026 08:16:07"
".claude\worktrees\enterprise-audit\backend\src\routes\platformConfigurationRoutes.js","platformConfigurationRoutes.js",".js","4895","30-08-2026 08:24:21"
".claude\worktrees\enterprise-audit\backend\src\services\claude\unifiedConfigService.js","unifiedConfigService.js",".js","9108","30-08-2026 08:16:08"
".claude\worktrees\enterprise-audit\backend\src\services\legacy\platformConfigurationService.js","platformConfigurationService.js",".js","16605","30-08-2026 08:16:08"
".claude\worktrees\enterprise-audit\backend\src\services\unifiedConfigService.js","unifiedConfigService.js",".js","163","30-08-2026 08:16:08"
".claude\worktrees\enterprise-audit\docker-compose.database.yml","docker-compose.database.yml",".yml","1267","30-08-2026 08:16:08"
".claude\worktrees\enterprise-audit\docker-compose.yml","docker-compose.yml",".yml","4154","30-08-2026 13:03:12"
".claude\worktrees\enterprise-audit\Dockerfile","Dockerfile","","1756","30-08-2026 08:16:06"
".claude\worktrees\enterprise-audit\docs\openapi-stubs-farmers.yaml","openapi-stubs-farmers.yaml",".yaml","1575","30-08-2026 08:16:08"
".claude\worktrees\enterprise-audit\docs\openapi-stubs-marketplace.yaml","openapi-stubs-marketplace.yaml",".yaml","1439","30-08-2026 08:16:08"
".claude\worktrees\enterprise-audit\frontend\android\capacitor.settings.gradle","capacitor.settings.gradle",".gradle","210","30-08-2026 08:16:08"
